truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,asymmetric_premise,0.1,-0.005140343350593779
0,negation_antonym,asymmetric_conclusion,0.0,-0.005803399462512125
0,negation_paraphrase_inversion,original,0.0,-0.012822141309441102
1,paraphrase_inversion,asymmetric_premise,0.0,-0.040547467691902365
1,negation_paraphrase,original,0.0,-0.027710987356591464
1,negation_paraphrase,asymmetric_conclusion,1.0,0.028931149365157133
2,paraphrase,asymmetric_conclusion,0.0,-0.07783300054774202
2,negation_paraphrase,original,0.0,-0.053578759261546184
2,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.03982727644997977
3,original,asymmetric_conclusion,0.0,-0.017599651805124128
3,antonym,asymmetric_conclusion,1.0,0.04911514078269855
3,negation_antonym,asymmetric_premise,0.1,-0.009368100200326756
4,negation,asymmetric_premise,0.0,-0.025957708066419328
4,negation_paraphrase,asymmetric_premise,0.0,-0.024997669888346417
4,negation_paraphrase_inversion,original,0.0,-0.014530003865883063
5,original,asymmetric_conclusion,0.0,-0.10381222341054508
5,paraphrase_inversion,asymmetric_premise,0.8,0.008423486840842617
5,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.02000574311839
6,negation,original,0.0,-0.05211191355257029
6,paraphrase,asymmetric_conclusion,0.0,-0.04319688095451535
6,negation_paraphrase,original,0.0,-0.06448383527866172
7,antonym,asymmetric_conclusion,1.0,0.00911318008851776
7,paraphrase_inversion,asymmetric_conclusion,1.0,0.04583346533995789
7,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.015747068460380178
8,antonym,asymmetric_premise,0.8,0.008112159363140518
8,paraphrase_inversion,asymmetric_conclusion,0.0,-0.015642921337228
8,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.054948215612650994
9,original,original,1.0,0.03674745013731984
9,antonym,asymmetric_premise,0.6,0.0007223339605621202
9,paraphrase,original,0.0,-0.053229615737944644
10,negation,asymmetric_conclusion,0.5,0.0003915133896781863
10,antonym,original,0.0,-0.06421790256375647
10,paraphrase_inversion,asymmetric_conclusion,1.0,0.05209855684140957
11,paraphrase,asymmetric_conclusion,0.0,-0.14351822507325274
11,paraphrase_inversion,original,1.0,0.03220406376127612
11,negation_paraphrase,original,0.0,-0.13474483860331338
12,original,asymmetric_conclusion,0.0,-0.04319395249123969
12,negation,asymmetric_conclusion,1.0,0.04782947657681806
12,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.006425675479882954
13,antonym,original,1.0,0.024249401239983998
13,negation_antonym,original,0.0,-0.02569869965455328
13,negation_paraphrase_inversion,asymmetric_premise,1.0,0.018780850597618824
14,antonym,original,0.0,-0.033964921522600694
14,paraphrase,asymmetric_premise,0.9,0.01752067416172123
14,negation_paraphrase_inversion,asymmetric_conclusion,0.8,0.012158505252715734
15,negation,original,0.0,-0.06221949715736861
15,paraphrase_inversion,original,0.3,-0.0008233013133140951
15,negation_paraphrase,original,1.0,0.018068438654261623
16,paraphrase,original,0.1,-0.013571949355501434
16,paraphrase_inversion,original,1.0,0.033084610633423446
16,negation_paraphrase_inversion,original,0.3,-0.003089509353426954
17,original,asymmetric_premise,0.0,-0.04102637061714916
17,antonym,asymmetric_premise,1.0,0.033125296236053085
17,negation_antonym,original,1.0,0.012108916637912569
18,original,original,0.0,-0.018965011221922328
18,negation_antonym,asymmetric_premise,0.8,0.0023674976029194007
18,negation_paraphrase,original,0.0,-0.15820926733343887
19,paraphrase,asymmetric_premise,0.0,-0.010767931545977796
19,negation_paraphrase,asymmetric_conclusion,1.0,0.006010917536084964
19,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.04919821412017363
