truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.42600584732488994
0,original,asymmetric_premise,0.0,-0.35296456886272587
0,original,asymmetric_conclusion,0.0,-0.4810821075797701
0,negation,original,0.0,-0.8468699536091492
0,negation,asymmetric_premise,1.0,0.8472730799445669
0,negation,asymmetric_conclusion,1.0,0.8458339572025061
0,antonym,original,0.0,-0.5982324841730907
0,antonym,asymmetric_premise,1.0,0.6165289221358962
0,antonym,asymmetric_conclusion,1.0,0.4942877763286397
0,paraphrase,original,1.0,0.983182446610914
0,paraphrase,asymmetric_premise,0.0,-0.9784879684808843
0,paraphrase,asymmetric_conclusion,0.0,-0.9864010735469227
0,paraphrase_inversion,original,0.0,-0.8060280966572921
0,paraphrase_inversion,asymmetric_premise,1.0,0.7683651114113477
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.7666385159184421
0,negation_antonym,original,1.0,0.8550264794414095
0,negation_antonym,asymmetric_premise,0.0,-0.8359069668072989
0,negation_antonym,asymmetric_conclusion,0.0,-0.7973270916781016
0,negation_paraphrase,original,0.0,-0.9895193661612186
0,negation_paraphrase,asymmetric_premise,1.0,0.9870172711757167
0,negation_paraphrase,asymmetric_conclusion,1.0,0.9913692574849904
0,negation_paraphrase_inversion,original,1.0,0.957576013089524
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9484428248211074
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9535050514220874
1,original,original,0.0,-0.5731388816174332
1,original,asymmetric_premise,1.0,0.5690955163283993
1,original,asymmetric_conclusion,1.0,0.6634096308142314
1,negation,original,1.0,0.818392431067633
1,negation,asymmetric_premise,0.0,-0.8141779878526124
1,negation,asymmetric_conclusion,0.0,-0.8414450593521708
1,antonym,original,1.0,0.2701027914245949
1,antonym,asymmetric_premise,0.0,-0.3666973978014615
1,antonym,asymmetric_conclusion,0.0,-0.29641702547953075
1,paraphrase,original,0.0,-0.4832088141137686
1,paraphrase,asymmetric_premise,1.0,0.5278002195305785
1,paraphrase,asymmetric_conclusion,1.0,0.5421978554762101
1,paraphrase_inversion,original,1.0,0.2849195490990284
1,paraphrase_inversion,asymmetric_premise,0.0,-0.32826372842055423
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.2772288965712105
1,negation_antonym,original,0.0,-0.5915506977202678
1,negation_antonym,asymmetric_premise,1.0,0.6377769296296945
1,negation_antonym,asymmetric_conclusion,1.0,0.6051184421082796
1,negation_paraphrase,original,1.0,0.7762817610480852
1,negation_paraphrase,asymmetric_premise,0.0,-0.7932535075277164
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.7949837475258762
1,negation_paraphrase_inversion,original,0.0,-0.8302592605475226
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.8417753941233261
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.8096463500841583
2,original,original,0.9,0.08242887825531517
2,original,asymmetric_premise,0.0,-0.1645278025584284
2,original,asymmetric_conclusion,0.0,-0.14503722436253533
2,negation,original,0.0,-0.515741541958561
2,negation,asymmetric_premise,1.0,0.6076448325033621
2,negation,asymmetric_conclusion,1.0,0.532914564942416
2,antonym,original,0.1,-0.07253695088568267
2,antonym,asymmetric_premise,1.0,0.13509164057824524
2,antonym,asymmetric_conclusion,0.7,0.05192653452651208
2,paraphrase,original,1.0,0.5099159974885767
2,paraphrase,asymmetric_premise,0.0,-0.5456361644075209
2,paraphrase,asymmetric_conclusion,0.0,-0.5363091597777707
2,paraphrase_inversion,original,0.0,-0.732834968985353
2,paraphrase_inversion,asymmetric_premise,1.0,0.7506352785856635
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.6956783350666477
2,negation_antonym,original,1.0,0.39835908880213583
2,negation_antonym,asymmetric_premise,0.0,-0.42447368596913543
2,negation_antonym,asymmetric_conclusion,0.0,-0.30536880311133163
2,negation_paraphrase,original,0.0,-0.6783786917656028
2,negation_paraphrase,asymmetric_premise,1.0,0.6966830933841057
2,negation_paraphrase,asymmetric_conclusion,1.0,0.6840364683948107
2,negation_paraphrase_inversion,original,1.0,0.9299005316579336
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9362203660386605
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9174992648758588
3,original,original,0.7,0.051977475767234736
3,original,asymmetric_premise,0.1,-0.11477820195914387
3,original,asymmetric_conclusion,0.0,-0.14381490859328655
3,negation,original,0.0,-0.35267103062771704
3,negation,asymmetric_premise,1.0,0.3833945052002933
3,negation,asymmetric_conclusion,1.0,0.41233328560194427
3,antonym,original,0.8,0.029288357616469772
3,antonym,asymmetric_premise,0.5,0.008380625061302502
3,antonym,asymmetric_conclusion,0.9,0.07267405112704184
3,paraphrase,original,1.0,0.9770949536507969
3,paraphrase,asymmetric_premise,0.0,-0.9821380451490926
3,paraphrase,asymmetric_conclusion,0.0,-0.9849458222732166
3,paraphrase_inversion,original,0.0,-0.589944190607034
3,paraphrase_inversion,asymmetric_premise,1.0,0.5375791702687273
3,paraphrase_inversion,asymmetric_conclusion,1.0,0.5865077440344522
3,negation_antonym,original,1.0,0.2882977462120882
3,negation_antonym,asymmetric_premise,0.0,-0.2633452490102146
3,negation_antonym,asymmetric_conclusion,0.0,-0.37397412249254325
3,negation_paraphrase,original,0.0,-0.9870826653557085
3,negation_paraphrase,asymmetric_premise,1.0,0.9892273242598429
3,negation_paraphrase,asymmetric_conclusion,1.0,0.9940692354920119
3,negation_paraphrase_inversion,original,1.0,0.9460242869171468
3,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9272556476278788
3,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9422279089175133
4,original,original,0.0,-0.680945066757846
4,original,asymmetric_premise,1.0,0.6423914543944125
4,original,asymmetric_conclusion,1.0,0.6974166964619517
4,negation,original,1.0,0.9026909354532924
4,negation,asymmetric_premise,0.0,-0.8932231688556609
4,negation,asymmetric_conclusion,0.0,-0.906786145656619
4,antonym,original,1.0,0.5452060230010968
4,antonym,asymmetric_premise,0.0,-0.52283616991552
4,antonym,asymmetric_conclusion,0.0,-0.5326162316846472
4,paraphrase,original,0.0,-0.3019473366412829
4,paraphrase,asymmetric_premise,1.0,0.24345379558279187
4,paraphrase,asymmetric_conclusion,1.0,0.34495973625221876
