truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,asymmetric_premise,0.0,-0.9930182321591168
0,negation_antonym,asymmetric_conclusion,0.0,-0.9981213435282783
0,negation_paraphrase_inversion,original,1.0,0.9970627843102411
1,paraphrase_inversion,asymmetric_premise,1.0,0.9886291276154454
1,negation_paraphrase,original,0.0,-0.8363582083326904
1,negation_paraphrase,asymmetric_conclusion,1.0,0.8465784920638006
2,paraphrase,asymmetric_conclusion,0.0,-0.9706302932886128
2,negation_paraphrase,original,0.0,-0.9685067562104714
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9874264178823884
3,original,asymmetric_conclusion,1.0,0.9923876439001388
3,antonym,asymmetric_conclusion,0.0,-0.996957978842221
3,negation_antonym,asymmetric_premise,1.0,0.99734906463509
4,negation,asymmetric_premise,1.0,0.9846482225389893
4,negation_paraphrase,asymmetric_premise,1.0,0.9916322727195114
4,negation_paraphrase_inversion,original,1.0,0.990390062992083
5,original,asymmetric_conclusion,0.0,-0.9307667055726482
5,paraphrase_inversion,asymmetric_premise,1.0,0.9802405240038065
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9956301786164165
6,negation,original,1.0,0.9960188188935108
6,paraphrase,asymmetric_conclusion,1.0,0.9436197102182355
6,negation_paraphrase,original,1.0,0.9875019906415762
7,antonym,asymmetric_conclusion,0.0,-0.5638148608943917
7,paraphrase_inversion,asymmetric_conclusion,0.9,0.08379859270657927
7,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9101333157170057
8,antonym,asymmetric_premise,0.0,-0.7145562709894198
8,paraphrase_inversion,asymmetric_conclusion,1.0,0.9633661453212895
8,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9682116193121534
9,original,original,0.0,-0.9985489909655534
9,antonym,asymmetric_premise,0.0,-0.995822394953807
9,paraphrase,original,0.0,-0.42879081068417724
10,negation,asymmetric_conclusion,0.0,-0.9373214087381726
10,antonym,original,1.0,0.7046907821522674
10,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9800128789384711
11,paraphrase,asymmetric_conclusion,0.0,-0.9999726592181327
11,paraphrase_inversion,original,0.0,-0.4588516573640063
11,negation_paraphrase,original,0.0,-0.9999718152019185
12,original,asymmetric_conclusion,1.0,0.9175328098456064
12,negation,asymmetric_conclusion,0.0,-0.9857138586383469
12,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9612941542143629
13,antonym,original,0.0,-0.9895692733381107
13,negation_antonym,original,1.0,0.9964665593806658
13,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9955029153999814
14,antonym,original,1.0,0.9971744127312352
14,paraphrase,asymmetric_premise,0.0,-0.5935985880641592
14,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7509196254557159
15,negation,original,1.0,0.8195577053738095
15,paraphrase_inversion,original,1.0,0.7414843718144553
15,negation_paraphrase,original,1.0,0.9201767386872228
16,paraphrase,original,1.0,0.9708961674250585
16,paraphrase_inversion,original,0.0,-0.35339635055324586
16,negation_paraphrase_inversion,original,1.0,0.8281356470801132
17,original,asymmetric_premise,1.0,0.9856273132169384
17,antonym,asymmetric_premise,0.0,-0.983962167060831
17,negation_antonym,original,0.0,-0.994645748204209
18,original,original,1.0,0.6519485830988848
18,negation_antonym,asymmetric_premise,0.0,-0.946545932486765
18,negation_paraphrase,original,0.0,-0.9999849330596569
19,paraphrase,asymmetric_premise,1.0,0.9821095431375729
19,negation_paraphrase,asymmetric_conclusion,0.0,-0.9900093932983156
19,negation_paraphrase_inversion,asymmetric_premise,1.0,0.5210965069296192
