truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.9693692674251204
0,original,asymmetric_premise,0.0,-0.9582173463455259
0,original,asymmetric_conclusion,0.0,-0.9507429225287559
0,negation,original,0.0,-0.8870015163025187
0,negation,asymmetric_premise,1.0,0.9070894395663055
0,negation,asymmetric_conclusion,1.0,0.8855744013469474
0,antonym,original,0.0,-0.7227220980292176
0,antonym,asymmetric_premise,1.0,0.5941625369726662
0,antonym,asymmetric_conclusion,1.0,0.6439545485309053
0,paraphrase,original,0.0,-0.6861771454741927
0,paraphrase,asymmetric_premise,1.0,0.22400977101771877
0,paraphrase,asymmetric_conclusion,1.0,0.27058014601734104
0,paraphrase_inversion,original,0.0,-0.7285894475980846
0,paraphrase_inversion,asymmetric_premise,1.0,0.7151585389099003
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.7310023161157597
0,negation_antonym,original,0.9,0.26471531051942676
0,negation_antonym,asymmetric_premise,0.0,-0.8073581228417183
0,negation_antonym,asymmetric_conclusion,0.0,-0.7493946283263597
0,negation_paraphrase,original,1.0,0.17118519628143097
0,negation_paraphrase,asymmetric_premise,0.0,-0.20541906038636376
0,negation_paraphrase,asymmetric_conclusion,0.2,-0.22584195534791068
0,negation_paraphrase_inversion,original,1.0,0.8609525569005736
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8765602915222415
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8692845845071957
1,original,original,1.0,0.40815390693238696
1,original,asymmetric_premise,0.1,-0.33020297694773626
1,original,asymmetric_conclusion,0.1,-0.45071796635129857
1,negation,original,0.2,-0.3270880422619099
1,negation,asymmetric_premise,0.7,0.04998113835207095
1,negation,asymmetric_conclusion,0.5,-0.305462663107816
1,antonym,original,0.0,-0.7567462806360903
1,antonym,asymmetric_premise,1.0,0.8543542255981667
1,antonym,asymmetric_conclusion,1.0,0.7041561354787456
1,paraphrase,original,1.0,0.7796671074365061
1,paraphrase,asymmetric_premise,0.0,-0.8669793977182586
1,paraphrase,asymmetric_conclusion,0.0,-0.8446380336148334
1,paraphrase_inversion,original,0.0,-0.9366397285648393
1,paraphrase_inversion,asymmetric_premise,1.0,0.9127209247529556
1,paraphrase_inversion,asymmetric_conclusion,1.0,0.902075746611183
1,negation_antonym,original,0.7,0.17195655242402202
1,negation_antonym,asymmetric_premise,0.3,-0.23169496457876404
1,negation_antonym,asymmetric_conclusion,0.2,-0.31140887998954103
1,negation_paraphrase,original,0.0,-0.8960715291792638
1,negation_paraphrase,asymmetric_premise,1.0,0.9022610579246073
1,negation_paraphrase,asymmetric_conclusion,1.0,0.8888640415033395
1,negation_paraphrase_inversion,original,1.0,0.9030998535539656
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7856900271863635
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7408106923514931
2,original,original,1.0,0.930768465551054
2,original,asymmetric_premise,0.0,-0.9075398910475684
2,original,asymmetric_conclusion,0.0,-0.9049363359593994
2,negation,original,0.0,-0.7379193786624926
2,negation,asymmetric_premise,1.0,0.8136472596167585
2,negation,asymmetric_conclusion,1.0,0.8045047875710745
2,antonym,original,0.1,-0.2189879759591197
2,antonym,asymmetric_premise,1.0,0.5187160788210848
2,antonym,asymmetric_conclusion,1.0,0.4878399317959518
2,paraphrase,original,0.3,-0.4768782873434949
2,paraphrase,asymmetric_premise,0.0,-0.97118622627787
2,paraphrase,asymmetric_conclusion,0.0,-0.903176300516942
2,paraphrase_inversion,original,0.2,-0.12387836143754638
2,paraphrase_inversion,asymmetric_premise,1.0,0.40951338345003097
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.3560272513724272
2,negation_antonym,original,1.0,0.7949017856535722
2,negation_antonym,asymmetric_premise,0.0,-0.7982768196062062
2,negation_antonym,asymmetric_conclusion,0.0,-0.7818539660745883
2,negation_paraphrase,original,0.0,-0.8315997078630059
2,negation_paraphrase,asymmetric_premise,0.3,-0.4
2,negation_paraphrase,asymmetric_conclusion,0.1,-0.8
2,negation_paraphrase_inversion,original,1.0,0.6559541144742274
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6829489079563917
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7194862039197226
3,original,original,0.0,-0.9081534872952499
3,original,asymmetric_premise,1.0,0.9059928722770019
3,original,asymmetric_conclusion,1.0,0.899344940991446
3,negation,original,1.0,0.9721453861352994
3,negation,asymmetric_premise,0.0,-0.9677430798355202
3,negation,asymmetric_conclusion,0.0,-0.957859598573482
3,antonym,original,0.9,0.11894126286021518
3,antonym,asymmetric_premise,0.0,-0.37091005045902725
3,antonym,asymmetric_conclusion,0.0,-0.28593237980037356
3,paraphrase,original,0.0,-0.9732181302066694
3,paraphrase,asymmetric_premise,1.0,0.9433768113356826
3,paraphrase,asymmetric_conclusion,1.0,0.9443197758431472
3,paraphrase_inversion,original,0.0,-0.9462869979713313
3,paraphrase_inversion,asymmetric_premise,1.0,0.8640736498427308
