truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.7619143866837802
0,original,asymmetric_premise,0.0,-0.925548284622703
0,original,asymmetric_conclusion,0.0,-0.9176177150328849
0,negation,original,0.0,-0.725307682934451
0,negation,asymmetric_premise,1.0,0.6263655256734374
0,negation,asymmetric_conclusion,1.0,0.6269562840401438
0,antonym,original,0.0,-0.9185902631341494
0,antonym,asymmetric_premise,1.0,0.9575820577353318
0,antonym,asymmetric_conclusion,1.0,0.9470318244387037
0,paraphrase,original,1.0,0.985511226176284
0,paraphrase,asymmetric_premise,0.0,-0.9775291926816365
0,paraphrase,asymmetric_conclusion,0.0,-0.9616782973487028
0,paraphrase_inversion,original,1.0,0.7356069627504843
0,paraphrase_inversion,asymmetric_premise,0.0,-0.05278442825504258
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.119933827532509
0,negation_antonym,original,1.0,0.8978241687187614
0,negation_antonym,asymmetric_premise,0.0,-0.9321870835136397
0,negation_antonym,asymmetric_conclusion,0.0,-0.9264697113144165
0,negation_paraphrase,original,0.0,-0.9788964920212683
0,negation_paraphrase,asymmetric_premise,1.0,0.9746695158506237
0,negation_paraphrase,asymmetric_conclusion,1.0,0.9717902229122934
0,negation_paraphrase_inversion,original,1.0,0.6743360950771649
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.763394575991488
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7197956755034555
1,original,original,0.0,-0.5533887843000397
1,original,asymmetric_premise,1.0,0.6871121896340867
1,original,asymmetric_conclusion,1.0,0.6561670892618602
1,negation,original,1.0,0.4988151233607979
1,negation,asymmetric_premise,0.0,-0.7374204573409812
1,negation,asymmetric_conclusion,0.0,-0.5861768336757969
1,antonym,original,1.0,0.4500935046959239
1,antonym,asymmetric_premise,0.0,-0.44842196724833894
1,antonym,asymmetric_conclusion,0.0,-0.6286157612778827
1,paraphrase,original,0.0,-0.8199703113075787
1,paraphrase,asymmetric_premise,1.0,0.8453232943698501
1,paraphrase,asymmetric_conclusion,1.0,0.8483424504515795
1,paraphrase_inversion,original,0.0,-0.9140028764783918
1,paraphrase_inversion,asymmetric_premise,1.0,0.9123695359661308
1,paraphrase_inversion,asymmetric_conclusion,1.0,0.8455985495143012
1,negation_antonym,original,0.0,-0.6443693415144487
1,negation_antonym,asymmetric_premise,1.0,0.8195949735681465
1,negation_antonym,asymmetric_conclusion,1.0,0.785260376652629
1,negation_paraphrase,original,1.0,0.9458198147550926
1,negation_paraphrase,asymmetric_premise,0.0,-0.9447346001162595
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.9301891483397056
1,negation_paraphrase_inversion,original,1.0,0.894463896012738
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.748970392698567
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7547632343824057
2,original,original,0.0,-0.2575202624250456
2,original,asymmetric_premise,1.0,0.14426917020821842
2,original,asymmetric_conclusion,1.0,0.22046053049070874
2,negation,original,0.0,-0.4792694960196056
2,negation,asymmetric_premise,1.0,0.6161853171058757
2,negation,asymmetric_conclusion,1.0,0.46747775842084105
2,antonym,original,1.0,0.16729304984312557
2,antonym,asymmetric_premise,0.0,-0.04241686144606622
2,antonym,asymmetric_conclusion,1.0,0.1017282122719636
2,paraphrase,original,1.0,0.9421099786052558
2,paraphrase,asymmetric_premise,0.0,-0.939578427099587
2,paraphrase,asymmetric_conclusion,0.0,-0.9293643709311754
2,paraphrase_inversion,original,1.0,0.04352871515437289
2,paraphrase_inversion,asymmetric_premise,1.0,0.35725642289635656
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.3255690641396428
2,negation_antonym,original,1.0,0.5345015049443627
2,negation_antonym,asymmetric_premise,0.0,-0.648771487103864
2,negation_antonym,asymmetric_conclusion,0.0,-0.7640566885208512
2,negation_paraphrase,original,0.0,-0.9879029661778966
2,negation_paraphrase,asymmetric_premise,1.0,0.9860436059106215
2,negation_paraphrase,asymmetric_conclusion,1.0,0.9834668062051632
2,negation_paraphrase_inversion,original,1.0,0.7405991812084568
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7791101729126034
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8089282563455085
3,original,original,0.0,-0.9784001375774685
3,original,asymmetric_premise,1.0,0.9667427310975201
3,original,asymmetric_conclusion,1.0,0.9686315027339637
3,negation,original,1.0,0.9615038340396815
3,negation,asymmetric_premise,0.0,-0.9655963130292655
3,negation,asymmetric_conclusion,0.0,-0.9578995500511767
3,antonym,original,1.0,0.9044808160604221
3,antonym,asymmetric_premise,0.0,-0.923147993397061
3,antonym,asymmetric_conclusion,0.0,-0.8800957137250178
3,paraphrase,original,0.0,-0.982455453972152
3,paraphrase,asymmetric_premise,1.0,0.9451154353035378
3,paraphrase,asymmetric_conclusion,1.0,0.9727389463933347
3,paraphrase_inversion,original,0.0,-0.45465662432950726
3,paraphrase_inversion,asymmetric_premise,1.0,0.1476143410321681
3,paraphrase_inversion,asymmetric_conclusion,1.0,0.1899704895422263
3,negation_antonym,original,0.0,-0.8725882197688242
