truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
15,original,original,1.0,0.30440200947256485
15,original,asymmetric_premise,0.0,-0.501896031017742
15,original,asymmetric_conclusion,0.0,-0.4658138886238007
15,negation,original,0.0,-0.544429657480656
15,negation,asymmetric_premise,0.7,0.15136700209019482
15,negation,asymmetric_conclusion,0.9,0.17470632843147677
15,antonym,original,0.7,0.019037929367160745
15,antonym,asymmetric_premise,0.0,-0.2921780677835867
15,antonym,asymmetric_conclusion,0.0,-0.24190337953107352
15,paraphrase,original,1.0,0.39136596356459075
15,paraphrase,asymmetric_premise,0.0,-0.5033154489379922
15,paraphrase,asymmetric_conclusion,0.0,-0.5544561486970985
15,paraphrase_inversion,original,0.3,-0.020984944476364405
15,paraphrase_inversion,asymmetric_premise,0.0,-0.23914093687863555
15,paraphrase_inversion,asymmetric_conclusion,0.0,-0.23312064619558148
15,negation_antonym,original,1.0,0.6635915330273108
15,negation_antonym,asymmetric_premise,0.0,-0.8610081012032964
15,negation_antonym,asymmetric_conclusion,0.0,-0.8811000623206965
15,negation_paraphrase,original,1.0,0.23300026098906929
15,negation_paraphrase,asymmetric_premise,0.0,-0.7478686809805922
15,negation_paraphrase,asymmetric_conclusion,0.0,-0.7282589508112032
15,negation_paraphrase_inversion,original,1.0,0.5139634948710671
15,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9638949926303951
15,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9664331356190419
18,original,original,1.0,0.9150156187785463
18,original,asymmetric_premise,0.0,-0.8590317380249815
18,original,asymmetric_conclusion,0.0,-0.8504023467566639
18,negation,original,0.1,-0.11193531131379708
18,negation,asymmetric_premise,1.0,0.2826340475892194
18,negation,asymmetric_conclusion,1.0,0.19855089759485836
18,antonym,original,0.0,-0.37321883386965227
18,antonym,asymmetric_premise,1.0,0.4006394462845547
18,antonym,asymmetric_conclusion,1.0,0.3980107404887089
18,paraphrase,original,1.0,0.753329526119634
18,paraphrase,asymmetric_premise,0.0,-0.4727323241817277
18,paraphrase,asymmetric_conclusion,0.0,-0.5131998674761983
18,paraphrase_inversion,original,0.1,-0.14695099670884237
18,paraphrase_inversion,asymmetric_premise,0.1,-0.2097019081733774
18,paraphrase_inversion,asymmetric_conclusion,0.0,-0.22382105128653262
18,negation_antonym,original,1.0,0.8963624174440726
18,negation_antonym,asymmetric_premise,0.0,-0.969134196287053
18,negation_antonym,asymmetric_conclusion,0.0,-0.9768206580569065
18,negation_paraphrase,original,1.0,0.8840239979699179
18,negation_paraphrase,asymmetric_premise,0.0,-0.9615788550881866
18,negation_paraphrase,asymmetric_conclusion,0.0,-0.9617476617526002
18,negation_paraphrase_inversion,original,0.8,0.11432656387664997
18,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6777875509546863
18,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6957344282917182
