truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
11,original,original,1.0,0.1213724867805733
11,original,asymmetric_premise,0.1,-0.08648396920699361
11,original,asymmetric_conclusion,0.4,-0.10071363000014684
11,negation,original,1.0,0.09878081825266713
11,negation,asymmetric_premise,0.2,-0.06859349667819535
11,negation,asymmetric_conclusion,0.4,-0.010929791184697233
11,antonym,original,0.0,-0.30700506941580497
11,antonym,asymmetric_premise,1.0,0.2239589558400894
11,antonym,asymmetric_conclusion,1.0,0.2358017280439168
11,paraphrase,original,1.0,0.9986878387814067
11,paraphrase,asymmetric_premise,0.0,-0.998348618502334
11,paraphrase,asymmetric_conclusion,0.0,-0.9970841093139906
11,paraphrase_inversion,original,0.9,0.1230885764835197
11,paraphrase_inversion,asymmetric_premise,0.0,-0.20583124419991564
11,paraphrase_inversion,asymmetric_conclusion,0.0,-0.1991769967341075
11,negation_antonym,original,1.0,0.05818548450296294
11,negation_antonym,asymmetric_premise,0.6,0.013895014504688444
11,negation_antonym,asymmetric_conclusion,0.6,0.02706215265364247
11,negation_paraphrase,original,0.0,-0.998699259539424
11,negation_paraphrase,asymmetric_premise,1.0,0.998130312273217
11,negation_paraphrase,asymmetric_conclusion,1.0,0.9969417780653093
11,negation_paraphrase_inversion,original,0.0,-0.6688074450118098
11,negation_paraphrase_inversion,asymmetric_premise,1.0,0.6658120959631344
11,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.6342244183866634
16,original,original,1.0,0.37563279390475024
16,original,asymmetric_premise,0.0,-0.32397456285893217
16,original,asymmetric_conclusion,0.0,-0.4352539488502033
16,negation,original,0.5,0.0012532760056375883
16,negation,asymmetric_premise,0.7,0.007811208877976078
16,negation,asymmetric_conclusion,0.9,0.08825911678948042
16,antonym,original,0.0,-0.16402796971192207
16,antonym,asymmetric_premise,1.0,0.15970708266525732
16,antonym,asymmetric_conclusion,1.0,0.07066203072834594
16,paraphrase,original,0.0,-0.22515994669022424
16,paraphrase,asymmetric_premise,1.0,0.2809171622187075
16,paraphrase,asymmetric_conclusion,1.0,0.34336901101581085
16,paraphrase_inversion,original,0.0,-0.0920708791053046
16,paraphrase_inversion,asymmetric_premise,0.6,0.01846767206527917
16,paraphrase_inversion,asymmetric_conclusion,1.0,0.09319728078917108
16,negation_antonym,original,0.0,-0.24099964783822875
16,negation_antonym,asymmetric_premise,1.0,0.2451336918323111
16,negation_antonym,asymmetric_conclusion,1.0,0.28431317334690903
16,negation_paraphrase,original,0.8,0.11788900213517386
16,negation_paraphrase,asymmetric_premise,0.0,-0.2092934081489834
16,negation_paraphrase,asymmetric_conclusion,0.0,-0.20393409830397252
16,negation_paraphrase_inversion,original,0.0,-0.427402573897498
16,negation_paraphrase_inversion,asymmetric_premise,1.0,0.4562979002692395
16,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.31560030299886355
