truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,asymmetric_premise,1.0,0.04392040479179352
0,negation_antonym,asymmetric_conclusion,0.0,-0.010893655229399519
0,negation_paraphrase_inversion,original,1.0,0.055469854703928886
1,paraphrase_inversion,asymmetric_premise,1.0,0.030814107849574102
1,negation_paraphrase,original,0.0,-0.016487667129302795
1,negation_paraphrase,asymmetric_conclusion,1.0,0.014463220033176011
2,paraphrase,asymmetric_conclusion,1.0,0.0754728916007335
2,negation_paraphrase,original,1.0,0.026529214356123414
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.011744400750923558
3,original,asymmetric_conclusion,1.0,0.04945358205532258
3,antonym,asymmetric_conclusion,0.0,-0.0318531427610583
3,negation_antonym,asymmetric_premise,1.0,0.023073312505143967
4,negation,asymmetric_premise,1.0,0.013167799551967197
4,negation_paraphrase,asymmetric_premise,0.2,-0.0030197742891870587
4,negation_paraphrase_inversion,original,1.0,0.005697446250687596
5,original,asymmetric_conclusion,0.9,0.02200931496835244
5,paraphrase_inversion,asymmetric_premise,1.0,0.022489847461152644
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.03864532678251521
6,negation,original,0.0,-0.014346502535819339
6,paraphrase,asymmetric_conclusion,0.0,-0.0683206324340569
6,negation_paraphrase,original,0.0,-0.014230542209992054
7,antonym,asymmetric_conclusion,1.0,0.03727037624319995
7,paraphrase_inversion,asymmetric_conclusion,1.0,0.060642229786835145
7,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.030307630104472093
8,antonym,asymmetric_premise,1.0,0.08420415565236106
8,paraphrase_inversion,asymmetric_conclusion,0.0,-0.019796635671275827
8,negation_paraphrase_inversion,asymmetric_premise,0.5,0.0025820344070734387
9,original,original,0.0,-0.015905177269487394
9,antonym,asymmetric_premise,0.0,-0.019601989275033503
9,paraphrase,original,0.0,-0.03361306494783104
10,negation,asymmetric_conclusion,1.0,0.014439755607117775
10,antonym,original,1.0,0.014191901131983644
10,paraphrase_inversion,asymmetric_conclusion,0.9,0.01760650328450939
11,paraphrase,asymmetric_conclusion,1.0,0.04406933821289776
11,paraphrase_inversion,original,0.7,0.005106565043427576
11,negation_paraphrase,original,0.4,-0.0016609704801262694
12,original,asymmetric_conclusion,0.0,-0.025938952848671547
12,negation,asymmetric_conclusion,0.0,-0.04320002007703859
12,negation_paraphrase_inversion,asymmetric_conclusion,0.6,0.004332609339855205
13,antonym,original,0.6,-0.000926701799413477
13,negation_antonym,original,0.9,0.007972509157020984
13,negation_paraphrase_inversion,asymmetric_premise,1.0,0.1661370313654352
14,antonym,original,0.2,-0.006516873718821162
14,paraphrase,asymmetric_premise,0.0,-0.03104934536653286
14,negation_paraphrase_inversion,asymmetric_conclusion,0.1,-0.009419313433960729
15,negation,original,1.0,0.028186909444795738
15,paraphrase_inversion,original,1.0,0.01577629025582534
15,negation_paraphrase,original,0.0,-0.062318133084953
16,paraphrase,original,0.0,-0.012449124128831857
16,paraphrase_inversion,original,0.4,0.004235769958593796
16,negation_paraphrase_inversion,original,0.9,0.005538447028172263
17,original,asymmetric_premise,0.0,-0.04908252177061981
17,antonym,asymmetric_premise,1.0,0.03895005853936032
17,negation_antonym,original,0.1,-0.01474269508246523
18,original,original,0.8,0.013544307538089741
18,negation_antonym,asymmetric_premise,1.0,0.015073807074904485
18,negation_paraphrase,original,0.0,-0.034910381187431686
19,paraphrase,asymmetric_premise,0.0,-0.021640127292449084
19,negation_paraphrase,asymmetric_conclusion,0.0,-0.007332789084227695
19,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.013619048776331124
