truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,asymmetric_premise,0.0,-0.9599090908919446
0,negation_antonym,asymmetric_conclusion,0.0,-0.9570325999359023
0,negation_paraphrase_inversion,original,0.0,-0.9665907309116679
1,paraphrase_inversion,asymmetric_premise,0.0,-0.9587138620693775
1,negation_paraphrase,original,0.0,-0.8753358865508627
1,negation_paraphrase,asymmetric_conclusion,1.0,0.8788372786225205
2,paraphrase,asymmetric_conclusion,0.0,-0.9747969257513251
2,negation_paraphrase,original,0.0,-0.983882908872884
2,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.7644848016671503
3,original,asymmetric_conclusion,0.1,-0.09416631765083112
3,antonym,asymmetric_conclusion,1.0,0.5858279919211472
3,negation_antonym,asymmetric_premise,0.0,-0.7533599293782115
4,negation,asymmetric_premise,1.0,0.9816798055395235
4,negation_paraphrase,asymmetric_premise,1.0,0.9227733727544625
4,negation_paraphrase_inversion,original,0.0,-0.9941161893776824
5,original,asymmetric_conclusion,1.0,0.9895510181124235
5,paraphrase_inversion,asymmetric_premise,0.0,-0.9774065120232805
5,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9781348903658001
6,negation,original,0.0,-0.96836621055613
6,paraphrase,asymmetric_conclusion,1.0,0.34309315558979153
6,negation_paraphrase,original,1.0,0.377367217817702
7,antonym,asymmetric_conclusion,1.0,0.9605771488274897
7,paraphrase_inversion,asymmetric_conclusion,1.0,0.9620352359166631
7,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9729180983535397
8,antonym,asymmetric_premise,1.0,0.9493437408427372
8,paraphrase_inversion,asymmetric_conclusion,1.0,0.9629760443728468
8,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9552385633751994
9,original,original,0.0,-0.9715412678253589
9,antonym,asymmetric_premise,0.0,-0.9515884198632796
9,paraphrase,original,1.0,0.8767960858039222
10,negation,asymmetric_conclusion,1.0,0.6874297330258092
10,antonym,original,0.0,-0.9118150112214991
10,paraphrase_inversion,asymmetric_conclusion,1.0,0.8306630705183599
11,paraphrase,asymmetric_conclusion,0.1,-0.05771597743488098
11,paraphrase_inversion,original,1.0,0.9537666514486574
11,negation_paraphrase,original,0.4,-0.01625937470139914
12,original,asymmetric_conclusion,0.2,-0.03949151942976896
12,negation,asymmetric_conclusion,0.6,0.011297255463217696
12,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6606186401465384
13,antonym,original,0.0,-0.9719742705132232
13,negation_antonym,original,1.0,0.9092635742596945
13,negation_paraphrase_inversion,asymmetric_premise,1.0,0.3198606439442729
14,antonym,original,1.0,0.978125293246029
14,paraphrase,asymmetric_premise,0.0,-0.8662272625523503
14,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9738603951426905
15,negation,original,0.0,-0.8038068291332596
15,paraphrase_inversion,original,0.0,-0.9801205770318623
15,negation_paraphrase,original,0.0,-0.9507780770684873
16,paraphrase,original,1.0,0.8273521359504782
16,paraphrase_inversion,original,0.0,-0.7892542029719382
16,negation_paraphrase_inversion,original,1.0,0.8723976807093198
17,original,asymmetric_premise,0.0,-0.956002667092102
17,antonym,asymmetric_premise,1.0,0.9786263072977303
17,negation_antonym,original,1.0,0.9369435686913814
18,original,original,0.0,-0.9650932914895259
18,negation_antonym,asymmetric_premise,1.0,0.9709682735724842
18,negation_paraphrase,original,0.0,-0.61931001626316
19,paraphrase,asymmetric_premise,0.0,-0.8829715278116554
19,negation_paraphrase,asymmetric_conclusion,1.0,0.8426358414187194
19,negation_paraphrase_inversion,asymmetric_premise,1.0,0.13017585087023487
