truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.0,-0.027972472097838198
0,original,asymmetric_premise,1.0,0.02797256063249024
0,original,asymmetric_conclusion,1.0,0.027972484826376896
0,negation,original,1.0,0.02797262701990636
0,negation,asymmetric_premise,0.0,-0.027972593785879678
0,negation,asymmetric_conclusion,0.0,-0.02797240678684959
0,antonym,original,1.0,0.0279725818644657
0,antonym,asymmetric_premise,0.0,-0.027972602423983955
0,antonym,asymmetric_conclusion,0.0,-0.027972629684015964
0,paraphrase,original,1.0,0.02115494792285224
0,paraphrase,asymmetric_premise,0.0,-0.02115503515835506
0,paraphrase,asymmetric_conclusion,0.0,-0.02115499233579194
0,paraphrase_inversion,original,1.0,0.027972474896545346
0,paraphrase_inversion,asymmetric_premise,0.0,-0.02797260637979686
0,paraphrase_inversion,asymmetric_conclusion,0.0,-0.02797242441296256
0,negation_antonym,original,0.0,-0.027972585443700633
0,negation_antonym,asymmetric_premise,1.0,0.027972548469116502
0,negation_antonym,asymmetric_conclusion,1.0,0.027972493087880697
0,negation_paraphrase,original,0.0,-0.021154940302101948
0,negation_paraphrase,asymmetric_premise,1.0,0.021154794357642667
0,negation_paraphrase,asymmetric_conclusion,1.0,0.021155028182488187
0,negation_paraphrase_inversion,original,0.0,-0.027972456839827835
0,negation_paraphrase_inversion,asymmetric_premise,1.0,0.027972531650151754
0,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.02797259932929675
