truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.3693526413839127
0,original,asymmetric_premise,0.5,-0.02344049436923997
0,original,asymmetric_conclusion,0.5,-0.01554390468401548
0,negation,original,0.0,-0.40754289402486865
0,negation,asymmetric_premise,1.0,0.34662892575921295
0,negation,asymmetric_conclusion,1.0,0.5033669202244686
0,antonym,original,0.6,0.04257713160008622
0,antonym,asymmetric_premise,0.5,0.0002816016104511737
0,antonym,asymmetric_conclusion,0.5,-0.007703017955480018
0,paraphrase,original,1.0,0.9516207957699294
0,paraphrase,asymmetric_premise,0.0,-0.891566367112398
0,paraphrase,asymmetric_conclusion,0.0,-0.901012212258394
0,paraphrase_inversion,original,0.0,-0.809794541156657
0,paraphrase_inversion,asymmetric_premise,1.0,0.7899774471711524
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.8358277394695621
0,negation_antonym,original,1.0,0.3489386603952694
0,negation_antonym,asymmetric_premise,0.0,-0.40093667514234077
0,negation_antonym,asymmetric_conclusion,0.0,-0.3279764165589584
0,negation_paraphrase,original,0.0,-0.9320004200010248
0,negation_paraphrase,asymmetric_premise,1.0,0.8712068008988118
0,negation_paraphrase,asymmetric_conclusion,1.0,0.8735375938509934
0,negation_paraphrase_inversion,original,1.0,0.9300730858585581
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.792366949213085
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8204189557647432
1,original,original,1.0,0.7204154236122297
1,original,asymmetric_premise,0.1,-0.32566906916274085
1,original,asymmetric_conclusion,0.1,-0.3057463633944828
1,negation,original,1.0,0.31817360820201823
1,negation,asymmetric_premise,0.1,-0.24293752711565658
1,negation,asymmetric_conclusion,0.0,-0.29541687832159474
1,antonym,original,0.0,-0.32289116101618504
1,antonym,asymmetric_premise,0.7,0.07250684545865713
1,antonym,asymmetric_conclusion,0.8,0.1158813271931094
1,paraphrase,original,0.0,-0.925711285296116
1,paraphrase,asymmetric_premise,1.0,0.864903054953013
1,paraphrase,asymmetric_conclusion,1.0,0.860607828557686
1,paraphrase_inversion,original,1.0,0.4424776797871778
1,paraphrase_inversion,asymmetric_premise,0.0,-0.31873226920477926
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.3583859563204876
1,negation_antonym,original,0.2,-0.14844365199133663
1,negation_antonym,asymmetric_premise,0.8,0.10898527010100408
1,negation_antonym,asymmetric_conclusion,0.8,0.09574166882975119
1,negation_paraphrase,original,1.0,0.6421218919876671
1,negation_paraphrase,asymmetric_premise,0.0,-0.6221301674662918
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.6689662202100444
1,negation_paraphrase_inversion,original,0.0,-0.2736085334012665
1,negation_paraphrase_inversion,asymmetric_premise,0.9,0.18435677362491254
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.19777809586200376
2,original,original,0.1,-0.3611257192717922
2,original,asymmetric_premise,1.0,0.6600460086106346
2,original,asymmetric_conclusion,1.0,0.6501794456519565
2,negation,original,0.4,-0.13080344292902696
2,negation,asymmetric_premise,1.0,0.35135523020258236
2,negation,asymmetric_conclusion,1.0,0.35319631529328566
2,antonym,original,0.0,-0.6397869234745814
2,antonym,asymmetric_premise,1.0,0.543048084672687
2,antonym,asymmetric_conclusion,1.0,0.5101415203783136
2,paraphrase,original,0.4,-0.04128089575805391
2,paraphrase,asymmetric_premise,1.0,0.3652541447811194
2,paraphrase,asymmetric_conclusion,1.0,0.246287090049406
2,paraphrase_inversion,original,0.0,-0.7376266381827867
2,paraphrase_inversion,asymmetric_premise,1.0,0.7560047688923841
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.7399960843253535
2,negation_antonym,original,0.9,0.13289741638372615
2,negation_antonym,asymmetric_premise,0.0,-0.20957525008367672
2,negation_antonym,asymmetric_conclusion,0.1,-0.28495462901622937
2,negation_paraphrase,original,1.0,0.40883938323864477
2,negation_paraphrase,asymmetric_premise,0.1,-0.2504407822086222
2,negation_paraphrase,asymmetric_conclusion,0.1,-0.18486726209453302
2,negation_paraphrase_inversion,original,1.0,0.8163773712659053
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7308559361803391
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7558149851142548
3,original,original,0.0,-0.9860462876259165
3,original,asymmetric_premise,1.0,0.9832293663375766
3,original,asymmetric_conclusion,1.0,0.9852919552159733
3,negation,original,1.0,0.8618825838150765
3,negation,asymmetric_premise,0.0,-0.8676860965386659
3,negation,asymmetric_conclusion,0.0,-0.8268366528262986
3,antonym,original,1.0,0.6613093044974667
3,antonym,asymmetric_premise,0.0,-0.614412599399365
3,antonym,asymmetric_conclusion,0.0,-0.5858613878295094
3,paraphrase,original,0.8,0.2687751327211989
3,paraphrase,asymmetric_premise,0.2,-0.1684246754323628
3,paraphrase,asymmetric_conclusion,0.0,-0.3122661377827486
3,paraphrase_inversion,original,1.0,0.44850936157044297
3,paraphrase_inversion,asymmetric_premise,0.0,-0.6397543042890595
3,paraphrase_inversion,asymmetric_conclusion,0.0,-0.6148648047020433
3,negation_antonym,original,1.0,0.26917032794110657
3,negation_antonym,asymmetric_premise,0.0,-0.339204665761219
3,negation_antonym,asymmetric_conclusion,0.0,-0.296662204581381
3,negation_paraphrase,original,1.0,0.3453655129229206
3,negation_paraphrase,asymmetric_premise,0.1,-0.2072005726563347
3,negation_paraphrase,asymmetric_conclusion,0.0,-0.2573300132373192
3,negation_paraphrase_inversion,original,0.0,-0.8674518746449067
