truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,asymmetric_premise,0.0,-0.9873567192301815
0,negation_antonym,asymmetric_conclusion,0.0,-0.9722580615732426
0,negation_paraphrase_inversion,original,1.0,0.9970031470659819
1,paraphrase_inversion,asymmetric_premise,0.0,-0.9591665647623072
1,negation_paraphrase,original,0.0,-0.9217866460278484
1,negation_paraphrase,asymmetric_conclusion,1.0,0.9228067136324523
2,paraphrase,asymmetric_conclusion,1.0,0.8864795283559979
2,negation_paraphrase,original,1.0,0.8209274483041622
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9554359660357082
3,original,asymmetric_conclusion,1.0,0.9521123389623488
3,antonym,asymmetric_conclusion,0.0,-0.9303306330365497
3,negation_antonym,asymmetric_premise,1.0,0.8984742729797525
4,negation,asymmetric_premise,0.0,-0.9755640346561956
4,negation_paraphrase,asymmetric_premise,0.0,-0.9218067118519336
4,negation_paraphrase_inversion,original,0.0,-0.9951816863090492
5,original,asymmetric_conclusion,0.0,-0.9863157500645471
5,paraphrase_inversion,asymmetric_premise,1.0,0.9463674254334782
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9393437514368662
6,negation,original,0.0,-0.9347952904341634
6,paraphrase,asymmetric_conclusion,0.0,-0.96715626618677
6,negation_paraphrase,original,0.0,-0.9459132531598721
7,antonym,asymmetric_conclusion,1.0,0.9895134931229919
7,paraphrase_inversion,asymmetric_conclusion,0.0,-0.926174043115515
7,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.935718303312051
8,antonym,asymmetric_premise,1.0,0.6056817511564085
8,paraphrase_inversion,asymmetric_conclusion,0.0,-0.8938209701510236
8,negation_paraphrase_inversion,asymmetric_premise,1.0,0.7364322504128126
9,original,original,1.0,0.8758637541172396
9,antonym,asymmetric_premise,1.0,0.9129697417882777
9,paraphrase,original,1.0,0.7934481522276633
10,negation,asymmetric_conclusion,1.0,0.827260972202233
10,antonym,original,0.0,-0.905745243505741
10,paraphrase_inversion,asymmetric_conclusion,1.0,0.7863563062424171
11,paraphrase,asymmetric_conclusion,0.0,-0.9720969560145166
11,paraphrase_inversion,original,0.0,-0.9853323394128918
11,negation_paraphrase,original,0.0,-0.986497289560193
12,original,asymmetric_conclusion,1.0,0.9462829688778271
12,negation,asymmetric_conclusion,0.0,-0.9584826125676583
12,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9708065703273098
13,antonym,original,1.0,0.9730984284599888
13,negation_antonym,original,0.0,-0.9103457673668107
13,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9252700304405298
14,antonym,original,1.0,0.9572545632776809
14,paraphrase,asymmetric_premise,1.0,0.8625611899739895
14,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.8915462745024794
15,negation,original,0.0,-0.8671264511716938
15,paraphrase_inversion,original,0.0,-0.9506451005362221
15,negation_paraphrase,original,0.0,-0.5176711540236433
16,paraphrase,original,0.0,-0.6848459562760844
16,paraphrase_inversion,original,1.0,0.9611169203239296
16,negation_paraphrase_inversion,original,0.0,-0.9607533685325628
17,original,asymmetric_premise,1.0,0.9933807213467375
17,antonym,asymmetric_premise,0.0,-0.9904086352720893
17,negation_antonym,original,0.0,-0.9643969677210589
18,original,original,1.0,0.9479489753345145
18,negation_antonym,asymmetric_premise,0.0,-0.951461207506191
18,negation_paraphrase,original,0.0,-0.5081112041906616
19,paraphrase,asymmetric_premise,0.0,-0.9747896650287139
19,negation_paraphrase,asymmetric_conclusion,1.0,0.9056279867078206
19,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8706255845422047
