truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.7881925203416656
0,original,asymmetric_premise,0.0,-0.8108702496765554
0,original,asymmetric_conclusion,0.0,-0.8142176989552027
0,negation,original,0.0,-0.8599566264205155
0,negation,asymmetric_premise,1.0,0.8556319055298974
0,negation,asymmetric_conclusion,1.0,0.8778254234848802
0,antonym,original,0.0,-0.5071860518923704
0,antonym,asymmetric_premise,1.0,0.49628741483403316
0,antonym,asymmetric_conclusion,1.0,0.4189811644371118
0,paraphrase,original,1.0,0.7594004841571973
0,paraphrase,asymmetric_premise,0.0,-0.7670179094664313
0,paraphrase,asymmetric_conclusion,0.0,-0.8029376481989805
0,paraphrase_inversion,original,0.0,-0.4616502005390667
0,paraphrase_inversion,asymmetric_premise,1.0,0.4997066542599494
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.4337225525856578
0,negation_antonym,original,1.0,0.6077434727777045
0,negation_antonym,asymmetric_premise,0.0,-0.4506718265367352
0,negation_antonym,asymmetric_conclusion,0.0,-0.34162318741260045
0,negation_paraphrase,original,0.0,-0.8344170234679884
0,negation_paraphrase,asymmetric_premise,1.0,0.8422813859417531
0,negation_paraphrase,asymmetric_conclusion,1.0,0.8902304958994851
0,negation_paraphrase_inversion,original,1.0,0.636768687539636
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6454262246631794
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6734079450089454
1,original,original,1.0,0.9163350717346315
1,original,asymmetric_premise,0.0,-0.9109110039188206
1,original,asymmetric_conclusion,0.0,-0.915655278951033
1,negation,original,0.0,-0.9372166769897976
1,negation,asymmetric_premise,1.0,0.9472547277983784
1,negation,asymmetric_conclusion,1.0,0.9606270555606671
1,antonym,original,0.0,-0.9736873098276349
1,antonym,asymmetric_premise,1.0,0.9670216682346495
1,antonym,asymmetric_conclusion,1.0,0.9760643640033498
1,paraphrase,original,1.0,0.8989528385856286
1,paraphrase,asymmetric_premise,0.0,-0.8888135955909998
1,paraphrase,asymmetric_conclusion,0.0,-0.8593961873043152
1,paraphrase_inversion,original,0.0,-0.9911569756883314
1,paraphrase_inversion,asymmetric_premise,1.0,0.9926091391521534
1,paraphrase_inversion,asymmetric_conclusion,1.0,0.9925497591938074
1,negation_antonym,original,1.0,0.9793191377344446
1,negation_antonym,asymmetric_premise,0.0,-0.9800628683116331
1,negation_antonym,asymmetric_conclusion,0.0,-0.9874714860345172
1,negation_paraphrase,original,0.0,-0.976205766959114
1,negation_paraphrase,asymmetric_premise,1.0,0.9742951657479562
1,negation_paraphrase,asymmetric_conclusion,1.0,0.9800480783588258
1,negation_paraphrase_inversion,original,1.0,0.9918536209614233
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9930657089868138
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9956406897342676
2,original,original,1.0,0.9790634508606969
2,original,asymmetric_premise,0.0,-0.9784237365863058
2,original,asymmetric_conclusion,0.0,-0.9840980408316093
2,negation,original,0.0,-0.9864171616184872
2,negation,asymmetric_premise,1.0,0.9837068555908222
2,negation,asymmetric_conclusion,1.0,0.9895448219784907
2,antonym,original,0.0,-0.8950642274331292
2,antonym,asymmetric_premise,1.0,0.8804961276846063
2,antonym,asymmetric_conclusion,1.0,0.8677330923537981
2,paraphrase,original,1.0,0.8168601459979256
2,paraphrase,asymmetric_premise,0.0,-0.8443222493813536
2,paraphrase,asymmetric_conclusion,0.0,-0.8382875849386089
2,paraphrase_inversion,original,0.0,-0.36391189072840546
2,paraphrase_inversion,asymmetric_premise,1.0,0.3452283516788128
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.354931394104285
2,negation_antonym,original,1.0,0.9361820301918984
2,negation_antonym,asymmetric_premise,0.0,-0.9311649365961818
2,negation_antonym,asymmetric_conclusion,0.0,-0.9446263659145766
2,negation_paraphrase,original,0.0,-0.7409664259040218
2,negation_paraphrase,asymmetric_premise,1.0,0.7943981491178898
