perturbation,sentence,helpful_words
0-original-original,"A makes the varsity team while B does not, so A is more skilled than B",['skilled']
0-original-asymmetric_premise,"B makes the varsity team while A does not, so A is less skilled than B","['skilled', 'than']"
0-original-asymmetric_conclusion,"A makes the varsity team while B does not, so B is less skilled than A",['skilled']
0-negation-original,"A makes the varsity team while B does not, so A isn't less skilled than B",[]
0-negation-asymmetric_premise,"B makes the varsity team while A does not, so A isn't more skilled than B",['skilled']
0-negation-asymmetric_conclusion,"A makes the varsity team while B does not, so B isn't more skilled than A","['t', 'skilled']"
0-antonym-original,"A makes the varsity team while B does not, so A is less incompetent than B",['##pet']
0-antonym-asymmetric_premise,"B makes the varsity team while A does not, so A is more incompetent than B",['than']
0-antonym-asymmetric_conclusion,"A makes the varsity team while B does not, so B is more incompetent than A",['##com']
0-paraphrase-original,"A makes the varsity team while B does not, so A has better skills than B","['skills', 'than']"
0-paraphrase-asymmetric_premise,"B makes the varsity team while A does not, so A has worse skills than B","['has', 'skills']"
0-paraphrase-asymmetric_conclusion,"A makes the varsity team while B does not, so B has worse skills than A","['skills', '[MASK]']"
0-paraphrase_inversion-original,"A makes the varsity team while B does not, so A makes less mistakes than B","['mistakes', 'than']"
0-paraphrase_inversion-asymmetric_premise,"B makes the varsity team while A does not, so A makes more mistakes than B","['mistakes', 'than', 'so']"
0-paraphrase_inversion-asymmetric_conclusion,"A makes the varsity team while B does not, so B makes more mistakes than A",[]
0-negation_antonym-original,"A makes the varsity team while B does not, so A isn't more incompetent than B","['##ent', 'than']"
0-negation_antonym-asymmetric_premise,"B makes the varsity team while A does not, so A isn't less incompetent than B",[]
0-negation_antonym-asymmetric_conclusion,"A makes the varsity team while B does not, so B isn't less incompetent than A","['##pet', 'than']"
0-negation_paraphrase-original,"A makes the varsity team while B does not, so A does not have worse skills than B","['skills', '[MASK]']"
0-negation_paraphrase-asymmetric_premise,"B makes the varsity team while A does not, so A does not have better skills than B","['skills', 'varsity']"
0-negation_paraphrase-asymmetric_conclusion,"A makes the varsity team while B does not, so B does not have better skills than A","['skills', 'varsity']"
0-negation_paraphrase_inversion-original,"A makes the varsity team while B does not, so A does not make more mistakes than B","['mistakes', '[MASK]']"
0-negation_paraphrase_inversion-asymmetric_premise,"B makes the varsity team while A does not, so A does not make less mistakes than B","['mistakes', 'than']"
0-negation_paraphrase_inversion-asymmetric_conclusion,"A makes the varsity team while B does not, so B does not make less mistakes than A","['than', 'mistakes', 'does']"
1-original-original,"A is going to perform for people while B is not, so A finds it harder to be relaxed than B","['relaxed', 'finds']"
1-original-asymmetric_premise,"B is going to perform for people while A is not, so A finds it easier to be relaxed than B",['finds']
1-original-asymmetric_conclusion,"A is going to perform for people while B is not, so B finds it easier to be relaxed than A","['relaxed', 'finds']"
1-negation-original,"A is going to perform for people while B is not, so A does not find it easier to be relaxed than B",['relaxed']
1-negation-asymmetric_premise,"B is going to perform for people while A is not, so A does not find it harder to be relaxed than B",['relaxed']
1-negation-asymmetric_conclusion,"A is going to perform for people while B is not, so B does not find it harder to be relaxed than A",['relaxed']
1-antonym-original,"A is going to perform for people while B is not, so A finds it easier to be nervous than B",['nervous']
1-antonym-asymmetric_premise,"B is going to perform for people while A is not, so A finds it harder to be nervous than B",[]
1-antonym-asymmetric_conclusion,"A is going to perform for people while B is not, so B finds it harder to be nervous than A","['nervous', '[MASK]']"
1-paraphrase-original,"A is going to perform for people while B is not, so A finds it harder to feel calm than B","['finds', 'feel', 'calm']"
1-paraphrase-asymmetric_premise,"B is going to perform for people while A is not, so A finds it easier to feel calm than B","['finds', 'calm', 'feel']"
1-paraphrase-asymmetric_conclusion,"A is going to perform for people while B is not, so B finds it easier to feel calm than A",['calm']
1-paraphrase_inversion-original,"A is going to perform for people while B is not, so A is more stressed than B","['stressed', 'than']"
1-paraphrase_inversion-asymmetric_premise,"B is going to perform for people while A is not, so A is less stressed than B",['stressed']
1-paraphrase_inversion-asymmetric_conclusion,"A is going to perform for people while B is not, so B is less stressed than A",['stressed']
1-negation_antonym-original,"A is going to perform for people while B is not, so A does not find it harder to be nervous than B","['be', '[MASK]']"
1-negation_antonym-asymmetric_premise,"B is going to perform for people while A is not, so A does not find it easier to be nervous than B","['nervous', 'find', 'than']"
1-negation_antonym-asymmetric_conclusion,"A is going to perform for people while B is not, so B does not find it easier to be nervous than A",['nervous']
1-negation_paraphrase-original,"A is going to perform for people while B is not, so A does not find it easier to feel calm than B","['calm', 'feel']"
1-negation_paraphrase-asymmetric_premise,"B is going to perform for people while A is not, so A does not find it harder to feel calm than B","['calm', '[MASK]']"
1-negation_paraphrase-asymmetric_conclusion,"A is going to perform for people while B is not, so B does not find it harder to feel calm than A",['than']
1-negation_paraphrase_inversion-original,"A is going to perform for people while B is not, so A isn't less stressed than B","['stressed', '[MASK]']"
1-negation_paraphrase_inversion-asymmetric_premise,"B is going to perform for people while A is not, so A isn't more stressed than B",['stressed']
1-negation_paraphrase_inversion-asymmetric_conclusion,"A is going to perform for people while B is not, so B isn't more stressed than A","['[MASK]', 'stressed']"
2-original-original,"A won the competition while B did not, so A finds it easier to be happy than B","['than', 'finds']"
2-original-asymmetric_premise,"B won the competition while A did not, so A finds it harder to be happy than B",['finds']
2-original-asymmetric_conclusion,"A won the competition while B did not, so B finds it harder to be happy than A","['finds', 'be']"
2-negation-original,"A won the competition while B did not, so A does not find it harder to be happy than B","['find', 'than']"
2-negation-asymmetric_premise,"B won the competition while A did not, so A does not find it easier to be happy than B",['happy']
2-negation-asymmetric_conclusion,"A won the competition while B did not, so B does not find it easier to be happy than A","['happy', 'be']"
2-antonym-original,"A won the competition while B did not, so A finds it harder to be sad than B","['sad', 'finds']"
2-antonym-asymmetric_premise,"B won the competition while A did not, so A finds it easier to be sad than B","['sad', 'finds']"
2-antonym-asymmetric_conclusion,"A won the competition while B did not, so B finds it easier to be sad than A","['than', 'sad']"
2-paraphrase-original,"A won the competition while B did not, so A finds it easier to feel happiness than B","['happiness', 'finds']"
2-paraphrase-asymmetric_premise,"B won the competition while A did not, so A finds it harder to feel happiness than B",['finds']
2-paraphrase-asymmetric_conclusion,"A won the competition while B did not, so B finds it harder to feel happiness than A","['than', 'feel']"
2-paraphrase_inversion-original,"A won the competition while B did not, so A is frowning less than B","['frowning', 'than']"
2-paraphrase_inversion-asymmetric_premise,"B won the competition while A did not, so A is frowning more than B",['frowning']
2-paraphrase_inversion-asymmetric_conclusion,"A won the competition while B did not, so B is frowning more than A","['frowning', '[MASK]']"
2-negation_antonym-original,"A won the competition while B did not, so A does not find it easier to be sad than B","['find', 'sad']"
2-negation_antonym-asymmetric_premise,"B won the competition while A did not, so A does not find it harder to be sad than B","['sad', 'find']"
2-negation_antonym-asymmetric_conclusion,"A won the competition while B did not, so B does not find it harder to be sad than A","['sad', 'find']"
2-negation_paraphrase-original,"A won the competition while B did not, so A does not find it harder to feel happiness than B","['happiness', 'feel']"
2-negation_paraphrase-asymmetric_premise,"B won the competition while A did not, so A does not find it easier to feel happiness than B",['happiness']
2-negation_paraphrase-asymmetric_conclusion,"A won the competition while B did not, so B does not find it easier to feel happiness than A",['[MASK]']
2-negation_paraphrase_inversion-original,"A won the competition while B did not, so A isn't frowning more than B","['frowning', 'isn']"
2-negation_paraphrase_inversion-asymmetric_premise,"B won the competition while A did not, so A isn't frowning less than B",['frowning']
2-negation_paraphrase_inversion-asymmetric_conclusion,"A won the competition while B did not, so B isn't frowning less than A","['frowning', 'than', 'isn']"
