truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
10,original,original,1.0,0.7200928500469107
10,original,asymmetric_premise,0.0,-0.726016249844738
10,original,asymmetric_conclusion,0.0,-0.7432590365705215
10,negation,original,0.0,-0.39198557287374547
10,negation,asymmetric_premise,1.0,0.39597456488937255
10,negation,asymmetric_conclusion,1.0,0.4212329461364416
10,antonym,original,0.0,-0.9049533808949952
10,antonym,asymmetric_premise,1.0,0.9232293838831132
10,antonym,asymmetric_conclusion,1.0,0.9175991304461562
10,paraphrase,original,1.0,0.8421264232517132
10,paraphrase,asymmetric_premise,0.0,-0.8607023929259107
10,paraphrase,asymmetric_conclusion,0.0,-0.8624482782310489
10,paraphrase_inversion,original,0.0,-0.6428151499211674
10,paraphrase_inversion,asymmetric_premise,1.0,0.6841412992659778
10,paraphrase_inversion,asymmetric_conclusion,1.0,0.7036500078245485
10,negation_antonym,original,1.0,0.6236058087001181
10,negation_antonym,asymmetric_premise,0.0,-0.6441293962680471
10,negation_antonym,asymmetric_conclusion,0.0,-0.6739854393944791
10,negation_paraphrase,original,0.0,-0.664827019481193
10,negation_paraphrase,asymmetric_premise,1.0,0.6737828716165106
10,negation_paraphrase,asymmetric_conclusion,1.0,0.6905027008215132
10,negation_paraphrase_inversion,original,1.0,0.10033666919407944
10,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.16679838844163705
10,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.15791602830971044
12,original,original,0.0,-0.9929619282625832
12,original,asymmetric_premise,1.0,0.993719438891042
12,original,asymmetric_conclusion,1.0,0.9935764181015221
12,negation,original,1.0,0.9814434120968375
12,negation,asymmetric_premise,0.0,-0.9801376698406182
12,negation,asymmetric_conclusion,0.0,-0.9809278938448912
12,antonym,original,1.0,0.9905476413743756
12,antonym,asymmetric_premise,0.0,-0.9911339148007844
12,antonym,asymmetric_conclusion,0.0,-0.9931412904394836
12,paraphrase,original,0.0,-0.9867401116373147
12,paraphrase,asymmetric_premise,1.0,0.9866262407031373
12,paraphrase,asymmetric_conclusion,1.0,0.9903005989482866
12,paraphrase_inversion,original,0.0,-0.6456063828923548
12,paraphrase_inversion,asymmetric_premise,1.0,0.6261700702584989
12,paraphrase_inversion,asymmetric_conclusion,1.0,0.6189565090181437
12,negation_antonym,original,0.0,-0.9686260527870152
12,negation_antonym,asymmetric_premise,1.0,0.9684888601205783
12,negation_antonym,asymmetric_conclusion,1.0,0.9707908428311667
12,negation_paraphrase,original,1.0,0.9761676977621105
12,negation_paraphrase,asymmetric_premise,0.0,-0.9690755667443275
12,negation_paraphrase,asymmetric_conclusion,0.0,-0.9737875364153951
12,negation_paraphrase_inversion,original,1.0,0.44419520443164656
12,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.46530557572004777
12,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.45443507638186426
17,original,original,0.0,-0.6427365567406695
17,original,asymmetric_premise,1.0,0.6279569830905409
17,original,asymmetric_conclusion,1.0,0.6763706876636788
17,negation,original,1.0,0.8024083714749277
17,negation,asymmetric_premise,0.0,-0.7271773870091456
17,negation,asymmetric_conclusion,0.0,-0.8242857671812016
17,antonym,original,1.0,0.4498083723757321
17,antonym,asymmetric_premise,0.0,-0.4108896715522765
17,antonym,asymmetric_conclusion,0.0,-0.48024217350854326
17,paraphrase,original,0.0,-0.5888449447427537
17,paraphrase,asymmetric_premise,1.0,0.5648366455154992
17,paraphrase,asymmetric_conclusion,1.0,0.5682134274276536
17,paraphrase_inversion,original,1.0,0.9674415391955625
17,paraphrase_inversion,asymmetric_premise,0.0,-0.9632173364995434
17,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9699368359571225
17,negation_antonym,original,0.0,-0.7245863984464682
17,negation_antonym,asymmetric_premise,1.0,0.6245775882674194
17,negation_antonym,asymmetric_conclusion,1.0,0.758394750484663
17,negation_paraphrase,original,1.0,0.10151050280246063
17,negation_paraphrase,asymmetric_premise,0.0,-0.15449646020100974
17,negation_paraphrase,asymmetric_conclusion,0.0,-0.12641192184161576
17,negation_paraphrase_inversion,original,0.0,-0.9854733500799465
17,negation_paraphrase_inversion,asymmetric_premise,1.0,0.9857670598493664
17,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.984932297437819
