relation,property comparison,relation token,property token
priest,pray more,[6040],"[7581, 725]"
priest,preach more,[6040],"[28974, 725]"
priest,talk to god more,[6040],"[1375, 485, 1436, 725]"
priest,bless more,[6040],"[12730, 725]"
priest,speak more,[6040],"[2071, 725]"
priest,comfort mass more,[6040],"[4193, 5547, 725]"
priest,swear more,[6040],"[4300, 725]"
priest,say his prayer more,[6040],"[937, 524, 7519, 725]"
priest,sing more,[6040],"[988, 725]"
priest,believe in god more,[6040],"[1441, 500, 1436, 725]"
lawyer,object to statement more,[5737],"[5481, 485, 4833, 725]"
lawyer,settle dispute more,[5737],"[5369, 20667, 725]"
lawyer,question witness more,[5737],"[1756, 6603, 725]"
lawyer,present his case more,[5737],"[3238, 524, 1703, 725]"
lawyer,prove that defendant be lie more,[5737],"[4012, 525, 22255, 580, 1485, 725]"
lawyer,find fact or fiction more,[5737],"[1085, 1618, 522, 9375, 725]"
lawyer,fine suspect more,[5737],"[1614, 5473, 725]"
lawyer,argue case more,[5737],"[5417, 1703, 725]"
lawyer,reason with criminal more,[5737],"[1774, 556, 8169, 725]"
lawyer,deal with defendant more,[5737],"[2101, 556, 22255, 725]"
parent,teach more,[8985],"[5423, 725]"
parent,love their child more,[8985],"[1119, 754, 2021, 725]"
parent,give his child candy more,[8985],"[1168, 524, 2021, 7023, 725]"
parent,take care of his child more,[8985],"[921, 1533, 498, 524, 2021, 725]"
parent,make wine more,[8985],"[925, 3204, 725]"
parent,parent child more,[8985],"[8985, 2021, 725]"
parent,scold more,[8985],"[25981, 725]"
parent,raise his child more,[8985],"[4459, 524, 2021, 725]"
parent,name their child more,[8985],"[1362, 754, 2021, 725]"
parent,discipline their child more,[8985],"[13606, 754, 2021, 725]"
teacher,explain something more,[5172],"[2719, 846, 725]"
teacher,teach student more,[5172],"[5423, 5864, 725]"
teacher,question student more,[5172],"[1756, 5864, 725]"
teacher,answer question more,[5172],"[1700, 1756, 725]"
teacher,give lecture more,[5172],"[1168, 9923, 725]"
teacher,help student more,[5172],"[1150, 5864, 725]"
teacher,take note more,[5172],"[921, 3252, 725]"
teacher,assign assignment more,[5172],"[27221, 8710, 725]"
teacher,read to his pupil more,[5172],"[1456, 485, 524, 21599, 725]"
teacher,educate more,[5172],"[31275, 725]"
