,perturbation,sentence,helpful_words
0,0-original-original,"A makes the varsity team while B does not, so A is more skilled than B",['skilled']
1,0-original-asymmetric_premise,"B makes the varsity team while A does not, so A is less skilled than B","['skilled', 'than']"
2,0-original-asymmetric_conclusion,"A makes the varsity team while B does not, so B is less skilled than A",['skilled']
3,0-negation-original,"A makes the varsity team while B does not, so A isn't less skilled than B",[]
4,0-negation-asymmetric_premise,"B makes the varsity team while A does not, so A isn't more skilled than B",['skilled']
5,0-negation-asymmetric_conclusion,"A makes the varsity team while B does not, so B isn't more skilled than A","['t', 'skilled']"
6,0-antonym-original,"A makes the varsity team while B does not, so A is less incompetent than B",['##pet']
7,0-antonym-asymmetric_premise,"B makes the varsity team while A does not, so A is more incompetent than B",['than']
8,0-antonym-asymmetric_conclusion,"A makes the varsity team while B does not, so B is more incompetent than A",['##com']
9,0-paraphrase-original,"A makes the varsity team while B does not, so A has better skills than B","['skills', 'than']"
10,0-paraphrase-asymmetric_premise,"B makes the varsity team while A does not, so A has worse skills than B","['has', 'skills']"
11,0-paraphrase-asymmetric_conclusion,"A makes the varsity team while B does not, so B has worse skills than A","['skills', '[MASK]']"
12,0-paraphrase_inversion-original,"A makes the varsity team while B does not, so A makes less mistakes than B","['mistakes', 'than']"
13,0-paraphrase_inversion-asymmetric_premise,"B makes the varsity team while A does not, so A makes more mistakes than B","['mistakes', 'than', 'so']"
14,0-paraphrase_inversion-asymmetric_conclusion,"A makes the varsity team while B does not, so B makes more mistakes than A",[]
15,0-negation_antonym-original,"A makes the varsity team while B does not, so A isn't more incompetent than B","['##ent', 'than']"
16,0-negation_antonym-asymmetric_premise,"B makes the varsity team while A does not, so A isn't less incompetent than B",[]
17,0-negation_antonym-asymmetric_conclusion,"A makes the varsity team while B does not, so B isn't less incompetent than A","['##pet', 'than']"
18,0-negation_paraphrase-original,"A makes the varsity team while B does not, so A does not have worse skills than B","['skills', '[MASK]']"
19,0-negation_paraphrase-asymmetric_premise,"B makes the varsity team while A does not, so A does not have better skills than B","['skills', 'varsity']"
20,0-negation_paraphrase-asymmetric_conclusion,"A makes the varsity team while B does not, so B does not have better skills than A","['skills', 'varsity']"
21,0-negation_paraphrase_inversion-original,"A makes the varsity team while B does not, so A does not make more mistakes than B","['mistakes', '[MASK]']"
22,0-negation_paraphrase_inversion-asymmetric_premise,"B makes the varsity team while A does not, so A does not make less mistakes than B","['mistakes', 'than']"
23,0-negation_paraphrase_inversion-asymmetric_conclusion,"A makes the varsity team while B does not, so B does not make less mistakes than A","['than', 'mistakes', 'does']"
24,1-original-original,"A is going to perform for people while B is not, so A finds it harder to be relaxed than B","['relaxed', 'finds']"
25,1-original-asymmetric_premise,"B is going to perform for people while A is not, so A finds it easier to be relaxed than B",['finds']
26,1-original-asymmetric_conclusion,"A is going to perform for people while B is not, so B finds it easier to be relaxed than A","['relaxed', 'finds']"
