truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,0.0,-0.9749001207287966
0,original,asymmetric_premise,1.0,0.9721265306055764
0,original,asymmetric_conclusion,1.0,0.9790816952433327
0,negation,original,1.0,0.9897657790253197
0,negation,asymmetric_premise,0.0,-0.9888094521387085
0,negation,asymmetric_conclusion,0.0,-0.9896389922030953
0,antonym,original,1.0,0.9935297406888125
0,antonym,asymmetric_premise,0.0,-0.9904058954754043
0,antonym,asymmetric_conclusion,0.0,-0.9920892789876843
0,paraphrase,original,0.0,-0.9043300846362883
0,paraphrase,asymmetric_premise,1.0,0.9131696129620869
0,paraphrase,asymmetric_conclusion,1.0,0.9219757584579614
0,paraphrase_inversion,original,1.0,0.9765188787370833
0,paraphrase_inversion,asymmetric_premise,0.0,-0.9549435101417825
0,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9460551530615373
0,negation_antonym,original,0.0,-0.8307550816918916
0,negation_antonym,asymmetric_premise,1.0,0.843037899557942
0,negation_antonym,asymmetric_conclusion,1.0,0.8482987775074061
0,negation_paraphrase,original,1.0,0.9612947786869667
0,negation_paraphrase,asymmetric_premise,0.0,-0.9647039400042466
0,negation_paraphrase,asymmetric_conclusion,0.0,-0.9639612781560594
0,negation_paraphrase_inversion,original,0.0,-0.620414946699871
0,negation_paraphrase_inversion,asymmetric_premise,1.0,0.7019241135278238
0,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.7727894777756945
