truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.8989224600713733
0,original,asymmetric_premise,0.0,-0.7312421788360102
0,original,asymmetric_conclusion,0.0,-0.7500067455885573
0,negation,original,0.0,-0.928093472089557
0,negation,asymmetric_premise,1.0,0.9184794562463111
0,negation,asymmetric_conclusion,1.0,0.9178574551274178
0,antonym,original,0.0,-0.812579932351533
0,antonym,asymmetric_premise,1.0,0.7587333167864138
0,antonym,asymmetric_conclusion,1.0,0.7887942948600547
0,paraphrase,original,1.0,0.9922381819911628
0,paraphrase,asymmetric_premise,0.0,-0.9563719007034106
0,paraphrase,asymmetric_conclusion,0.0,-0.9583442256419715
0,paraphrase_inversion,original,0.0,-0.9883696115469679
0,paraphrase_inversion,asymmetric_premise,1.0,0.967512369587347
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.9674060951584605
0,negation_antonym,original,1.0,0.906017351093215
0,negation_antonym,asymmetric_premise,0.0,-0.8943862094461753
0,negation_antonym,asymmetric_conclusion,0.0,-0.8848373593913117
0,negation_paraphrase,original,0.0,-0.9873846457682689
0,negation_paraphrase,asymmetric_premise,1.0,0.9910572573895783
0,negation_paraphrase,asymmetric_conclusion,1.0,0.9896800490064501
0,negation_paraphrase_inversion,original,1.0,0.9891308717924543
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9913984268192222
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9899638841040801
1,original,original,0.6,0.03825554273708183
1,original,asymmetric_premise,0.4,-0.009822633530976437
1,original,asymmetric_conclusion,0.8,0.0892622303823272
1,negation,original,1.0,0.7471193935733041
1,negation,asymmetric_premise,0.0,-0.6621359037608283
1,negation,asymmetric_conclusion,0.0,-0.674176002211166
1,antonym,original,1.0,0.40589092688721334
1,antonym,asymmetric_premise,0.0,-0.6546732745822352
1,antonym,asymmetric_conclusion,0.0,-0.6807016055682473
1,paraphrase,original,0.0,-0.9855556912792206
1,paraphrase,asymmetric_premise,1.0,0.9437574078691922
1,paraphrase,asymmetric_conclusion,1.0,0.9472896617853603
1,paraphrase_inversion,original,1.0,0.829448720282565
1,paraphrase_inversion,asymmetric_premise,0.0,-0.7911496485192784
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.8053405649040981
1,negation_antonym,original,0.0,-0.7109225640937689
1,negation_antonym,asymmetric_premise,1.0,0.6850948606447937
1,negation_antonym,asymmetric_conclusion,1.0,0.6745871302182536
1,negation_paraphrase,original,1.0,0.9448370758662868
1,negation_paraphrase,asymmetric_premise,0.0,-0.9656142956496627
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.966089310995695
1,negation_paraphrase_inversion,original,0.0,-0.9119998014633008
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.9121863801917142
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9057315752182273
2,original,original,1.0,0.4340230135160728
2,original,asymmetric_premise,0.2,-0.05604214630300401
2,original,asymmetric_conclusion,0.3,-0.1419947958171217
2,negation,original,0.0,-0.882261607437225
2,negation,asymmetric_premise,1.0,0.865187841336979
2,negation,asymmetric_conclusion,1.0,0.8656250485990261
2,antonym,original,0.0,-0.8511653185244878
2,antonym,asymmetric_premise,1.0,0.8494738837662588
2,antonym,asymmetric_conclusion,1.0,0.8308124404703431
2,paraphrase,original,1.0,0.5476269054852392
2,paraphrase,asymmetric_premise,0.4,-0.002604069463160043
2,paraphrase,asymmetric_conclusion,0.3,-0.09465219724448411
2,paraphrase_inversion,original,0.0,-0.48437304300155626
2,paraphrase_inversion,asymmetric_premise,1.0,0.5578895026092507
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.5944620909344622
2,negation_antonym,original,1.0,0.6921373545503198
2,negation_antonym,asymmetric_premise,0.0,-0.6565803242447678
2,negation_antonym,asymmetric_conclusion,0.0,-0.6551844134330658
2,negation_paraphrase,original,0.0,-0.8009776697766184
2,negation_paraphrase,asymmetric_premise,1.0,0.7854051509327113
2,negation_paraphrase,asymmetric_conclusion,1.0,0.770183246499033
2,negation_paraphrase_inversion,original,1.0,0.5032214564610029
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6457040071875684
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6030045024337937
3,original,original,0.0,-0.9992348083554979
3,original,asymmetric_premise,1.0,0.9984148996161852
3,original,asymmetric_conclusion,1.0,0.9983696585290673
3,negation,original,1.0,0.9878605475697622
3,negation,asymmetric_premise,0.0,-0.9823729134110151
3,negation,asymmetric_conclusion,0.0,-0.9803085525078854
3,antonym,original,1.0,0.8970138911909913
