truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
15,original,original,1.0,0.64343460701844
15,original,asymmetric_premise,0.0,-0.46660655289405384
15,original,asymmetric_conclusion,0.0,-0.5098718079392104
15,negation,original,0.0,-0.17426545804887222
15,negation,asymmetric_premise,1.0,0.3740403446899291
15,negation,asymmetric_conclusion,1.0,0.29145770276190686
15,antonym,original,1.0,0.17957848727213002
15,antonym,asymmetric_premise,0.4,0.004210529509146255
15,antonym,asymmetric_conclusion,0.8,0.05264473887725814
15,paraphrase,original,1.0,0.7587473940690765
15,paraphrase,asymmetric_premise,0.0,-0.6541408958742915
15,paraphrase,asymmetric_conclusion,0.0,-0.6925947574266887
15,paraphrase_inversion,original,0.0,-0.3998084050365057
15,paraphrase_inversion,asymmetric_premise,1.0,0.509260693995084
15,paraphrase_inversion,asymmetric_conclusion,1.0,0.515337356217322
15,negation_antonym,original,1.0,0.5713402706255545
15,negation_antonym,asymmetric_premise,0.0,-0.6988961969595597
15,negation_antonym,asymmetric_conclusion,0.0,-0.6844469252032818
15,negation_paraphrase,original,0.0,-0.6393177078661114
15,negation_paraphrase,asymmetric_premise,1.0,0.6754492226455892
15,negation_paraphrase,asymmetric_conclusion,1.0,0.6720873109528165
15,negation_paraphrase_inversion,original,1.0,0.623575079678368
15,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7225849635713699
15,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6990190360936929
18,original,original,1.0,0.7246072504466935
18,original,asymmetric_premise,0.0,-0.5941856274421202
18,original,asymmetric_conclusion,0.0,-0.5818021481623159
18,negation,original,0.4,-0.08559827035535462
18,negation,asymmetric_premise,0.9,0.17229850037937036
18,negation,asymmetric_conclusion,0.8,0.13057285199175284
18,antonym,original,0.1,-0.17155589114108544
18,antonym,asymmetric_premise,1.0,0.11419286418453956
18,antonym,asymmetric_conclusion,1.0,0.15985435819750488
18,paraphrase,original,1.0,0.9546177321224528
18,paraphrase,asymmetric_premise,0.0,-0.8433303695799459
18,paraphrase,asymmetric_conclusion,0.0,-0.8694759411455749
18,paraphrase_inversion,original,0.1,-0.3646547496993263
18,paraphrase_inversion,asymmetric_premise,0.9,0.28612208930588817
18,paraphrase_inversion,asymmetric_conclusion,1.0,0.31995777397986414
18,negation_antonym,original,0.8,0.05406284601000573
18,negation_antonym,asymmetric_premise,0.1,-0.2094604584812016
18,negation_antonym,asymmetric_conclusion,0.0,-0.1718485149890609
18,negation_paraphrase,original,0.0,-0.45297523282633795
18,negation_paraphrase,asymmetric_premise,1.0,0.5350448002796014
18,negation_paraphrase,asymmetric_conclusion,1.0,0.4817256846766534
18,negation_paraphrase_inversion,original,1.0,0.5567749394177709
18,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6624549168754644
18,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6321511036154541
