truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
10,original,original,1.0,0.8865764110669282
10,original,asymmetric_premise,0.0,-0.8817277433805583
10,original,asymmetric_conclusion,0.0,-0.8832246294309269
10,negation,original,0.0,-0.8510935200218805
10,negation,asymmetric_premise,1.0,0.8486089538371836
10,negation,asymmetric_conclusion,1.0,0.855865234658323
10,antonym,original,0.0,-0.8959663191401759
10,antonym,asymmetric_premise,1.0,0.8907194475099509
10,antonym,asymmetric_conclusion,1.0,0.9002006234566261
10,paraphrase,original,1.0,0.8746067393714865
10,paraphrase,asymmetric_premise,0.0,-0.8774722002198813
10,paraphrase,asymmetric_conclusion,0.0,-0.8768417950139786
10,paraphrase_inversion,original,0.0,-0.8852165939504919
10,paraphrase_inversion,asymmetric_premise,1.0,0.879609967289705
10,paraphrase_inversion,asymmetric_conclusion,1.0,0.8963800483466411
10,negation_antonym,original,1.0,0.8714592699232473
10,negation_antonym,asymmetric_premise,0.0,-0.874252765918406
10,negation_antonym,asymmetric_conclusion,0.0,-0.8758948915734462
10,negation_paraphrase,original,0.0,-0.8555053339501386
10,negation_paraphrase,asymmetric_premise,1.0,0.8522236900963108
10,negation_paraphrase,asymmetric_conclusion,1.0,0.8522860453217082
10,negation_paraphrase_inversion,original,1.0,0.8748865588979877
10,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.865222792076343
10,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8749285685033839
12,original,original,0.4,-0.025051078304707604
12,original,asymmetric_premise,0.6,0.02157923561543033
12,original,asymmetric_conclusion,0.4,-0.0006542556845524476
12,negation,original,0.8,0.041772641783525764
12,negation,asymmetric_premise,0.1,-0.08859597985956819
12,negation,asymmetric_conclusion,0.6,-0.013576924635030482
12,antonym,original,0.2,-0.0643073245709282
12,antonym,asymmetric_premise,0.8,0.08774207411419926
12,antonym,asymmetric_conclusion,1.0,0.10125330973405566
12,paraphrase,original,1.0,0.5496334056663188
12,paraphrase,asymmetric_premise,0.0,-0.537815425709824
12,paraphrase,asymmetric_conclusion,0.0,-0.5781568861477367
12,paraphrase_inversion,original,0.0,-0.8733128958197062
12,paraphrase_inversion,asymmetric_premise,1.0,0.862091409223396
12,paraphrase_inversion,asymmetric_conclusion,1.0,0.8690554851727356
12,negation_antonym,original,0.5,0.032601342257615205
12,negation_antonym,asymmetric_premise,0.5,-0.030629573156822652
12,negation_antonym,asymmetric_conclusion,0.5,-0.0009484503554867338
12,negation_paraphrase,original,0.0,-0.510101908437918
12,negation_paraphrase,asymmetric_premise,1.0,0.5767966443838322
12,negation_paraphrase,asymmetric_conclusion,1.0,0.6061667166928624
12,negation_paraphrase_inversion,original,1.0,0.8566213529699057
12,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8401670870223258
12,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8521075599692771
17,original,original,1.0,0.9660696835212008
17,original,asymmetric_premise,0.0,-0.9581788531544999
17,original,asymmetric_conclusion,0.0,-0.965946396760204
17,negation,original,0.0,-0.9872480662993974
17,negation,asymmetric_premise,1.0,0.9855664879852398
17,negation,asymmetric_conclusion,1.0,0.9881666607133637
17,antonym,original,0.0,-0.9578055282258859
17,antonym,asymmetric_premise,1.0,0.9546031383334699
17,antonym,asymmetric_conclusion,1.0,0.9618393175411448
17,paraphrase,original,0.0,-0.8737493391218569
17,paraphrase,asymmetric_premise,1.0,0.8754107777632368
17,paraphrase,asymmetric_conclusion,1.0,0.8784571580046949
17,paraphrase_inversion,original,1.0,0.9761855976292017
17,paraphrase_inversion,asymmetric_premise,0.0,-0.9804257340290856
17,paraphrase_inversion,asymmetric_conclusion,0.0,-0.968086374295822
17,negation_antonym,original,1.0,0.9821111127280154
17,negation_antonym,asymmetric_premise,0.0,-0.9816958004834099
17,negation_antonym,asymmetric_conclusion,0.0,-0.9846417466868667
17,negation_paraphrase,original,1.0,0.8654723999523629
17,negation_paraphrase,asymmetric_premise,0.0,-0.8616651281812862
17,negation_paraphrase,asymmetric_conclusion,0.0,-0.8629292298203225
17,negation_paraphrase_inversion,original,0.0,-0.800898440680848
17,negation_paraphrase_inversion,asymmetric_premise,1.0,0.8037173011856735
17,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.795918540140466
