truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.022291680832609878
0,original,asymmetric_premise,0.0,0.0
0,original,asymmetric_conclusion,0.0,0.0
0,negation,original,0.0,0.0
0,negation,asymmetric_premise,1.0,0.05085221249417461
0,negation,asymmetric_conclusion,1.0,0.04954066965611745
0,antonym,original,0.0,0.0
0,antonym,asymmetric_premise,1.0,0.05988027632099826
0,antonym,asymmetric_conclusion,1.0,0.0598716355735646
0,paraphrase,original,1.0,0.12465910011799179
0,paraphrase,asymmetric_premise,0.0,0.0
0,paraphrase,asymmetric_conclusion,0.0,0.0
0,paraphrase_inversion,original,0.0,-0.10120931263932324
0,paraphrase_inversion,asymmetric_premise,0.0,0.0
0,paraphrase_inversion,asymmetric_conclusion,0.0,0.0
0,negation_antonym,original,1.0,0.05940341576589827
0,negation_antonym,asymmetric_premise,0.0,0.0
0,negation_antonym,asymmetric_conclusion,0.0,0.0
0,negation_paraphrase,original,0.0,0.0
0,negation_paraphrase,asymmetric_premise,1.0,0.08494698898158684
0,negation_paraphrase,asymmetric_conclusion,1.0,0.08440774019179659
0,negation_paraphrase_inversion,original,0.0,0.0
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.1097589678164207
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.1100553243549703
1,original,original,0.0,-0.0260351989979556
1,original,asymmetric_premise,0.0,0.0
1,original,asymmetric_conclusion,0.0,0.0
1,negation,original,0.0,0.0
1,negation,asymmetric_premise,0.0,-0.0186036964736045
1,negation,asymmetric_conclusion,0.0,-0.022793078620538094
1,antonym,original,0.0,0.0
1,antonym,asymmetric_premise,0.0,-0.02080563004583243
1,antonym,asymmetric_conclusion,0.0,-0.015096138198612902
1,paraphrase,original,0.0,-0.014923067392685235
1,paraphrase,asymmetric_premise,0.0,0.0
1,paraphrase,asymmetric_conclusion,0.0,0.0
1,paraphrase_inversion,original,1.0,0.010692756127126935
1,paraphrase_inversion,asymmetric_premise,0.0,0.0
1,paraphrase_inversion,asymmetric_conclusion,0.0,0.0
1,negation_antonym,original,0.0,-0.019974075172404543
1,negation_antonym,asymmetric_premise,0.0,0.0
1,negation_antonym,asymmetric_conclusion,0.0,0.0
1,negation_paraphrase,original,0.0,0.0
1,negation_paraphrase,asymmetric_premise,0.0,-0.012861363132941252
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.013608449862570097
1,negation_paraphrase_inversion,original,0.0,0.0
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.04096946488313272
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.039111723433565504
2,original,original,0.0,-0.0213685033922549
2,original,asymmetric_premise,0.0,0.0
2,original,asymmetric_conclusion,0.0,0.0
2,negation,original,0.0,0.0
2,negation,asymmetric_premise,1.0,0.011618348309166521
2,negation,asymmetric_conclusion,1.0,0.01518159705459475
2,antonym,original,0.0,0.0
2,antonym,asymmetric_premise,0.0,-0.0364444604535837
2,antonym,asymmetric_conclusion,0.0,-0.02964461252681767
2,paraphrase,original,0.0,-0.07390151227730743
2,paraphrase,asymmetric_premise,0.0,0.0
2,paraphrase,asymmetric_conclusion,0.0,0.0
2,paraphrase_inversion,original,0.0,-0.05715712389992491
2,paraphrase_inversion,asymmetric_premise,0.0,0.0
2,paraphrase_inversion,asymmetric_conclusion,0.0,0.0
2,negation_antonym,original,1.0,0.009498992587744377
2,negation_antonym,asymmetric_premise,0.0,0.0
2,negation_antonym,asymmetric_conclusion,0.0,0.0
2,negation_paraphrase,original,0.0,0.0
2,negation_paraphrase,asymmetric_premise,0.5,0.0005381436046142021
2,negation_paraphrase,asymmetric_conclusion,0.4,-0.0008717006698707324
2,negation_paraphrase_inversion,original,0.0,0.0
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.035238107367028454
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.03403972592146359
3,original,original,1.0,0.04687071649657066
3,original,asymmetric_premise,0.0,0.0
3,original,asymmetric_conclusion,0.0,0.0
3,negation,original,0.0,0.0
3,negation,asymmetric_premise,0.0,-0.009273651126733123
3,negation,asymmetric_conclusion,0.0,-0.008106914189269721
3,antonym,original,0.0,0.0
3,antonym,asymmetric_premise,1.0,0.03635018729484478
3,antonym,asymmetric_conclusion,1.0,0.03914015949769932
3,paraphrase,original,1.0,0.13706027639528234
3,paraphrase,asymmetric_premise,0.0,0.0
3,paraphrase,asymmetric_conclusion,0.0,0.0
3,paraphrase_inversion,original,0.9,0.01722459543252291
3,paraphrase_inversion,asymmetric_premise,0.0,0.0
3,paraphrase_inversion,asymmetric_conclusion,0.0,0.0
3,negation_antonym,original,0.0,-0.009072279575503214
3,negation_antonym,asymmetric_premise,0.0,0.0
3,negation_antonym,asymmetric_conclusion,0.0,0.0
3,negation_paraphrase,original,0.0,0.0
3,negation_paraphrase,asymmetric_premise,1.0,0.08117416429942424
3,negation_paraphrase,asymmetric_conclusion,1.0,0.08029858347234174
3,negation_paraphrase_inversion,original,0.0,0.0
3,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.05903293368540467
3,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.06034409063133565
4,original,original,0.0,-0.041468490792683416
4,original,asymmetric_premise,0.0,0.0
4,original,asymmetric_conclusion,0.0,0.0
4,negation,original,0.0,0.0
4,negation,asymmetric_premise,0.0,-0.03144131673315444
4,negation,asymmetric_conclusion,0.0,-0.027697250109439724
4,antonym,original,0.0,0.0
4,antonym,asymmetric_premise,0.0,-0.025077721874735004
4,antonym,asymmetric_conclusion,0.0,-0.030503939400431584
4,paraphrase,original,0.0,-0.05162157808531433
4,paraphrase,asymmetric_premise,0.0,0.0
4,paraphrase,asymmetric_conclusion,0.0,0.0
4,paraphrase_inversion,original,1.0,0.008130433010817244
4,paraphrase_inversion,asymmetric_premise,0.0,0.0
4,paraphrase_inversion,asymmetric_conclusion,0.0,0.0
4,negation_antonym,original,0.0,-0.036126299145178384
4,negation_antonym,asymmetric_premise,0.0,0.0
4,negation_antonym,asymmetric_conclusion,0.0,0.0
4,negation_paraphrase,original,0.0,0.0
4,negation_paraphrase,asymmetric_premise,0.0,-0.056956048725470144
4,negation_paraphrase,asymmetric_conclusion,0.0,-0.0581143642294652
4,negation_paraphrase_inversion,original,0.0,0.0
4,negation_paraphrase_inversion,asymmetric_premise,1.0,0.019950198493001232
4,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.019524040385567057
5,original,original,1.0,0.05899876879717725
5,original,asymmetric_premise,0.0,0.0
5,original,asymmetric_conclusion,0.0,0.0
5,negation,original,0.0,0.0
5,negation,asymmetric_premise,0.9,0.018207051503183663
