truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,asymmetric_premise,1.0,0.021486525223823168
0,negation_antonym,asymmetric_conclusion,0.1,-0.003941631226746919
0,negation_paraphrase_inversion,original,0.0,-0.016687841780732945
1,paraphrase_inversion,asymmetric_premise,1.0,0.04029464417749432
1,negation_paraphrase,original,0.0,-0.039965134432633734
1,negation_paraphrase,asymmetric_conclusion,1.0,0.03871662246524115
2,paraphrase,asymmetric_conclusion,1.0,0.0605034015418226
2,negation_paraphrase,original,1.0,0.01653984360312228
2,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.01978036880623535
3,original,asymmetric_conclusion,1.0,0.09451895754762883
3,antonym,asymmetric_conclusion,0.0,-0.044984362474251326
3,negation_antonym,asymmetric_premise,0.8,0.005374257630514272
4,negation,asymmetric_premise,1.0,0.012505851452662285
4,negation_paraphrase,asymmetric_premise,0.9,0.004557036797968947
4,negation_paraphrase_inversion,original,0.0,-0.026471587632292078
5,original,asymmetric_conclusion,0.0,-0.018141322597438603
5,paraphrase_inversion,asymmetric_premise,1.0,0.016161953180181182
5,negation_paraphrase_inversion,asymmetric_conclusion,0.1,-0.005407787220773018
6,negation,original,0.0,-0.019174226945443736
6,paraphrase,asymmetric_conclusion,0.0,-0.01764459512965801
6,negation_paraphrase,original,0.7,0.0006973629772227018
7,antonym,asymmetric_conclusion,1.0,0.045875897787482224
7,paraphrase_inversion,asymmetric_conclusion,1.0,0.01453562147793526
7,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.01912438816280187
8,antonym,asymmetric_premise,0.0,-0.016163039751457567
8,paraphrase_inversion,asymmetric_conclusion,0.0,-0.024794192875695818
8,negation_paraphrase_inversion,asymmetric_premise,1.0,0.00816990381080017
9,original,original,0.3,-0.002686453969863947
9,antonym,asymmetric_premise,1.0,0.022491249833348072
9,paraphrase,original,0.3,-0.0025679198764346064
10,negation,asymmetric_conclusion,1.0,0.021553136078370803
10,antonym,original,0.2,-0.006925390169903636
10,paraphrase_inversion,asymmetric_conclusion,1.0,0.021186180943986756
11,paraphrase,asymmetric_conclusion,1.0,0.011598639082653156
11,paraphrase_inversion,original,1.0,0.03406015831337673
11,negation_paraphrase,original,0.7,0.0033131986804582868
12,original,asymmetric_conclusion,0.0,-0.0675737090114574
12,negation,asymmetric_conclusion,1.0,0.038730501008597165
12,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.01704921634325543
13,antonym,original,1.0,0.02798634893855389
13,negation_antonym,original,0.2,-0.006032254051592052
13,negation_paraphrase_inversion,asymmetric_premise,1.0,0.027326910575946033
14,antonym,original,0.0,-0.03382243071366311
14,paraphrase,asymmetric_premise,0.0,-0.023516912260583177
14,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.01987514371332146
15,negation,original,1.0,0.029839984200951058
15,paraphrase_inversion,original,1.0,0.02834358960042708
15,negation_paraphrase,original,0.0,-0.01716994572886985
16,paraphrase,original,1.0,0.05868414926327743
16,paraphrase_inversion,original,0.0,-0.02788731695830181
16,negation_paraphrase_inversion,original,1.0,0.05565490516649818
17,original,asymmetric_premise,0.0,-0.02539877997687285
17,antonym,asymmetric_premise,1.0,0.03173902170055132
17,negation_antonym,original,1.0,0.014804897989808104
18,original,original,1.0,0.013748708890893963
18,negation_antonym,asymmetric_premise,0.1,-0.003902075528018192
18,negation_paraphrase,original,0.0,-0.026839455878005063
19,paraphrase,asymmetric_premise,0.0,-0.09766520351626985
19,negation_paraphrase,asymmetric_conclusion,1.0,0.11356398588995664
19,negation_paraphrase_inversion,asymmetric_premise,1.0,0.03218613137526523
