truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.7197429031413074
0,original,asymmetric_premise,0.0,-0.5472042268873452
0,original,asymmetric_conclusion,0.0,-0.5680063928517196
0,negation,original,0.0,-0.4083333136065253
0,negation,asymmetric_premise,1.0,0.46639668925105343
0,negation,asymmetric_conclusion,1.0,0.49171160534088276
0,antonym,original,0.0,-0.5207557154329291
0,antonym,asymmetric_premise,1.0,0.714328295392411
0,antonym,asymmetric_conclusion,1.0,0.7087644577771011
0,paraphrase,original,1.0,0.9931803544892333
0,paraphrase,asymmetric_premise,0.0,-0.986917703234427
0,paraphrase,asymmetric_conclusion,0.0,-0.9885399027775275
0,paraphrase_inversion,original,0.0,-0.833354986367663
0,paraphrase_inversion,asymmetric_premise,1.0,0.8881262655988374
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.8917354857449709
0,negation_antonym,original,1.0,0.9388580393145688
0,negation_antonym,asymmetric_premise,0.0,-0.9370101502065854
0,negation_antonym,asymmetric_conclusion,0.0,-0.9307358136176175
0,negation_paraphrase,original,0.0,-0.9748570317369121
0,negation_paraphrase,asymmetric_premise,1.0,0.9748084531437387
0,negation_paraphrase,asymmetric_conclusion,1.0,0.9729579208401533
0,negation_paraphrase_inversion,original,1.0,0.9372586482783449
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9173274602199226
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9330250910731923
1,original,original,0.0,-0.5065106447398987
1,original,asymmetric_premise,1.0,0.678420114700582
1,original,asymmetric_conclusion,1.0,0.6493640253333937
1,negation,original,1.0,0.7719397515425641
1,negation,asymmetric_premise,0.0,-0.8438948504911
1,negation,asymmetric_conclusion,0.0,-0.8399278745528816
1,antonym,original,1.0,0.7940780853630642
1,antonym,asymmetric_premise,0.0,-0.8166634441284403
1,antonym,asymmetric_conclusion,0.0,-0.8019297518075987
1,paraphrase,original,0.1,-0.23058819720916085
1,paraphrase,asymmetric_premise,1.0,0.6012651251330849
1,paraphrase,asymmetric_conclusion,1.0,0.5875537868043093
1,paraphrase_inversion,original,1.0,0.6510500594037923
1,paraphrase_inversion,asymmetric_premise,0.0,-0.6359169793148222
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.6429641726727244
1,negation_antonym,original,0.0,-0.6744674388230367
1,negation_antonym,asymmetric_premise,1.0,0.6685434253461116
1,negation_antonym,asymmetric_conclusion,1.0,0.6799421123475875
1,negation_paraphrase,original,1.0,0.7681615739130245
1,negation_paraphrase,asymmetric_premise,0.0,-0.8302509992585945
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.8347664608691454
1,negation_paraphrase_inversion,original,0.0,-0.867355237808008
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.7982614625049533
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.8251564643602496
2,original,original,1.0,0.4253241762152868
2,original,asymmetric_premise,0.7,0.08449062708884617
2,original,asymmetric_conclusion,0.6,0.03253890123645845
2,negation,original,0.4,-0.03988293173453898
2,negation,asymmetric_premise,1.0,0.48715683240386154
2,negation,asymmetric_conclusion,1.0,0.4107074856164779
2,antonym,original,0.0,-0.2506241533805925
2,antonym,asymmetric_premise,1.0,0.14247116933173595
2,antonym,asymmetric_conclusion,0.9,0.14711355765217365
2,paraphrase,original,1.0,0.393935788309716
2,paraphrase,asymmetric_premise,0.6,0.060906981983470276
2,paraphrase,asymmetric_conclusion,0.8,0.07808481711586472
2,paraphrase_inversion,original,0.0,-0.8153166841660889
2,paraphrase_inversion,asymmetric_premise,1.0,0.8896738999055718
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.9085284347616858
2,negation_antonym,original,0.7,0.09549306610835676
2,negation_antonym,asymmetric_premise,0.0,-0.31454627500841087
2,negation_antonym,asymmetric_conclusion,0.0,-0.30717814621999934
2,negation_paraphrase,original,0.0,-0.30744010199313543
2,negation_paraphrase,asymmetric_premise,1.0,0.5214791458565914
2,negation_paraphrase,asymmetric_conclusion,1.0,0.5163558912446705
2,negation_paraphrase_inversion,original,1.0,0.9309971640420495
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9154520580114758
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9109952556873326
3,original,original,1.0,0.8807819897867992
3,original,asymmetric_premise,0.3,-0.047151382117318244
3,original,asymmetric_conclusion,0.4,-0.036797959094253097
3,negation,original,1.0,0.7466398074681211
3,negation,asymmetric_premise,0.9,0.3568925652520971
3,negation,asymmetric_conclusion,0.9,0.3672356886505063
3,antonym,original,0.0,-0.33045985564965885
3,antonym,asymmetric_premise,1.0,0.7031814616138343
3,antonym,asymmetric_conclusion,1.0,0.637747700749004
3,paraphrase,original,1.0,0.9986691582368665
3,paraphrase,asymmetric_premise,0.0,-0.994996803043558
3,paraphrase,asymmetric_conclusion,0.0,-0.9963379948996872
3,paraphrase_inversion,original,1.0,0.6632639807286969
3,paraphrase_inversion,asymmetric_premise,1.0,0.39019582484269333
3,paraphrase_inversion,asymmetric_conclusion,1.0,0.3233541917167206
3,negation_antonym,original,1.0,0.6938511731943958
3,negation_antonym,asymmetric_premise,0.0,-0.6400408634052005
3,negation_antonym,asymmetric_conclusion,0.0,-0.6132219845039486
3,negation_paraphrase,original,0.0,-0.893585553609981
3,negation_paraphrase,asymmetric_premise,1.0,0.9765111655020317
3,negation_paraphrase,asymmetric_conclusion,1.0,0.9745731265190617
3,negation_paraphrase_inversion,original,1.0,0.9593482193853484
3,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8459279269252408
3,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8687937202672007
4,original,original,0.0,-0.24846278433035612
4,original,asymmetric_premise,1.0,0.7115115394532291
4,original,asymmetric_conclusion,1.0,0.7499020615924284
4,negation,original,1.0,0.7820917734431271
4,negation,asymmetric_premise,0.0,-0.7424425917556998
4,negation,asymmetric_conclusion,0.0,-0.753294156428727
4,antonym,original,1.0,0.5295415507405217
4,antonym,asymmetric_premise,0.8,0.12142442830551603
4,antonym,asymmetric_conclusion,0.9,0.12280112526554654
4,paraphrase,original,0.0,-0.41758940681544476
4,paraphrase,asymmetric_premise,1.0,0.8853512841418928
4,paraphrase,asymmetric_conclusion,1.0,0.8649285357724539
4,paraphrase_inversion,original,1.0,0.7843720405539047
4,paraphrase_inversion,asymmetric_premise,0.8,0.16920763430558214
4,paraphrase_inversion,asymmetric_conclusion,0.6,0.1578062698411799
4,negation_antonym,original,0.0,-0.8156376945722151
4,negation_antonym,asymmetric_premise,1.0,0.8142015621110591
4,negation_antonym,asymmetric_conclusion,1.0,0.7880138402648279
4,negation_paraphrase,original,1.0,0.8195297398379123
4,negation_paraphrase,asymmetric_premise,0.0,-0.6514035257474802
4,negation_paraphrase,asymmetric_conclusion,0.0,-0.6374666796053783
4,negation_paraphrase_inversion,original,0.0,-0.894728994117937
4,negation_paraphrase_inversion,asymmetric_premise,1.0,0.8714843099233395
4,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.8819935922669788
5,original,original,1.0,0.9546418142950921
5,original,asymmetric_premise,0.0,-0.8894492797191061
5,original,asymmetric_conclusion,0.0,-0.8833228603965149
5,negation,original,0.0,-0.8296252869181883
5,negation,asymmetric_premise,1.0,0.9316144290147111
5,negation,asymmetric_conclusion,1.0,0.9250405756220056
5,antonym,original,0.0,-0.8041105178366112
5,antonym,asymmetric_premise,1.0,0.7333393701141664
5,antonym,asymmetric_conclusion,1.0,0.7173512911830243
5,paraphrase,original,1.0,0.9658002345240089
5,paraphrase,asymmetric_premise,0.0,-0.9369488708626026
5,paraphrase,asymmetric_conclusion,0.0,-0.9393137854846932
5,paraphrase_inversion,original,0.0,-0.9658570260784419
5,paraphrase_inversion,asymmetric_premise,1.0,0.9512963131047115
5,paraphrase_inversion,asymmetric_conclusion,1.0,0.9457447794851814
5,negation_antonym,original,1.0,0.9010168303599466
5,negation_antonym,asymmetric_premise,0.0,-0.9233639536204835
5,negation_antonym,asymmetric_conclusion,0.0,-0.931172767621355
5,negation_paraphrase,original,0.0,-0.8978244051270516
5,negation_paraphrase,asymmetric_premise,1.0,0.9771648927614269
5,negation_paraphrase,asymmetric_conclusion,1.0,0.9760633448186828
5,negation_paraphrase_inversion,original,1.0,0.9548183221266152
5,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9387827840362206
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9428825534504363
6,original,original,0.9,0.35702481193365354
6,original,asymmetric_premise,1.0,0.62100760890035
6,original,asymmetric_conclusion,0.9,0.5464503657381425
6,negation,original,1.0,0.9523678451290121
6,negation,asymmetric_premise,0.0,-0.8266097670857206
6,negation,asymmetric_conclusion,0.0,-0.8586748650236224
6,antonym,original,1.0,0.5072960654246241
6,antonym,asymmetric_premise,0.0,-0.5144560945511876
6,antonym,asymmetric_conclusion,0.0,-0.526127623672757
6,paraphrase,original,1.0,0.4260265631377839
6,paraphrase,asymmetric_premise,1.0,0.4908835490482019
6,paraphrase,asymmetric_conclusion,1.0,0.4548126050326745
6,paraphrase_inversion,original,1.0,0.3802771692194362
6,paraphrase_inversion,asymmetric_premise,0.0,-0.398703356639151
6,paraphrase_inversion,asymmetric_conclusion,0.0,-0.3597187424728504
6,negation_antonym,original,0.0,-0.4759366611881416
6,negation_antonym,asymmetric_premise,1.0,0.41221014320712274
6,negation_antonym,asymmetric_conclusion,1.0,0.44155762427467343
6,negation_paraphrase,original,1.0,0.878189971109749
6,negation_paraphrase,asymmetric_premise,0.0,-0.7077375914531043
6,negation_paraphrase,asymmetric_conclusion,0.0,-0.7593258194888526
6,negation_paraphrase_inversion,original,0.1,-0.21698240629527166
6,negation_paraphrase_inversion,asymmetric_premise,0.9,0.13520188354551924
6,negation_paraphrase_inversion,asymmetric_conclusion,0.9,0.08714072551845234
7,original,original,0.0,-0.2618592717778856
7,original,asymmetric_premise,0.4,0.011810347353499256
7,original,asymmetric_conclusion,0.7,0.10321695576060205
7,negation,original,1.0,0.9724029322832604
7,negation,asymmetric_premise,0.0,-0.9905288700488175
7,negation,asymmetric_conclusion,0.0,-0.9920041815388503
7,antonym,original,1.0,0.4936655365599093
7,antonym,asymmetric_premise,0.0,-0.4399813362978923
7,antonym,asymmetric_conclusion,0.0,-0.4585103255374622
7,paraphrase,original,0.0,-0.36855186314105737
7,paraphrase,asymmetric_premise,1.0,0.396345758003546
7,paraphrase,asymmetric_conclusion,1.0,0.4091112802063418
7,paraphrase_inversion,original,0.0,-0.15819969391542119
7,paraphrase_inversion,asymmetric_premise,0.4,-0.0344818794949375
7,paraphrase_inversion,asymmetric_conclusion,0.4,-0.002943225373169797
7,negation_antonym,original,0.0,-0.8562883322449814
7,negation_antonym,asymmetric_premise,1.0,0.8651090213784884
7,negation_antonym,asymmetric_conclusion,1.0,0.9126601066948783
7,negation_paraphrase,original,1.0,0.9759076659915575
7,negation_paraphrase,asymmetric_premise,0.0,-0.9874367938060449
7,negation_paraphrase,asymmetric_conclusion,0.0,-0.9860179900847255
7,negation_paraphrase_inversion,original,0.7,0.06406376214673855
7,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.27888441574551065
7,negation_paraphrase_inversion,asymmetric_conclusion,0.1,-0.1367156162335834
8,original,original,1.0,0.996675472561501
8,original,asymmetric_premise,0.0,-0.9961666855111136
8,original,asymmetric_conclusion,0.0,-0.9961237451537513
8,negation,original,0.0,-0.9938509458700544
8,negation,asymmetric_premise,1.0,0.9801961177500239
8,negation,asymmetric_conclusion,1.0,0.9798411810317861
8,antonym,original,0.0,-0.9164906661833834
8,antonym,asymmetric_premise,1.0,0.9816339342225774
8,antonym,asymmetric_conclusion,1.0,0.9822942620711963
8,paraphrase,original,0.0,-0.8133254735390961
8,paraphrase,asymmetric_premise,1.0,0.818534429353754
8,paraphrase,asymmetric_conclusion,1.0,0.8133426990771884
8,paraphrase_inversion,original,1.0,0.9993419730837344
8,paraphrase_inversion,asymmetric_premise,0.0,-0.9981101357031413
8,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9978533066303379
8,negation_antonym,original,1.0,0.9956463356790968
8,negation_antonym,asymmetric_premise,0.0,-0.9760926929348731
8,negation_antonym,asymmetric_conclusion,0.0,-0.9763867569824368
8,negation_paraphrase,original,1.0,0.25201427136358046
8,negation_paraphrase,asymmetric_premise,0.0,-0.44722953119472414
8,negation_paraphrase,asymmetric_conclusion,0.0,-0.46383282847029755
8,negation_paraphrase_inversion,original,0.0,-0.9147405161594483
8,negation_paraphrase_inversion,asymmetric_premise,1.0,0.9861276270136882
8,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9755809543740874
9,original,original,1.0,0.9770698193952091
9,original,asymmetric_premise,0.0,-0.9538628026104574
9,original,asymmetric_conclusion,0.0,-0.9545841362885994
9,negation,original,0.0,-0.7298135651756252
9,negation,asymmetric_premise,1.0,0.5986166443457563
9,negation,asymmetric_conclusion,1.0,0.6684469287840987
9,antonym,original,0.0,-0.3661499047747431
9,antonym,asymmetric_premise,1.0,0.6113626443766969
9,antonym,asymmetric_conclusion,1.0,0.5057669049593521
9,paraphrase,original,0.7,0.4
9,paraphrase,asymmetric_premise,0.1,-0.8970360846074457
9,paraphrase,asymmetric_conclusion,0.0,-1.0
9,paraphrase_inversion,original,0.0,-0.9480338025426226
9,paraphrase_inversion,asymmetric_premise,1.0,0.9706059618057349
9,paraphrase_inversion,asymmetric_conclusion,1.0,0.9524109127899003
9,negation_antonym,original,1.0,0.7838328499421362
9,negation_antonym,asymmetric_premise,0.0,-0.7157863622905294
9,negation_antonym,asymmetric_conclusion,0.0,-0.7167651155012205
9,negation_paraphrase,original,0.0,-1.0
9,negation_paraphrase,asymmetric_premise,0.0,-1.0
9,negation_paraphrase,asymmetric_conclusion,0.0,-1.0
9,negation_paraphrase_inversion,original,1.0,0.7413520555359934
9,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6526532358125376
9,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6244324535746022
10,original,original,1.0,1.0
10,original,asymmetric_premise,0.0,-1.0
10,original,asymmetric_conclusion,0.0,-0.9938251060159351
10,negation,original,0.0,-0.48294187962182794
10,negation,asymmetric_premise,1.0,0.44852525784632374
10,negation,asymmetric_conclusion,1.0,0.46598549134305667
10,antonym,original,0.0,-0.8550877186556868
10,antonym,asymmetric_premise,1.0,0.9060438534175622
10,antonym,asymmetric_conclusion,1.0,0.953823347051314
10,paraphrase,original,1.0,1.0
10,paraphrase,asymmetric_premise,0.0,-0.9798122450461652
10,paraphrase,asymmetric_conclusion,0.0,-0.9935427037601153
10,paraphrase_inversion,original,0.0,-0.76913858318121
10,paraphrase_inversion,asymmetric_premise,1.0,0.8550718636480118
10,paraphrase_inversion,asymmetric_conclusion,1.0,0.8344450574933935
10,negation_antonym,original,1.0,0.5929772140772523
10,negation_antonym,asymmetric_premise,0.0,-0.44147269297860303
10,negation_antonym,asymmetric_conclusion,0.0,-0.48442999278976984
10,negation_paraphrase,original,0.0,-0.6380153890779809
10,negation_paraphrase,asymmetric_premise,1.0,0.760571845392264
10,negation_paraphrase,asymmetric_conclusion,1.0,0.7099499132148483
10,negation_paraphrase_inversion,original,1.0,0.8183027471195313
10,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7976893776216696
10,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7888818429743597
11,original,original,1.0,0.9088255212335895
11,original,asymmetric_premise,0.0,-0.8767100586411127
11,original,asymmetric_conclusion,0.0,-0.8644296318724909
11,negation,original,0.0,-0.8628796029345676
11,negation,asymmetric_premise,1.0,0.8817486053927759
11,negation,asymmetric_conclusion,1.0,0.8888305559886167
11,antonym,original,0.0,-0.6239551753745847
11,antonym,asymmetric_premise,1.0,0.7641185679334038
11,antonym,asymmetric_conclusion,1.0,0.8201487323364471
11,paraphrase,original,1.0,0.5831874327141694
11,paraphrase,asymmetric_premise,0.0,-0.5407897362723262
11,paraphrase,asymmetric_conclusion,0.0,-0.5466985911224993
11,paraphrase_inversion,original,0.0,-0.4481416988383079
11,paraphrase_inversion,asymmetric_premise,1.0,0.5988001475496423
11,paraphrase_inversion,asymmetric_conclusion,1.0,0.5245741349982923
11,negation_antonym,original,1.0,0.8930422416213762
11,negation_antonym,asymmetric_premise,0.0,-0.8582235398349869
11,negation_antonym,asymmetric_conclusion,0.0,-0.873507832204583
11,negation_paraphrase,original,0.0,-0.8586852599302629
11,negation_paraphrase,asymmetric_premise,1.0,0.8258444150050698
11,negation_paraphrase,asymmetric_conclusion,1.0,0.8466813836228928
11,negation_paraphrase_inversion,original,1.0,0.8685900486473223
11,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.735275878966189
11,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7678070136570811
12,original,original,0.0,-0.625622715887859
12,original,asymmetric_premise,1.0,0.6065713012752925
12,original,asymmetric_conclusion,1.0,0.5607373658581354
12,negation,original,1.0,0.8589914968074307
12,negation,asymmetric_premise,0.0,-0.9053696686136476
12,negation,asymmetric_conclusion,0.0,-0.9255625278865314
12,antonym,original,1.0,0.815583751360804
12,antonym,asymmetric_premise,0.0,-0.7336996143637485
12,antonym,asymmetric_conclusion,0.0,-0.7562067545535858
12,paraphrase,original,0.0,-0.33479382591658846
12,paraphrase,asymmetric_premise,1.0,0.39391638322667055
12,paraphrase,asymmetric_conclusion,1.0,0.3511663748154716
12,paraphrase_inversion,original,1.0,0.9841486071320522
12,paraphrase_inversion,asymmetric_premise,0.0,-0.9738814808590834
12,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9801396195016384
12,negation_antonym,original,0.0,-0.7984676694451898
12,negation_antonym,asymmetric_premise,1.0,0.937979283519294
12,negation_antonym,asymmetric_conclusion,1.0,0.9243968896334737
