truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.5757502074678743
0,original,asymmetric_premise,0.0,-0.4894519325787855
0,original,asymmetric_conclusion,0.0,-0.45612614789640904
0,negation,original,0.0,-0.15438381439961632
0,negation,asymmetric_premise,1.0,0.2971205138901501
0,negation,asymmetric_conclusion,1.0,0.21731174092837885
0,antonym,original,0.0,-0.4763803293916723
0,antonym,asymmetric_premise,1.0,0.4939438733268108
0,antonym,asymmetric_conclusion,1.0,0.5200806773630332
0,paraphrase,original,1.0,0.9833954769767461
0,paraphrase,asymmetric_premise,0.0,-0.9726556351856657
0,paraphrase,asymmetric_conclusion,0.0,-0.9647574608230272
0,paraphrase_inversion,original,0.0,-0.7371680184353754
0,paraphrase_inversion,asymmetric_premise,1.0,0.837650365023294
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.8383976481920437
0,negation_antonym,original,1.0,0.9339694594892547
0,negation_antonym,asymmetric_premise,0.0,-0.9321670852343151
0,negation_antonym,asymmetric_conclusion,0.0,-0.9378604292219457
0,negation_paraphrase,original,0.0,-0.9786677815149216
0,negation_paraphrase,asymmetric_premise,1.0,0.9799578768954049
0,negation_paraphrase,asymmetric_conclusion,1.0,0.9690132902749669
0,negation_paraphrase_inversion,original,1.0,0.9266887838651747
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8650372616718587
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7742457522274684
1,original,original,0.0,-0.2079330187198078
1,original,asymmetric_premise,1.0,0.8218883564803481
1,original,asymmetric_conclusion,1.0,0.7853926732549766
1,negation,original,1.0,0.8721766686630688
1,negation,asymmetric_premise,0.0,-0.8586053766446888
1,negation,asymmetric_conclusion,0.0,-0.9393930680986815
1,antonym,original,1.0,0.7570815104625782
1,antonym,asymmetric_premise,0.0,-0.7690248063617436
1,antonym,asymmetric_conclusion,0.0,-0.7218089384849042
1,paraphrase,original,0.0,-0.2162755923509161
1,paraphrase,asymmetric_premise,1.0,0.602281790342648
1,paraphrase,asymmetric_conclusion,1.0,0.4090701547126213
1,paraphrase_inversion,original,1.0,0.5587880279884981
1,paraphrase_inversion,asymmetric_premise,0.0,-0.503757594737709
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.4234756160490165
1,negation_antonym,original,0.0,-0.7024805295249407
1,negation_antonym,asymmetric_premise,1.0,0.7870888212455859
1,negation_antonym,asymmetric_conclusion,1.0,0.7128787089034593
1,negation_paraphrase,original,1.0,0.8756559223578819
1,negation_paraphrase,asymmetric_premise,0.0,-0.8573703677361977
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.8682082579189816
1,negation_paraphrase_inversion,original,0.0,-0.7415364295482899
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.6137813581784588
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.625764837268341
2,original,original,1.0,0.3224245519452112
2,original,asymmetric_premise,0.0,-0.057948920478827284
2,original,asymmetric_conclusion,0.0,-0.09034063540752428
2,negation,original,1.0,0.07877403483971519
2,negation,asymmetric_premise,1.0,0.5766064225674593
2,negation,asymmetric_conclusion,1.0,0.4796059422641277
2,antonym,original,0.0,-0.3591085779666079
2,antonym,asymmetric_premise,1.0,0.18521534297873374
2,antonym,asymmetric_conclusion,1.0,0.28152108118809505
2,paraphrase,original,1.0,0.2513301546930144
2,paraphrase,asymmetric_premise,0.0,-0.3292847269971388
2,paraphrase,asymmetric_conclusion,1.0,0.0013389492794950704
2,paraphrase_inversion,original,0.0,-0.8834172574056731
2,paraphrase_inversion,asymmetric_premise,1.0,0.8478530661423236
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.807114287749237
2,negation_antonym,original,1.0,0.309368658438607
2,negation_antonym,asymmetric_premise,0.0,-0.4740738342884496
2,negation_antonym,asymmetric_conclusion,0.0,-0.31995449775015633
2,negation_paraphrase,original,0.0,-0.13070247623811906
2,negation_paraphrase,asymmetric_premise,1.0,0.5958350015318394
2,negation_paraphrase,asymmetric_conclusion,1.0,0.5749080124003302
2,negation_paraphrase_inversion,original,1.0,0.8672772514476652
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8762028489999454
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8603982686981875
3,original,original,1.0,0.6244214530308504
3,original,asymmetric_premise,0.0,-0.4024516177057885
3,original,asymmetric_conclusion,0.0,-0.041803778570563735
3,negation,original,1.0,0.4644255721354261
3,negation,asymmetric_premise,1.0,0.3108684885204314
3,negation,asymmetric_conclusion,1.0,0.2737105216648307
3,antonym,original,0.0,-0.731735591514519
3,antonym,asymmetric_premise,1.0,0.5556052485578039
3,antonym,asymmetric_conclusion,1.0,0.3792319744879878
3,paraphrase,original,1.0,0.9984255692866466
3,paraphrase,asymmetric_premise,0.0,-0.9907306609615512
3,paraphrase,asymmetric_conclusion,0.0,-0.9929438119301575
3,paraphrase_inversion,original,1.0,0.6377792162942387
3,paraphrase_inversion,asymmetric_premise,0.0,-0.041544866197259285
3,paraphrase_inversion,asymmetric_conclusion,1.0,0.13657707221949741
3,negation_antonym,original,0.0,-0.09810450907809333
3,negation_antonym,asymmetric_premise,0.0,-0.24508180244624173
3,negation_antonym,asymmetric_conclusion,0.0,-0.3454783487233644
3,negation_paraphrase,original,0.0,-0.8986241536512434
3,negation_paraphrase,asymmetric_premise,1.0,0.9321328362572755
3,negation_paraphrase,asymmetric_conclusion,1.0,0.9358168398596798
3,negation_paraphrase_inversion,original,1.0,0.9407177145445111
3,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7970799924101167
3,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8379255813485182
4,original,original,0.0,-0.10821334864352114
4,original,asymmetric_premise,1.0,0.8118444356687509
4,original,asymmetric_conclusion,1.0,0.7740455120215038
4,negation,original,1.0,0.8152279602506896
4,negation,asymmetric_premise,0.0,-0.5997133918333301
4,negation,asymmetric_conclusion,0.0,-0.7565241074002566
4,antonym,original,1.0,0.3440481171587465
4,antonym,asymmetric_premise,1.0,0.21935336179716242
4,antonym,asymmetric_conclusion,1.0,0.3401072082069327
4,paraphrase,original,0.0,-0.49341586205683996
4,paraphrase,asymmetric_premise,1.0,0.736683406254876
4,paraphrase,asymmetric_conclusion,1.0,0.7725995280874179
4,paraphrase_inversion,original,1.0,0.8576207749233082
4,paraphrase_inversion,asymmetric_premise,0.0,-0.0317047609926931
4,paraphrase_inversion,asymmetric_conclusion,0.0,-0.01410203869745107
4,negation_antonym,original,0.0,-0.7484650249763344
4,negation_antonym,asymmetric_premise,1.0,0.7548912256117016
4,negation_antonym,asymmetric_conclusion,1.0,0.754032599612385
4,negation_paraphrase,original,1.0,0.8236395530604221
4,negation_paraphrase,asymmetric_premise,0.0,-0.6919485156041488
4,negation_paraphrase,asymmetric_conclusion,0.0,-0.612715045672676
4,negation_paraphrase_inversion,original,0.0,-0.8803229676434865
4,negation_paraphrase_inversion,asymmetric_premise,1.0,0.9110360193877443
4,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9072901392985229
5,original,original,1.0,0.931208670356771
5,original,asymmetric_premise,0.0,-0.8159330089100829
5,original,asymmetric_conclusion,0.0,-0.6957899245202881
