perturbation,sentence,helpful_words
0-original-original,"A makes the varsity team while B does not, so A is more skilled than B","['so', 'skilled', 'than']"
0-original-asymmetric_premise,"B makes the varsity team while A does not, so A is less skilled than B","['skilled', '[MASK]', 'than']"
0-original-asymmetric_conclusion,"A makes the varsity team while B does not, so B is less skilled than A","['skilled', 'than']"
0-negation-original,"A makes the varsity team while B does not, so A isn't less skilled than B","['than', 't', 'so']"
0-negation-asymmetric_premise,"B makes the varsity team while A does not, so A isn't more skilled than B","['skilled', '[MASK]', 'than']"
0-negation-asymmetric_conclusion,"A makes the varsity team while B does not, so B isn't more skilled than A","['than', 't', 'skilled']"
0-antonym-original,"A makes the varsity team while B does not, so A is less incompetent than B","['##pet', '##ent', '##com']"
0-antonym-asymmetric_premise,"B makes the varsity team while A does not, so A is more incompetent than B","['##com', 'than']"
0-antonym-asymmetric_conclusion,"A makes the varsity team while B does not, so B is more incompetent than A","['##pet', '##com', '[MASK]']"
0-paraphrase-original,"A makes the varsity team while B does not, so A has better skills than B","['skills', 'than', 'team', 'varsity']"
0-paraphrase-asymmetric_premise,"B makes the varsity team while A does not, so A has worse skills than B","['varsity', 'has', 'skills', 'than', '[MASK]']"
0-paraphrase-asymmetric_conclusion,"A makes the varsity team while B does not, so B has worse skills than A","['skills', '[MASK]', 'than']"
0-paraphrase_inversion-original,"A makes the varsity team while B does not, so A makes less mistakes than B","['mistakes', 'than', 'so']"
0-paraphrase_inversion-asymmetric_premise,"B makes the varsity team while A does not, so A makes more mistakes than B","['mistakes', 'than', 'so', 'varsity']"
0-paraphrase_inversion-asymmetric_conclusion,"A makes the varsity team while B does not, so B makes more mistakes than A","['makes', 'varsity', 'so', 'than']"
0-negation_antonym-original,"A makes the varsity team while B does not, so A isn't more incompetent than B","['##ent', 'than', '##com', '##pet']"
0-negation_antonym-asymmetric_premise,"B makes the varsity team while A does not, so A isn't less incompetent than B","['##ent', 'than', '[MASK]']"
0-negation_antonym-asymmetric_conclusion,"A makes the varsity team while B does not, so B isn't less incompetent than A","['##pet', '##ent', 'than']"
0-negation_paraphrase-original,"A makes the varsity team while B does not, so A does not have worse skills than B","['skills', '[MASK]', 'varsity', 'than']"
0-negation_paraphrase-asymmetric_premise,"B makes the varsity team while A does not, so A does not have better skills than B","['skills', 'varsity', 'does']"
0-negation_paraphrase-asymmetric_conclusion,"A makes the varsity team while B does not, so B does not have better skills than A","['skills', '[MASK]', 'varsity']"
0-negation_paraphrase_inversion-original,"A makes the varsity team while B does not, so A does not make more mistakes than B","['mistakes', '[MASK]', 'does']"
0-negation_paraphrase_inversion-asymmetric_premise,"B makes the varsity team while A does not, so A does not make less mistakes than B","['mistakes', 'does', 'varsity', 'than']"
0-negation_paraphrase_inversion-asymmetric_conclusion,"A makes the varsity team while B does not, so B does not make less mistakes than A","['than', 'mistakes', 'varsity', 'make', 'does']"
1-original-original,"A is going to perform for people while B is not, so A finds it harder to be relaxed than B","['relaxed', 'finds', 'it']"
1-original-asymmetric_premise,"B is going to perform for people while A is not, so A finds it easier to be relaxed than B","['finds', 'relaxed']"
1-original-asymmetric_conclusion,"A is going to perform for people while B is not, so B finds it easier to be relaxed than A","['relaxed', 'finds', 'it']"
1-negation-original,"A is going to perform for people while B is not, so A does not find it easier to be relaxed than B","['relaxed', 'find', '[MASK]']"
1-negation-asymmetric_premise,"B is going to perform for people while A is not, so A does not find it harder to be relaxed than B","['than', 'relaxed', 'to']"
1-negation-asymmetric_conclusion,"A is going to perform for people while B is not, so B does not find it harder to be relaxed than A","['relaxed', 'than', 'find']"
1-antonym-original,"A is going to perform for people while B is not, so A finds it easier to be nervous than B","['nervous', 'perform']"
1-antonym-asymmetric_premise,"B is going to perform for people while A is not, so A finds it harder to be nervous than B","['finds', '[MASK]', 'it', 'nervous', 'be', 'than']"
1-antonym-asymmetric_conclusion,"A is going to perform for people while B is not, so B finds it harder to be nervous than A","['nervous', '[MASK]']"
1-paraphrase-original,"A is going to perform for people while B is not, so A finds it harder to feel calm than B","['finds', 'feel', 'calm', 'than']"
1-paraphrase-asymmetric_premise,"B is going to perform for people while A is not, so A finds it easier to feel calm than B","['finds', 'calm', 'feel']"
1-paraphrase-asymmetric_conclusion,"A is going to perform for people while B is not, so B finds it easier to feel calm than A","['calm', 'finds', 'feel', 'to']"
1-paraphrase_inversion-original,"A is going to perform for people while B is not, so A is more stressed than B","['stressed', 'than', 'so', 'is', '[MASK]']"
1-paraphrase_inversion-asymmetric_premise,"B is going to perform for people while A is not, so A is less stressed than B","['is', 'going', 'stressed']"
1-paraphrase_inversion-asymmetric_conclusion,"A is going to perform for people while B is not, so B is less stressed than A","['stressed', 'so', 'is', 'than']"
1-negation_antonym-original,"A is going to perform for people while B is not, so A does not find it harder to be nervous than B","['be', '[MASK]', 'to', 'nervous']"
1-negation_antonym-asymmetric_premise,"B is going to perform for people while A is not, so A does not find it easier to be nervous than B","['nervous', 'find', 'than']"
1-negation_antonym-asymmetric_conclusion,"A is going to perform for people while B is not, so B does not find it easier to be nervous than A","['nervous', 'than']"
1-negation_paraphrase-original,"A is going to perform for people while B is not, so A does not find it easier to feel calm than B","['calm', 'than', 'feel', 'find']"
1-negation_paraphrase-asymmetric_premise,"B is going to perform for people while A is not, so A does not find it harder to feel calm than B","['calm', '[MASK]', 'than']"
1-negation_paraphrase-asymmetric_conclusion,"A is going to perform for people while B is not, so B does not find it harder to feel calm than A","['calm', 'than', '[MASK]']"
1-negation_paraphrase_inversion-original,"A is going to perform for people while B is not, so A isn't less stressed than B","['stressed', '[MASK]', 't', 'than']"
1-negation_paraphrase_inversion-asymmetric_premise,"B is going to perform for people while A is not, so A isn't more stressed than B","['stressed', 't', 'than', 'isn']"
1-negation_paraphrase_inversion-asymmetric_conclusion,"A is going to perform for people while B is not, so B isn't more stressed than A","['[MASK]', 'stressed', 'than']"
2-original-original,"A won the competition while B did not, so A finds it easier to be happy than B","['than', 'finds', 'happy']"
2-original-asymmetric_premise,"B won the competition while A did not, so A finds it harder to be happy than B","['finds', '[MASK]', 'happy']"
2-original-asymmetric_conclusion,"A won the competition while B did not, so B finds it harder to be happy than A","['finds', 'be', '[MASK]', 'to']"
