truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.9693695042958069
0,original,asymmetric_premise,0.0,-0.9582176776033997
0,original,asymmetric_conclusion,0.0,-0.9507428130107021
0,negation,original,0.0,-0.8870013462394366
0,negation,asymmetric_premise,1.0,0.907089419834913
0,negation,asymmetric_conclusion,1.0,0.8855747585405558
0,antonym,original,0.0,-0.9521576541476836
0,antonym,asymmetric_premise,1.0,1.0
0,antonym,asymmetric_conclusion,1.0,0.9496097893320506
0,paraphrase,original,0.0,-0.6861767639505651
0,paraphrase,asymmetric_premise,1.0,0.2240087461371966
0,paraphrase,asymmetric_conclusion,1.0,0.27058119253231794
0,paraphrase_inversion,original,0.0,-0.7285901751127721
0,paraphrase_inversion,asymmetric_premise,1.0,0.7151583518493998
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.7310019816993276
0,negation_antonym,original,0.3,-0.4
0,negation_antonym,asymmetric_premise,0.0,-1.0
0,negation_antonym,asymmetric_conclusion,0.0,-1.0
0,negation_paraphrase,original,1.0,0.1711846447951911
0,negation_paraphrase,asymmetric_premise,0.0,-0.20542174967483784
0,negation_paraphrase,asymmetric_conclusion,0.2,-0.2258429042233397
0,negation_paraphrase_inversion,original,1.0,0.8609526905102678
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8765605016825324
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8692841534449569
1,original,original,1.0,0.4081547697496754
1,original,asymmetric_premise,0.1,-0.33019967364800196
1,original,asymmetric_conclusion,0.1,-0.4507174946677063
1,negation,original,0.2,-0.3270882880066039
1,negation,asymmetric_premise,0.7,0.04998162996961999
1,negation,asymmetric_conclusion,0.5,-0.3054636848888045
1,antonym,original,0.0,-0.756744475994883
1,antonym,asymmetric_premise,1.0,0.8543555313384129
1,antonym,asymmetric_conclusion,1.0,0.7041562230996493
1,paraphrase,original,1.0,0.7796668546872392
1,paraphrase,asymmetric_premise,0.0,-0.8669792180185727
1,paraphrase,asymmetric_conclusion,0.0,-0.8446374663377204
1,paraphrase_inversion,original,0.0,-0.9366401869334373
1,paraphrase_inversion,asymmetric_premise,1.0,0.9127210262200341
1,paraphrase_inversion,asymmetric_conclusion,1.0,0.9020758231423296
1,negation_antonym,original,0.7,0.17195607641854888
1,negation_antonym,asymmetric_premise,0.3,-0.23169565888910762
1,negation_antonym,asymmetric_conclusion,0.2,-0.31140732586301273
1,negation_paraphrase,original,0.0,-0.896071407277925
1,negation_paraphrase,asymmetric_premise,1.0,0.9022609865054154
1,negation_paraphrase,asymmetric_conclusion,1.0,0.8888644108952496
1,negation_paraphrase_inversion,original,1.0,0.9030999681239151
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7856909406205169
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7408106539847337
2,original,original,1.0,0.9307684879521743
2,original,asymmetric_premise,0.0,-0.907539970806266
2,original,asymmetric_conclusion,0.0,-0.9049362134018477
2,negation,original,0.0,-0.7379195301431507
2,negation,asymmetric_premise,1.0,0.8136470908141817
2,negation,asymmetric_conclusion,1.0,0.8045044696345242
2,antonym,original,0.1,-0.21898877620257667
2,antonym,asymmetric_premise,1.0,0.5187163964876464
2,antonym,asymmetric_conclusion,1.0,0.4878385534567425
2,paraphrase,original,0.3,-0.47687795420890033
2,paraphrase,asymmetric_premise,0.0,-0.9711860385085587
2,paraphrase,asymmetric_conclusion,0.0,-0.903176324770774
2,paraphrase_inversion,original,0.2,-0.12387956318878435
2,paraphrase_inversion,asymmetric_premise,1.0,0.409512087169644
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.3560268191590771
2,negation_antonym,original,1.0,0.7949025965380941
2,negation_antonym,asymmetric_premise,0.0,-0.7982765743209617
2,negation_antonym,asymmetric_conclusion,0.0,-0.7818542652495631
2,negation_paraphrase,original,0.0,-0.8315997558377071
2,negation_paraphrase,asymmetric_premise,0.3,-0.4
2,negation_paraphrase,asymmetric_conclusion,0.1,-0.8
2,negation_paraphrase_inversion,original,1.0,0.6559540348491169
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6829487324785583
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7194865972369106
3,original,original,0.0,-0.908153340847813
3,original,asymmetric_premise,1.0,0.9059931023918356
3,original,asymmetric_conclusion,1.0,0.8993455539568262
3,negation,original,1.0,0.9721456348067032
3,negation,asymmetric_premise,0.0,-0.9677431966391101
3,negation,asymmetric_conclusion,0.0,-0.9578593932966394
3,antonym,original,0.9,0.11894128421952499
3,antonym,asymmetric_premise,0.0,-0.37091068178281456
3,antonym,asymmetric_conclusion,0.0,-0.28593320237428776
3,paraphrase,original,0.0,-0.9732179514378803
3,paraphrase,asymmetric_premise,1.0,0.943376956783284
3,paraphrase,asymmetric_conclusion,1.0,0.9443194539273965
3,paraphrase_inversion,original,0.0,-0.9462865228506481
3,paraphrase_inversion,asymmetric_premise,1.0,0.8640742332102418
3,paraphrase_inversion,asymmetric_conclusion,1.0,0.8698306046575499
3,negation_antonym,original,0.0,-0.8162900500912518
3,negation_antonym,asymmetric_premise,1.0,0.7367349421149403
3,negation_antonym,asymmetric_conclusion,1.0,0.710281026135644
3,negation_paraphrase,original,1.0,0.9412551679061003
3,negation_paraphrase,asymmetric_premise,0.0,-0.8605525245917308
3,negation_paraphrase,asymmetric_conclusion,0.0,-0.9011682287831404
3,negation_paraphrase_inversion,original,0.6,0.0013668776287131422
3,negation_paraphrase_inversion,asymmetric_premise,0.1,-0.17287136470411077
3,negation_paraphrase_inversion,asymmetric_conclusion,0.2,-0.17028680483565456
4,original,original,1.0,0.6649300961904238
4,original,asymmetric_premise,0.0,-0.5716063482405895
4,original,asymmetric_conclusion,0.0,-0.5305139737837983
4,negation,original,0.2,-0.09775614488447786
4,negation,asymmetric_premise,0.8,0.11811309432201497
4,negation,asymmetric_conclusion,0.7,0.08376813904184739
4,antonym,original,0.0,-0.352417780622953
4,antonym,asymmetric_premise,1.0,0.2979598303009942
4,antonym,asymmetric_conclusion,1.0,0.27153716850701487
4,paraphrase,original,1.0,0.872180184444959
4,paraphrase,asymmetric_premise,0.0,-0.8263994020317469
4,paraphrase,asymmetric_conclusion,0.0,-0.7820686885382799
4,paraphrase_inversion,original,0.1,-0.16037366045931306
4,paraphrase_inversion,asymmetric_premise,0.9,0.045144036838991305
4,paraphrase_inversion,asymmetric_conclusion,1.0,0.18941040960848549
4,negation_antonym,original,0.3,-0.10368898598382426
4,negation_antonym,asymmetric_premise,0.9,0.1427820432837925
4,negation_antonym,asymmetric_conclusion,0.7,0.06742289354175977
4,negation_paraphrase,original,0.0,-0.4808634849702481
4,negation_paraphrase,asymmetric_premise,1.0,0.5443157095202922
4,negation_paraphrase,asymmetric_conclusion,1.0,0.5501896475760197
4,negation_paraphrase_inversion,original,1.0,0.23141006141771295
4,negation_paraphrase_inversion,asymmetric_premise,0.5,-0.012748096406640088
4,negation_paraphrase_inversion,asymmetric_conclusion,0.3,-0.0477573216978305
5,original,original,1.0,0.6255160695909006
5,original,asymmetric_premise,0.0,-0.6011920813189583
5,original,asymmetric_conclusion,0.0,-0.4743164423147583
5,negation,original,1.0,0.8624574879486998
5,negation,asymmetric_premise,0.0,-0.3886579105160464
5,negation,asymmetric_conclusion,0.0,-0.5038446772898306
5,antonym,original,0.0,-0.9912750320712373
5,antonym,asymmetric_premise,1.0,0.9900533411217717
5,antonym,asymmetric_conclusion,1.0,0.9892883619263172
5,paraphrase,original,1.0,0.7571572467842965
5,paraphrase,asymmetric_premise,0.0,-0.7104165460400138
5,paraphrase,asymmetric_conclusion,0.0,-0.6799597621049239
5,paraphrase_inversion,original,0.0,-0.656101111755745
5,paraphrase_inversion,asymmetric_premise,1.0,0.601779649297941
5,paraphrase_inversion,asymmetric_conclusion,1.0,0.6447755646683297
5,negation_antonym,original,1.0,0.8691226996367234
5,negation_antonym,asymmetric_premise,0.0,-0.9318714490639495
5,negation_antonym,asymmetric_conclusion,0.0,-0.9375849887052187
5,negation_paraphrase,original,0.0,-0.6296081344893837
5,negation_paraphrase,asymmetric_premise,1.0,0.6220479375716848
5,negation_paraphrase,asymmetric_conclusion,1.0,0.6630857145379884
5,negation_paraphrase_inversion,original,1.0,0.4374106732561214
5,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7734195589168517
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7512348803508198
6,original,original,0.0,-0.2945911046741799
6,original,asymmetric_premise,1.0,0.6387327903693913
6,original,asymmetric_conclusion,1.0,0.6639951734103591
6,negation,original,1.0,0.9091725751311209
6,negation,asymmetric_premise,0.0,-0.8064564738392412
6,negation,asymmetric_conclusion,0.0,-0.7711294936600098
6,antonym,original,1.0,0.8320306634950068
6,antonym,asymmetric_premise,0.0,-0.655030499692627
6,antonym,asymmetric_conclusion,0.0,-0.6354552565705134
6,paraphrase,original,1.0,0.19150839931053548
6,paraphrase,asymmetric_premise,1.0,0.5540274871093309
6,paraphrase,asymmetric_conclusion,1.0,0.41510887177807565
6,paraphrase_inversion,original,1.0,0.8596610298568793
6,paraphrase_inversion,asymmetric_premise,0.0,-0.6043949529051671
6,paraphrase_inversion,asymmetric_conclusion,0.0,-0.6486254020119062
6,negation_antonym,original,0.0,-0.5137052799796897
6,negation_antonym,asymmetric_premise,1.0,0.676081672499497
6,negation_antonym,asymmetric_conclusion,1.0,0.6964775796270903
6,negation_paraphrase,original,1.0,0.7904649093358763
6,negation_paraphrase,asymmetric_premise,0.0,-0.7170751064991173
6,negation_paraphrase,asymmetric_conclusion,0.0,-0.7351615071243945
6,negation_paraphrase_inversion,original,0.0,-0.6515306387479972
6,negation_paraphrase_inversion,asymmetric_premise,1.0,0.8124878435745575
6,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.7795755170135803
7,original,original,0.6,0.10058007316686175
7,original,asymmetric_premise,0.8,0.17570333497362972
7,original,asymmetric_conclusion,0.7,0.2047746029874943
7,negation,original,0.7,0.13087046821326287
7,negation,asymmetric_premise,0.0,-0.25703487023049676
7,negation,asymmetric_conclusion,0.2,-0.1967260433921299
7,antonym,original,0.0,-0.24104068361698677
7,antonym,asymmetric_premise,0.9,0.23651877061851373
7,antonym,asymmetric_conclusion,0.9,0.2314226790256833
7,paraphrase,original,0.8,0.12950546656630912
7,paraphrase,asymmetric_premise,1.0,0.5701342592252856
7,paraphrase,asymmetric_conclusion,1.0,0.5264539016853336
7,paraphrase_inversion,original,0.0,-0.3192217224048995
7,paraphrase_inversion,asymmetric_premise,0.6,0.08065143118220705
7,paraphrase_inversion,asymmetric_conclusion,0.6,0.008467707171308602
7,negation_antonym,original,0.8,0.1713299582301318
7,negation_antonym,asymmetric_premise,0.5,-0.01723869017373681
7,negation_antonym,asymmetric_conclusion,0.4,0.02706350967178575
7,negation_paraphrase,original,1.0,0.7707645376642984
7,negation_paraphrase,asymmetric_premise,0.1,-0.37587888510446865
7,negation_paraphrase,asymmetric_conclusion,0.1,-0.3790787670011078
7,negation_paraphrase_inversion,original,0.8,0.16087922869587232
7,negation_paraphrase_inversion,asymmetric_premise,0.9,0.12160252892022885
7,negation_paraphrase_inversion,asymmetric_conclusion,0.9,0.10752643781398903
8,original,original,1.0,0.7522634191331633
8,original,asymmetric_premise,0.0,-0.6897933315013121
8,original,asymmetric_conclusion,0.0,-0.6979509306495933
8,negation,original,0.0,-0.7653577079919862
8,negation,asymmetric_premise,1.0,0.8296504143751571
8,negation,asymmetric_conclusion,1.0,0.7796022036876618
8,antonym,original,0.4,-0.08524930119423688
8,antonym,asymmetric_premise,0.8,0.14741376308455756
