truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.4386417349420849
0,original,asymmetric_premise,0.0,-0.5252070566336821
0,original,asymmetric_conclusion,0.0,-0.5299957903811671
0,negation,original,0.0,-0.7970018448921625
0,negation,asymmetric_premise,1.0,0.828456678942158
0,negation,asymmetric_conclusion,1.0,0.8283662735245612
0,antonym,original,0.0,-0.44850490830961737
0,antonym,asymmetric_premise,1.0,0.5662815762977271
0,antonym,asymmetric_conclusion,1.0,0.5647184757018616
0,paraphrase,original,1.0,0.9943745667913401
0,paraphrase,asymmetric_premise,0.0,-0.9926092982708159
0,paraphrase,asymmetric_conclusion,0.0,-0.9919185475428206
0,paraphrase_inversion,original,0.0,-0.9542802255596069
0,paraphrase_inversion,asymmetric_premise,1.0,0.9504623419761792
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.953121795643215
0,negation_antonym,original,1.0,0.6501418174436779
0,negation_antonym,asymmetric_premise,0.0,-0.6951060910050783
0,negation_antonym,asymmetric_conclusion,0.0,-0.6907526378328899
0,negation_paraphrase,original,0.0,-0.9868214555619854
0,negation_paraphrase,asymmetric_premise,1.0,0.9901103604055127
0,negation_paraphrase,asymmetric_conclusion,1.0,0.989078276006605
0,negation_paraphrase_inversion,original,1.0,0.9432171363914543
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9163246186827798
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9436192239500434
1,original,original,0.6,0.04918330113961471
1,original,asymmetric_premise,0.5,0.06338478846795241
1,original,asymmetric_conclusion,0.7,0.029493694510313452
1,negation,original,1.0,0.3490272785266325
1,negation,asymmetric_premise,0.0,-0.5054189834605567
1,negation,asymmetric_conclusion,0.0,-0.49809086576900424
1,antonym,original,1.0,0.5642891778657367
1,antonym,asymmetric_premise,0.0,-0.613904128284428
1,antonym,asymmetric_conclusion,0.0,-0.5847501865809706
1,paraphrase,original,0.0,-0.979400867573692
1,paraphrase,asymmetric_premise,1.0,0.9749225050225314
1,paraphrase,asymmetric_conclusion,1.0,0.975297851596231
1,paraphrase_inversion,original,1.0,0.5935552673277257
1,paraphrase_inversion,asymmetric_premise,0.0,-0.612021512133359
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.618942731033252
1,negation_antonym,original,0.0,-0.44943618312701866
1,negation_antonym,asymmetric_premise,1.0,0.6057645728376323
1,negation_antonym,asymmetric_conclusion,1.0,0.5651848941859737
1,negation_paraphrase,original,1.0,0.7487989661756972
1,negation_paraphrase,asymmetric_premise,0.0,-0.8626365700260245
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.820399065998331
1,negation_paraphrase_inversion,original,0.0,-0.6169388538175966
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.636314787909191
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.648512120308536
2,original,original,0.1,-0.1942144357014372
2,original,asymmetric_premise,0.7,0.1291820127659272
2,original,asymmetric_conclusion,0.8,0.24442979843596402
2,negation,original,0.0,-0.9232541470277666
2,negation,asymmetric_premise,1.0,0.9402040469706489
2,negation,asymmetric_conclusion,1.0,0.9306152641929429
2,antonym,original,0.0,-0.9496867944298817
2,antonym,asymmetric_premise,1.0,0.9554448578780906
2,antonym,asymmetric_conclusion,1.0,0.9562393909205535
2,paraphrase,original,0.0,-0.5244323775420243
2,paraphrase,asymmetric_premise,1.0,0.5140655583080467
2,paraphrase,asymmetric_conclusion,1.0,0.5510465164779348
2,paraphrase_inversion,original,0.0,-0.5732362339786241
2,paraphrase_inversion,asymmetric_premise,1.0,0.5515628734343216
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.6069109241040731
2,negation_antonym,original,1.0,0.589287725061406
2,negation_antonym,asymmetric_premise,0.0,-0.6519363948122688
2,negation_antonym,asymmetric_conclusion,0.0,-0.6586804506395069
2,negation_paraphrase,original,0.0,-0.6207245076065562
2,negation_paraphrase,asymmetric_premise,1.0,0.6159019739242062
2,negation_paraphrase,asymmetric_conclusion,1.0,0.6364556050758354
2,negation_paraphrase_inversion,original,1.0,0.537900761269414
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.5937862228863178
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6032673885456644
3,original,original,0.0,-0.9940533247319877
3,original,asymmetric_premise,1.0,0.9916160130169261
3,original,asymmetric_conclusion,1.0,0.994514287069682
3,negation,original,1.0,0.8145898404621142
3,negation,asymmetric_premise,0.0,-0.8184303395862933
3,negation,asymmetric_conclusion,0.0,-0.8424462007452325
3,antonym,original,1.0,0.8892767251212899
3,antonym,asymmetric_premise,0.0,-0.8520527763233335
3,antonym,asymmetric_conclusion,0.0,-0.852959547765715
3,paraphrase,original,0.0,-0.5670726939929555
3,paraphrase,asymmetric_premise,1.0,0.5706490434210691
3,paraphrase,asymmetric_conclusion,1.0,0.5648767619776369
