truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.35403865716373095
0,original,asymmetric_premise,0.1,-0.16463228175102765
0,original,asymmetric_conclusion,0.2,-0.16854811188046198
0,negation,original,0.0,-0.8093876378264744
0,negation,asymmetric_premise,1.0,0.8802969768242092
0,negation,asymmetric_conclusion,1.0,0.8424207754361006
0,antonym,original,0.0,-0.7102897627088683
0,antonym,asymmetric_premise,1.0,0.7596202895621947
0,antonym,asymmetric_conclusion,1.0,0.7170492153254177
0,paraphrase,original,1.0,0.975177220912635
0,paraphrase,asymmetric_premise,0.0,-0.9569441471967274
0,paraphrase,asymmetric_conclusion,0.0,-0.9561808994009592
0,paraphrase_inversion,original,0.0,-0.9582447735348122
0,paraphrase_inversion,asymmetric_premise,1.0,0.9735227061746876
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.9719533151646932
0,negation_antonym,original,1.0,0.775538237820599
0,negation_antonym,asymmetric_premise,0.0,-0.8030846851699727
0,negation_antonym,asymmetric_conclusion,0.0,-0.8282324731524431
0,negation_paraphrase,original,0.0,-0.9864273315852635
0,negation_paraphrase,asymmetric_premise,1.0,0.9883773437051031
0,negation_paraphrase,asymmetric_conclusion,1.0,0.9866576865572301
0,negation_paraphrase_inversion,original,1.0,0.9972936215554901
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.99789298669711
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9976741140492426
1,original,original,0.0,-0.8336959443126364
1,original,asymmetric_premise,1.0,0.730411747431236
1,original,asymmetric_conclusion,1.0,0.7218268418837692
1,negation,original,0.9,0.2537496973264498
1,negation,asymmetric_premise,0.1,-0.23998090029798883
1,negation,asymmetric_conclusion,0.1,-0.2950208842009613
1,antonym,original,1.0,0.7860905447535382
1,antonym,asymmetric_premise,0.0,-0.8201723564687168
1,antonym,asymmetric_conclusion,0.0,-0.8286788862972626
1,paraphrase,original,0.0,-0.7691394020844012
1,paraphrase,asymmetric_premise,1.0,0.5714962767830979
1,paraphrase,asymmetric_conclusion,1.0,0.6027488977162883
1,paraphrase_inversion,original,1.0,0.565056505743598
1,paraphrase_inversion,asymmetric_premise,0.0,-0.5010857044403573
1,paraphrase_inversion,asymmetric_conclusion,0.0,-0.48606390466057003
1,negation_antonym,original,0.0,-0.3653426876380067
1,negation_antonym,asymmetric_premise,1.0,0.43800772632284135
1,negation_antonym,asymmetric_conclusion,1.0,0.5031662555280966
1,negation_paraphrase,original,0.7,0.06600548057498604
1,negation_paraphrase,asymmetric_premise,0.1,-0.1226786980082836
1,negation_paraphrase,asymmetric_conclusion,0.1,-0.27306157399116704
1,negation_paraphrase_inversion,original,0.0,-0.5302704448801339
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.7150016347354443
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.6761909774292144
2,original,original,1.0,0.6625874837377358
2,original,asymmetric_premise,0.0,-0.6272001127253957
2,original,asymmetric_conclusion,0.0,-0.6232370654811977
2,negation,original,0.9,0.09097791189553298
2,negation,asymmetric_premise,0.5,-0.025521973032388456
2,negation,asymmetric_conclusion,0.3,-0.021346273322278352
2,antonym,original,0.0,-0.6428585450424829
2,antonym,asymmetric_premise,1.0,0.6802803037311084
2,antonym,asymmetric_conclusion,1.0,0.7169449802011415
