truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,asymmetric_premise,1.0,0.8337409760428253
0,negation_antonym,asymmetric_conclusion,1.0,0.6203197456661494
0,negation_paraphrase_inversion,original,0.0,-0.8735606067922823
1,paraphrase_inversion,asymmetric_premise,0.0,-0.9310153900597843
1,negation_paraphrase,original,0.0,-0.9471214118700899
1,negation_paraphrase,asymmetric_conclusion,1.0,0.9479666484648617
2,paraphrase,asymmetric_conclusion,0.0,-0.8208997119333699
2,negation_paraphrase,original,0.0,-0.9092625632088692
2,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.8537639261699468
3,original,asymmetric_conclusion,0.0,-0.9340283851583561
3,antonym,asymmetric_conclusion,1.0,0.9721778379794129
3,negation_antonym,asymmetric_premise,0.0,-0.9399170442743247
4,negation,asymmetric_premise,0.0,-0.915663263602432
4,negation_paraphrase,asymmetric_premise,0.0,-0.9032796682413535
4,negation_paraphrase_inversion,original,0.0,-0.9222073937801649
5,original,asymmetric_conclusion,1.0,0.07748544305027437
5,paraphrase_inversion,asymmetric_premise,0.0,-0.5978694149743458
5,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.6681292748909605
6,negation,original,0.0,-0.8805665635294471
6,paraphrase,asymmetric_conclusion,0.0,-0.9309270806207808
6,negation_paraphrase,original,0.0,-0.9185215795060122
7,antonym,asymmetric_conclusion,0.0,-0.9616948509903404
7,paraphrase_inversion,asymmetric_conclusion,0.0,-0.8274986879937343
7,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.8893192221240982
8,antonym,asymmetric_premise,1.0,0.9979538831224476
8,paraphrase_inversion,asymmetric_conclusion,1.0,0.9602761302536912
8,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9642583903888035
9,original,original,1.0,0.93017530422522
9,antonym,asymmetric_premise,1.0,0.9328864776025331
9,paraphrase,original,1.0,0.7604358120278587
10,negation,asymmetric_conclusion,0.0,-0.8122648925925514
10,antonym,original,1.0,0.811328416958433
10,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9707669877518696
11,paraphrase,asymmetric_conclusion,0.0,-0.7490487777525259
11,paraphrase_inversion,original,0.0,-0.9837767430687773
11,negation_paraphrase,original,0.0,-0.7735524841685348
12,original,asymmetric_conclusion,0.0,-0.767134747675005
12,negation,asymmetric_conclusion,1.0,0.8164239620215437
12,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7317779735080405
13,antonym,original,1.0,0.741839424657256
13,negation_antonym,original,0.0,-0.7346313815357124
13,negation_paraphrase_inversion,asymmetric_premise,1.0,0.8929382928036829
14,antonym,original,0.0,-0.9117623840769944
14,paraphrase,asymmetric_premise,1.0,0.9954937061305491
14,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9952142213349464
15,negation,original,0.0,-0.9627081614905043
15,paraphrase_inversion,original,0.0,-0.903672920039018
15,negation_paraphrase,original,1.0,0.9304375368983673
16,paraphrase,original,0.0,-0.8791983237434069
16,paraphrase_inversion,original,0.0,-0.9501854113559096
16,negation_paraphrase_inversion,original,1.0,0.6959747322425364
17,original,asymmetric_premise,0.0,-0.9013279035985361
17,antonym,asymmetric_premise,1.0,0.9228138791795901
17,negation_antonym,original,1.0,0.9467961763923473
18,original,original,1.0,0.9546364207779314
18,negation_antonym,asymmetric_premise,0.0,-0.9529901148166673
18,negation_paraphrase,original,0.0,-0.6351569800907828
19,paraphrase,asymmetric_premise,0.0,-0.7383680803977256
19,negation_paraphrase,asymmetric_conclusion,1.0,0.797780006320353
19,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9069283256434529
