truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.8368928176736528
0,original,asymmetric_premise,0.0,-0.7748312992896372
0,original,asymmetric_conclusion,0.0,-0.803733717713009
0,negation,original,0.0,-0.5625121682880322
0,negation,asymmetric_premise,1.0,0.6627930669171194
0,negation,asymmetric_conclusion,1.0,0.6711452269081126
0,antonym,original,0.0,-0.6974928290688679
0,antonym,asymmetric_premise,1.0,0.6539787829449281
0,antonym,asymmetric_conclusion,1.0,0.6794879415041579
0,paraphrase,original,1.0,0.8980619697628175
0,paraphrase,asymmetric_premise,0.0,-0.9240639037764252
0,paraphrase,asymmetric_conclusion,0.0,-0.9320245588297628
0,paraphrase_inversion,original,0.0,-0.5883609245093098
0,paraphrase_inversion,asymmetric_premise,1.0,0.5615320044155767
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.6148828999791094
0,negation_antonym,original,1.0,0.7376218811292871
0,negation_antonym,asymmetric_premise,0.0,-0.5837483346784078
0,negation_antonym,asymmetric_conclusion,0.0,-0.6531062315506115
0,negation_paraphrase,original,0.0,-0.9459065696668351
0,negation_paraphrase,asymmetric_premise,1.0,0.9577241618820551
0,negation_paraphrase,asymmetric_conclusion,1.0,0.9599172578525295
0,negation_paraphrase_inversion,original,1.0,0.5158242424222269
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.538909883883637
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.5231549978984983
1,original,original,1.0,0.8759398518539211
1,original,asymmetric_premise,0.0,-0.7682310473895549
1,original,asymmetric_conclusion,0.0,-0.7750863235678962
1,negation,original,0.0,-0.6952223862407549
1,negation,asymmetric_premise,1.0,0.7088346737488345
1,negation,asymmetric_conclusion,1.0,0.7162227713947014
1,antonym,original,0.0,-0.7493821246424999
1,antonym,asymmetric_premise,1.0,0.7142751877908696
1,antonym,asymmetric_conclusion,1.0,0.7507963975749938
1,paraphrase,original,1.0,0.7305878930302517
1,paraphrase,asymmetric_premise,0.0,-0.8247035187377489
1,paraphrase,asymmetric_conclusion,0.0,-0.8280005353017392
1,paraphrase_inversion,original,0.0,-0.9838099781897405
1,paraphrase_inversion,asymmetric_premise,1.0,0.980765893303416
1,paraphrase_inversion,asymmetric_conclusion,1.0,0.9847708754695559
1,negation_antonym,original,1.0,0.48566109230717946
1,negation_antonym,asymmetric_premise,0.0,-0.6257749253537168
1,negation_antonym,asymmetric_conclusion,0.0,-0.6731127452023187
1,negation_paraphrase,original,0.0,-0.9271235267494966
1,negation_paraphrase,asymmetric_premise,1.0,0.9542668930528665
1,negation_paraphrase,asymmetric_conclusion,1.0,0.948850833189487
1,negation_paraphrase_inversion,original,1.0,0.9884127574316736
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9870427260153323
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9845920171672023
2,original,original,1.0,0.9348942743748327
2,original,asymmetric_premise,0.0,-0.9627106436610454
2,original,asymmetric_conclusion,0.0,-0.9598961458312575
2,negation,original,0.0,-0.9576876489176126
2,negation,asymmetric_premise,1.0,0.972123841048529
2,negation,asymmetric_conclusion,1.0,0.9697244873236505
2,antonym,original,0.0,-0.8545279431677446
2,antonym,asymmetric_premise,1.0,0.8540940306288338
2,antonym,asymmetric_conclusion,1.0,0.8354537034850316
2,paraphrase,original,1.0,0.5075871601842119
2,paraphrase,asymmetric_premise,0.0,-0.4623288737750798
2,paraphrase,asymmetric_conclusion,0.0,-0.5117564691760687
2,paraphrase_inversion,original,1.0,0.29650502515083355
2,paraphrase_inversion,asymmetric_premise,0.0,-0.30780114344745446
2,paraphrase_inversion,asymmetric_conclusion,0.0,-0.3019076674429903
2,negation_antonym,original,1.0,0.9495814619216301
2,negation_antonym,asymmetric_premise,0.0,-0.9653112821465232
2,negation_antonym,asymmetric_conclusion,0.0,-0.961759682864899
2,negation_paraphrase,original,0.0,-0.3298476825697806
2,negation_paraphrase,asymmetric_premise,1.0,0.25774983840315596
2,negation_paraphrase,asymmetric_conclusion,1.0,0.3606436761094821
2,negation_paraphrase_inversion,original,0.0,-0.430155749065057
2,negation_paraphrase_inversion,asymmetric_premise,1.0,0.1965283634169123
2,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.2484552510981198
3,original,original,0.0,-0.33424381346300175
3,original,asymmetric_premise,1.0,0.2708961872002047
3,original,asymmetric_conclusion,1.0,0.26279470522688764
3,negation,original,1.0,0.31535020208961495
3,negation,asymmetric_premise,0.0,-0.3020462053255392
3,negation,asymmetric_conclusion,0.0,-0.2801724777703841
3,antonym,original,1.0,0.561105818531237
3,antonym,asymmetric_premise,0.0,-0.5223236141129444
3,antonym,asymmetric_conclusion,0.0,-0.5637302304879018
3,paraphrase,original,0.0,-0.9972653575042107
3,paraphrase,asymmetric_premise,1.0,0.9920013873413002
3,paraphrase,asymmetric_conclusion,1.0,0.9932337718863359
3,paraphrase_inversion,original,0.0,-0.2572880069020536
3,paraphrase_inversion,asymmetric_premise,0.0,-0.18056242535370387
3,paraphrase_inversion,asymmetric_conclusion,0.4,-0.018778681860068418
3,negation_antonym,original,0.0,-0.5340438244024941
3,negation_antonym,asymmetric_premise,1.0,0.5910292800744381
3,negation_antonym,asymmetric_conclusion,1.0,0.5861772846390652
3,negation_paraphrase,original,1.0,0.9666193270506541
3,negation_paraphrase,asymmetric_premise,0.0,-0.9767790146116158
3,negation_paraphrase,asymmetric_conclusion,0.0,-0.9684432570678914
3,negation_paraphrase_inversion,original,0.0,-0.8956388735375684
3,negation_paraphrase_inversion,asymmetric_premise,1.0,0.9266788671410895
3,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.906947163269108
4,original,original,1.0,0.46143604532206106
4,original,asymmetric_premise,0.0,-0.4586759670369453
4,original,asymmetric_conclusion,0.0,-0.4650567479020776
4,negation,original,1.0,0.4503073693487122
4,negation,asymmetric_premise,0.0,-0.37337861451173937
4,negation,asymmetric_conclusion,0.0,-0.3003657382578954
4,antonym,original,0.0,-0.18077663880296102
4,antonym,asymmetric_premise,0.9,0.2638709293271416
4,antonym,asymmetric_conclusion,1.0,0.25842374679692937
4,paraphrase,original,1.0,0.5015911534421521
4,paraphrase,asymmetric_premise,0.0,-0.4159388436349019
4,paraphrase,asymmetric_conclusion,0.0,-0.4153049208384574
4,paraphrase_inversion,original,1.0,0.24571138904993664
4,paraphrase_inversion,asymmetric_premise,0.0,-0.19322110791627106
4,paraphrase_inversion,asymmetric_conclusion,0.1,-0.14230519829710858
4,negation_antonym,original,0.0,-0.5365278421431079
4,negation_antonym,asymmetric_premise,1.0,0.36347353576627783
4,negation_antonym,asymmetric_conclusion,0.8,0.22464536543758834
4,negation_paraphrase,original,0.9,0.2619633950771436
4,negation_paraphrase,asymmetric_premise,0.0,-0.17148759952909853
4,negation_paraphrase,asymmetric_conclusion,0.0,-0.16412047361391263
4,negation_paraphrase_inversion,original,0.6,0.057352279110730195
4,negation_paraphrase_inversion,asymmetric_premise,0.1,-0.20418114571796459
4,negation_paraphrase_inversion,asymmetric_conclusion,0.2,-0.18409621877088023
5,original,original,1.0,0.9311008298653889
5,original,asymmetric_premise,0.0,-0.8788902961868352
5,original,asymmetric_conclusion,0.0,-0.8696343036049832
5,negation,original,0.8,0.1496967735498965
5,negation,asymmetric_premise,0.6,0.034248943510854904
5,negation,asymmetric_conclusion,0.4,-0.07274073346607847
5,antonym,original,0.0,-0.9870074994470288
5,antonym,asymmetric_premise,1.0,0.9777054007434778
5,antonym,asymmetric_conclusion,1.0,0.9807293126648666
5,paraphrase,original,0.4,0.00955986201040277
5,paraphrase,asymmetric_premise,0.9,0.13114204603914806
5,paraphrase,asymmetric_conclusion,0.7,0.08343597315630243
5,paraphrase_inversion,original,0.0,-0.824148948391389
5,paraphrase_inversion,asymmetric_premise,1.0,0.6191522558250895
5,paraphrase_inversion,asymmetric_conclusion,1.0,0.6511311675823916
5,negation_antonym,original,1.0,0.7931599835657032
5,negation_antonym,asymmetric_premise,0.0,-0.8397628945221953
5,negation_antonym,asymmetric_conclusion,0.0,-0.8258495496365776
5,negation_paraphrase,original,0.5,0.005679556228868396
5,negation_paraphrase,asymmetric_premise,0.9,0.16433960048797006
5,negation_paraphrase,asymmetric_conclusion,0.9,0.21565807355603067
5,negation_paraphrase_inversion,original,1.0,0.48041600200542034
5,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7115580405471807
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6812975374225669
6,original,original,0.9,0.11564874083460094
6,original,asymmetric_premise,0.5,0.05619572470520341
6,original,asymmetric_conclusion,0.6,0.03412161020744718
6,negation,original,0.5,0.02998602169045416
6,negation,asymmetric_premise,0.0,-0.2798958509145272
6,negation,asymmetric_conclusion,0.2,-0.1183959095940396
6,antonym,original,1.0,0.4053940264816158
6,antonym,asymmetric_premise,0.1,-0.27716013497994446
6,antonym,asymmetric_conclusion,0.1,-0.33683508891863634
6,paraphrase,original,1.0,0.4372753826032095
6,paraphrase,asymmetric_premise,0.0,-0.3824058790579905
6,paraphrase,asymmetric_conclusion,0.0,-0.3855622778233688
6,paraphrase_inversion,original,1.0,0.48769465796053846
6,paraphrase_inversion,asymmetric_premise,0.1,-0.29084933798804957
6,paraphrase_inversion,asymmetric_conclusion,0.0,-0.3572836396071691
6,negation_antonym,original,0.0,-0.2917759882210877
6,negation_antonym,asymmetric_premise,1.0,0.4001736691142382
6,negation_antonym,asymmetric_conclusion,1.0,0.4269203002248688
6,negation_paraphrase,original,0.3,-0.10553755136481884
6,negation_paraphrase,asymmetric_premise,0.5,-0.014923165719336069
6,negation_paraphrase,asymmetric_conclusion,0.8,0.03256832838221278
6,negation_paraphrase_inversion,original,0.5,0.0123637089308821
6,negation_paraphrase_inversion,asymmetric_premise,0.9,0.15327310988244341
6,negation_paraphrase_inversion,asymmetric_conclusion,0.9,0.08590569248128799
7,original,original,0.0,-0.6913941968229396
7,original,asymmetric_premise,1.0,0.7540242414896421
7,original,asymmetric_conclusion,1.0,0.785665397094099
7,negation,original,1.0,0.7234657491375929
7,negation,asymmetric_premise,0.0,-0.7916763523493336
7,negation,asymmetric_conclusion,0.0,-0.7194065337125106
7,antonym,original,1.0,0.721118289500124
7,antonym,asymmetric_premise,0.0,-0.7810416855933275
7,antonym,asymmetric_conclusion,0.0,-0.7618599874293073
7,paraphrase,original,0.3,-0.1575450758742946
7,paraphrase,asymmetric_premise,1.0,0.39738186484925847
7,paraphrase,asymmetric_conclusion,1.0,0.32063075603636754
7,paraphrase_inversion,original,1.0,0.49904405050564904
7,paraphrase_inversion,asymmetric_premise,0.0,-0.6337882072587496
7,paraphrase_inversion,asymmetric_conclusion,0.0,-0.6434826043337578
7,negation_antonym,original,0.0,-0.7004651716104522
7,negation_antonym,asymmetric_premise,1.0,0.6874421132893463
7,negation_antonym,asymmetric_conclusion,1.0,0.6879930562613994
7,negation_paraphrase,original,1.0,0.4900844091450545
7,negation_paraphrase,asymmetric_premise,0.0,-0.49946986599293713
7,negation_paraphrase,asymmetric_conclusion,0.0,-0.6190255684909742
7,negation_paraphrase_inversion,original,0.0,-0.7928071554906361
7,negation_paraphrase_inversion,asymmetric_premise,1.0,0.8519156344403511
7,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.8661483223695559
8,original,original,1.0,0.7656301738371727
8,original,asymmetric_premise,0.0,-0.7856148178349965
8,original,asymmetric_conclusion,0.0,-0.7821808968600494
8,negation,original,0.0,-0.938958272949427
8,negation,asymmetric_premise,1.0,0.9611147503127231
8,negation,asymmetric_conclusion,1.0,0.9558887872962467
8,antonym,original,0.0,-0.8486157540862797
8,antonym,asymmetric_premise,1.0,0.8886705654471448
8,antonym,asymmetric_conclusion,1.0,0.8910447669938625
8,paraphrase,original,1.0,0.8127394334896799
8,paraphrase,asymmetric_premise,0.0,-0.8339195166494159
8,paraphrase,asymmetric_conclusion,0.0,-0.8310817873283316
8,paraphrase_inversion,original,0.0,-0.6749208371949242
8,paraphrase_inversion,asymmetric_premise,1.0,0.7215222261900596
8,paraphrase_inversion,asymmetric_conclusion,1.0,0.7236343683353075
8,negation_antonym,original,1.0,0.9038899140238345
8,negation_antonym,asymmetric_premise,0.0,-0.9296576377901339
8,negation_antonym,asymmetric_conclusion,0.0,-0.9252385417876516
8,negation_paraphrase,original,0.0,-0.9240030712607071
8,negation_paraphrase,asymmetric_premise,1.0,0.955457268486248
8,negation_paraphrase,asymmetric_conclusion,1.0,0.9546128438247823
8,negation_paraphrase_inversion,original,1.0,0.873607796344858
8,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8998815361701039
8,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8934094223497514
9,original,original,0.0,-0.789292589592488
9,original,asymmetric_premise,1.0,0.6709826578160678
9,original,asymmetric_conclusion,1.0,0.5817085694431182
9,negation,original,0.0,-0.21383535306390206
9,negation,asymmetric_premise,0.1,-0.13644761699805247
9,negation,asymmetric_conclusion,0.1,-0.1226277522748394
9,antonym,original,0.8,0.03727752373587554
9,antonym,asymmetric_premise,0.0,-0.13840541883165364
9,antonym,asymmetric_conclusion,0.1,-0.11375418861588497
9,paraphrase,original,0.0,-0.9477477385336714
9,paraphrase,asymmetric_premise,1.0,0.905200473730783
9,paraphrase,asymmetric_conclusion,1.0,0.8999034229479314
