truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.026242247042889282
0,original,asymmetric_premise,0.0,-0.022815433246040084
0,original,asymmetric_conclusion,0.1,-0.01915948899736657
0,negation,original,0.0,-0.03811853490454924
0,negation,asymmetric_premise,1.0,0.04111413261271408
0,negation,asymmetric_conclusion,1.0,0.042729869970797946
0,antonym,original,0.0,-0.04210807317666599
0,antonym,asymmetric_premise,1.0,0.0563307520035183
0,antonym,asymmetric_conclusion,1.0,0.06004879989884041
0,paraphrase,original,1.0,0.12497203414250684
0,paraphrase,asymmetric_premise,0.0,-0.11805994136428236
0,paraphrase,asymmetric_conclusion,0.0,-0.1161265781626016
0,paraphrase_inversion,original,0.0,-0.08794063059412403
0,paraphrase_inversion,asymmetric_premise,1.0,0.10623552280891746
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.09779470423259443
0,negation_antonym,original,1.0,0.053686620192796894
0,negation_antonym,asymmetric_premise,0.0,-0.0618319636568323
0,negation_antonym,asymmetric_conclusion,0.0,-0.061993727240208976
0,negation_paraphrase,original,0.0,-0.08237541395962358
0,negation_paraphrase,asymmetric_premise,1.0,0.0869247374432058
0,negation_paraphrase,asymmetric_conclusion,1.0,0.08410581156852487
0,negation_paraphrase_inversion,original,1.0,0.09621249846197981
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.10579789208579497
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.1026251431108894
1,original,original,0.9,0.013794479400803462
1,original,asymmetric_premise,1.0,0.019497167204012206
1,original,asymmetric_conclusion,0.6,0.00796173161402278
1,negation,original,0.9,0.009376672650991768
1,negation,asymmetric_premise,0.0,-0.014162759601940753
1,negation,asymmetric_conclusion,0.0,-0.01184966416869373
1,antonym,original,0.3,-0.012816831272881506
1,antonym,asymmetric_premise,0.1,-0.008126779736875703
1,antonym,asymmetric_conclusion,0.6,0.00520232906286325
1,paraphrase,original,1.0,0.04706856920711329
1,paraphrase,asymmetric_premise,0.1,-0.021628654188038197
1,paraphrase,asymmetric_conclusion,0.0,-0.018066626403690604
1,paraphrase_inversion,original,0.3,-0.011013217157622083
1,paraphrase_inversion,asymmetric_premise,0.3,-0.004109801891271235
1,paraphrase_inversion,asymmetric_conclusion,0.5,-0.0014475568363796578
1,negation_antonym,original,0.0,-0.007921153788325912
1,negation_antonym,asymmetric_premise,1.0,0.009475927954189434
1,negation_antonym,asymmetric_conclusion,1.0,0.008884922369405007
1,negation_paraphrase,original,0.7,0.0016419189246577102
1,negation_paraphrase,asymmetric_premise,0.3,-0.0006761965826692157
1,negation_paraphrase,asymmetric_conclusion,0.5,0.00048192521891414106
1,negation_paraphrase_inversion,original,0.0,-0.023249511686991936
1,negation_paraphrase_inversion,asymmetric_premise,1.0,0.0312317784726144
1,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.02804928453568068
2,original,original,0.0,-0.06584333605586948
2,original,asymmetric_premise,1.0,0.04120352885514296
2,original,asymmetric_conclusion,1.0,0.03777277620480591
2,negation,original,0.1,-0.00252641861096006
2,negation,asymmetric_premise,0.8,0.005197856980626911
2,negation,asymmetric_conclusion,0.7,0.004182258586956483
2,antonym,original,1.0,0.05631502929247946
2,antonym,asymmetric_premise,0.0,-0.04566703412725926
2,antonym,asymmetric_conclusion,0.0,-0.04063482331701732
2,paraphrase,original,0.0,-0.12904827037700942
2,paraphrase,asymmetric_premise,1.0,0.07415217396509412
2,paraphrase,asymmetric_conclusion,1.0,0.0798017665233913
2,paraphrase_inversion,original,0.0,-0.0670515214395521
2,paraphrase_inversion,asymmetric_premise,1.0,0.07000858124197325
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.079474587471333
2,negation_antonym,original,0.6,0.0023550338034763214
2,negation_antonym,asymmetric_premise,0.0,-0.011907689678868568
2,negation_antonym,asymmetric_conclusion,0.0,-0.011239270943027948
2,negation_paraphrase,original,0.9,0.010057566096623973
2,negation_paraphrase,asymmetric_premise,0.0,-0.013147739670871818
2,negation_paraphrase,asymmetric_conclusion,0.0,-0.01167908544728202
2,negation_paraphrase_inversion,original,1.0,0.04214718463844924
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.027050596600554887
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.032138474569740436
3,original,original,1.0,0.03279532531379333
3,original,asymmetric_premise,0.0,-0.026267649506969675
3,original,asymmetric_conclusion,0.0,-0.030615167257617475
3,negation,original,1.0,0.01929927886975828
3,negation,asymmetric_premise,0.0,-0.012228563448658546
3,negation,asymmetric_conclusion,0.1,-0.013180351624511658
3,antonym,original,0.1,-0.01553592416685307
3,antonym,asymmetric_premise,1.0,0.02572518383837912
3,antonym,asymmetric_conclusion,1.0,0.02247241581647684
3,paraphrase,original,1.0,0.14282581089560767
3,paraphrase,asymmetric_premise,0.0,-0.1366352966206831
3,paraphrase,asymmetric_conclusion,0.0,-0.12886723910843306
3,paraphrase_inversion,original,1.0,0.02183317351172156
3,paraphrase_inversion,asymmetric_premise,0.2,-0.004159406643966443
3,paraphrase_inversion,asymmetric_conclusion,0.5,0.002382002412971492
3,negation_antonym,original,0.0,-0.02062344312285526
3,negation_antonym,asymmetric_premise,1.0,0.015221866033304655
3,negation_antonym,asymmetric_conclusion,0.9,0.013139747949315514
3,negation_paraphrase,original,0.0,-0.07424185807595052
3,negation_paraphrase,asymmetric_premise,1.0,0.08928342034100245
3,negation_paraphrase,asymmetric_conclusion,1.0,0.0774502073546274
3,negation_paraphrase_inversion,original,1.0,0.04860759048661747
3,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.05959008373536956
3,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.053328223977293344
4,original,original,0.0,-0.04494177518755805
4,original,asymmetric_premise,1.0,0.04630904763617794
4,original,asymmetric_conclusion,1.0,0.04942936911320063
4,negation,original,1.0,0.04200428837689407
4,negation,asymmetric_premise,0.0,-0.03435766006780535
4,negation,asymmetric_conclusion,0.0,-0.030221301297975928
4,antonym,original,1.0,0.030384142298023283
4,antonym,asymmetric_premise,0.1,-0.02646770850312811
4,antonym,asymmetric_conclusion,0.0,-0.028265067943461737
4,paraphrase,original,0.0,-0.05383797039918194
4,paraphrase,asymmetric_premise,1.0,0.05802884112383555
4,paraphrase,asymmetric_conclusion,0.9,0.03446520537867363
4,paraphrase_inversion,original,0.9,0.013185384482842899
4,paraphrase_inversion,asymmetric_premise,0.2,-0.006212933492499942
4,paraphrase_inversion,asymmetric_conclusion,0.3,-0.006531033318905635
4,negation_antonym,original,0.0,-0.020446248416934744
4,negation_antonym,asymmetric_premise,1.0,0.020584106530304624
4,negation_antonym,asymmetric_conclusion,1.0,0.024248803304914836
4,negation_paraphrase,original,1.0,0.06918538758801929
4,negation_paraphrase,asymmetric_premise,0.0,-0.05277773997629961
4,negation_paraphrase,asymmetric_conclusion,0.0,-0.05643332249491033
4,negation_paraphrase_inversion,original,0.1,-0.006621156230067907
4,negation_paraphrase_inversion,asymmetric_premise,0.9,0.009293993198981729
4,negation_paraphrase_inversion,asymmetric_conclusion,0.7,0.0064771451792240186
5,original,original,1.0,0.05256943983306263
5,original,asymmetric_premise,0.0,-0.04726646724792064
5,original,asymmetric_conclusion,0.0,-0.057788843274127574
5,negation,original,0.1,-0.015190903815232817
5,negation,asymmetric_premise,0.5,0.0006585175514814717
5,negation,asymmetric_conclusion,0.9,0.013051193143124895
5,antonym,original,0.8,0.008235972456648874
5,antonym,asymmetric_premise,0.8,0.02621697795205803
5,antonym,asymmetric_conclusion,0.9,0.01703596083322508
5,paraphrase,original,1.0,0.06551633846363167
5,paraphrase,asymmetric_premise,0.0,-0.058938555511660294
5,paraphrase,asymmetric_conclusion,0.0,-0.06486648262508413
5,paraphrase_inversion,original,0.0,-0.06989696017932638
5,paraphrase_inversion,asymmetric_premise,1.0,0.11050033261153447
5,paraphrase_inversion,asymmetric_conclusion,1.0,0.09683505728033796
5,negation_antonym,original,0.6,-1.6982896293491097e-05
5,negation_antonym,asymmetric_premise,0.4,-0.0032733811895754262
5,negation_antonym,asymmetric_conclusion,0.3,-0.006535687045029206
5,negation_paraphrase,original,0.0,-0.059181158740445286
5,negation_paraphrase,asymmetric_premise,1.0,0.038547557035226956
5,negation_paraphrase,asymmetric_conclusion,1.0,0.04814864259926822
5,negation_paraphrase_inversion,original,1.0,0.05024404934309703
5,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.04884084564816524
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.043462771257616266
6,original,original,0.8,0.00559432493935578
6,original,asymmetric_premise,0.5,-0.001895250320520081
6,original,asymmetric_conclusion,0.6,0.001184348026983206
6,negation,original,1.0,0.01085242493354736
6,negation,asymmetric_premise,0.1,-0.014946634744902149
6,negation,asymmetric_conclusion,0.0,-0.013862518077327213
6,antonym,original,0.0,-0.0574144828711553
6,antonym,asymmetric_premise,0.9,0.02106916575004712
6,antonym,asymmetric_conclusion,1.0,0.030963553078271568
6,paraphrase,original,1.0,0.02640414982071943
