truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,asymmetric_premise,0.0,-0.8280122716495987
0,negation_antonym,asymmetric_conclusion,0.0,-0.9854762911649807
0,negation_paraphrase_inversion,original,1.0,0.9964567966975884
1,paraphrase_inversion,asymmetric_premise,0.0,-0.7991764984058563
1,negation_paraphrase,original,1.0,0.8466798896000872
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.8628779963346623
2,paraphrase,asymmetric_conclusion,1.0,0.6753526728162932
2,negation_paraphrase,original,0.2,-0.06796891878664044
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9951542536621183
3,original,asymmetric_conclusion,1.0,0.995700929699763
3,antonym,asymmetric_conclusion,0.0,-0.9689737022257333
3,negation_antonym,asymmetric_premise,1.0,0.9553050933208256
4,negation,asymmetric_premise,1.0,0.9815049689680903
4,negation_paraphrase,asymmetric_premise,1.0,0.7066242625862713
4,negation_paraphrase_inversion,original,1.0,0.9959493669918291
5,original,asymmetric_conclusion,1.0,0.8348800746285201
5,paraphrase_inversion,asymmetric_premise,0.0,-0.26033594216063594
5,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9830437200659533
6,negation,original,0.0,-0.9811657959790155
6,paraphrase,asymmetric_conclusion,0.0,-0.9841673647527172
6,negation_paraphrase,original,0.0,-0.9952512994123595
7,antonym,asymmetric_conclusion,0.0,-0.9004564436389446
7,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9166119373367658
7,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9618611441044838
8,antonym,asymmetric_premise,1.0,0.37873241422543014
8,paraphrase_inversion,asymmetric_conclusion,1.0,0.3723629606915834
8,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9771141260027083
9,original,original,0.0,-0.6835604865024676
9,antonym,asymmetric_premise,0.0,-0.265987520387953
9,paraphrase,original,0.0,-0.9749662811953927
10,negation,asymmetric_conclusion,0.0,-0.9958851520554772
10,antonym,original,1.0,0.9558830308909576
10,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9830279063575246
11,paraphrase,asymmetric_conclusion,0.0,-0.974647490852333
11,paraphrase_inversion,original,0.0,-0.9922325766100657
11,negation_paraphrase,original,0.0,-0.9919571075883727
12,original,asymmetric_conclusion,1.0,0.8943144488047631
12,negation,asymmetric_conclusion,0.0,-0.9369249782787501
12,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9948941559868917
13,antonym,original,0.0,-0.9749733894809088
13,negation_antonym,original,1.0,0.9908001039080953
13,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9584850079290407
14,antonym,original,1.0,0.45890390481750815
14,paraphrase,asymmetric_premise,1.0,0.9460224416765604
14,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9959671497254629
15,negation,original,0.0,-0.7697393256558264
15,paraphrase_inversion,original,1.0,0.6862200952830115
15,negation_paraphrase,original,0.0,-0.9877213625409956
16,paraphrase,original,0.0,-0.20910116583310728
16,paraphrase_inversion,original,1.0,0.7687246615285925
16,negation_paraphrase_inversion,original,0.0,-0.6289778487404868
17,original,asymmetric_premise,0.0,-0.5072335138182527
17,antonym,asymmetric_premise,1.0,0.8277483439654608
17,negation_antonym,original,1.0,0.9246693667563944
18,original,original,0.0,-0.661472452546876
18,negation_antonym,asymmetric_premise,1.0,0.8698790741587361
18,negation_paraphrase,original,1.0,0.9950600358359909
19,paraphrase,asymmetric_premise,0.0,-0.9999343555423874
19,negation_paraphrase,asymmetric_conclusion,1.0,0.9999618743330577
19,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9084756980351785
