truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,asymmetric_premise,0.0,-0.876432309526265
0,negation_antonym,asymmetric_conclusion,0.0,-0.9946083890999112
0,negation_paraphrase_inversion,original,1.0,0.9742628673678275
1,paraphrase_inversion,asymmetric_premise,0.0,-0.4115536514623289
1,negation_paraphrase,original,1.0,0.9926894107839475
1,negation_paraphrase,asymmetric_conclusion,0.0,-0.9931376457351195
2,paraphrase,asymmetric_conclusion,0.0,-0.9952212968832279
2,negation_paraphrase,original,0.0,-0.9927062349464725
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.5346341826217386
3,original,asymmetric_conclusion,0.0,-0.9961246554473775
3,antonym,asymmetric_conclusion,1.0,0.9976143863091295
3,negation_antonym,asymmetric_premise,0.0,-0.9969036788668075
4,negation,asymmetric_premise,0.0,-0.9399235076271341
4,negation_paraphrase,asymmetric_premise,0.0,-0.3696157055141859
4,negation_paraphrase_inversion,original,0.0,-0.899235738652728
5,original,asymmetric_conclusion,0.0,-0.509724697633055
5,paraphrase_inversion,asymmetric_premise,1.0,0.4358579008026277
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6717065980260204
6,negation,original,1.0,0.9924621729446734
6,paraphrase,asymmetric_conclusion,1.0,0.9948141574821058
6,negation_paraphrase,original,1.0,0.992124803442994
7,antonym,asymmetric_conclusion,0.0,-0.9954521063787528
7,paraphrase_inversion,asymmetric_conclusion,0.0,-0.7916710206679158
7,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.985481598193308
8,antonym,asymmetric_premise,0.0,-0.7618853473514667
8,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9726177816796691
8,negation_paraphrase_inversion,asymmetric_premise,1.0,0.965523805323782
9,original,original,0.0,-0.6134908177578553
9,antonym,asymmetric_premise,0.0,-0.2525904088989961
9,paraphrase,original,0.0,-1.0
10,negation,asymmetric_conclusion,0.0,-0.47399678896637526
10,antonym,original,1.0,0.297767178017315
10,paraphrase_inversion,asymmetric_conclusion,0.0,-0.38654129730627734
11,paraphrase,asymmetric_conclusion,0.0,-0.9235392357675822
11,paraphrase_inversion,original,0.0,-0.9544953857932871
11,negation_paraphrase,original,0.0,-0.9973967651929521
12,original,asymmetric_conclusion,0.0,-0.3328155684570342
12,negation,asymmetric_conclusion,0.0,-0.82366535279023
12,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.6498128810043147
13,antonym,original,1.0,0.9099435499309502
13,negation_antonym,original,0.0,-0.988879532884081
13,negation_paraphrase_inversion,asymmetric_premise,1.0,0.659781933356156
14,antonym,original,1.0,0.44034846301516756
14,paraphrase,asymmetric_premise,1.0,0.8853212472363585
14,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.5236702245128457
15,negation,original,0.0,-0.7742049070778207
15,paraphrase_inversion,original,0.0,-0.9607510770245259
15,negation_paraphrase,original,0.0,-0.7237406316651038
16,paraphrase,original,0.0,-0.9031104916410986
16,paraphrase_inversion,original,1.0,0.9046078850969005
16,negation_paraphrase_inversion,original,0.0,-0.9947685171297982
17,original,asymmetric_premise,1.0,0.8293933850937174
17,antonym,asymmetric_premise,0.0,-0.7647120337288483
17,negation_antonym,original,0.0,-0.9852476518786185
18,original,original,1.0,0.9039995540637099
18,negation_antonym,asymmetric_premise,0.0,-0.9956060816196883
18,negation_paraphrase,original,0.0,-0.49630259159933543
19,paraphrase,asymmetric_premise,0.0,-0.9489610248643929
19,negation_paraphrase,asymmetric_conclusion,1.0,0.8446093586863188
19,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9993341447552371
