truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
15,original,original,0.0,-0.9129350966685275
15,original,asymmetric_premise,1.0,0.883329512589421
15,original,asymmetric_conclusion,1.0,0.8870726931061963
15,negation,original,1.0,0.6546894876809934
15,negation,asymmetric_premise,0.0,-0.6449002543987336
15,negation,asymmetric_conclusion,0.0,-0.6410968189284452
15,antonym,original,1.0,0.9213270653142424
15,antonym,asymmetric_premise,0.0,-0.8794902157929887
15,antonym,asymmetric_conclusion,0.0,-0.8846710506982424
15,paraphrase,original,0.0,-0.8204048313054324
15,paraphrase,asymmetric_premise,1.0,0.8310333313116214
15,paraphrase,asymmetric_conclusion,1.0,0.821014801815954
15,paraphrase_inversion,original,1.0,0.8748009564497996
15,paraphrase_inversion,asymmetric_premise,0.0,-0.8405132133344253
15,paraphrase_inversion,asymmetric_conclusion,0.0,-0.8532678317255525
15,negation_antonym,original,0.0,-0.714220943473397
15,negation_antonym,asymmetric_premise,1.0,0.697720169097718
15,negation_antonym,asymmetric_conclusion,1.0,0.7212947793820303
15,negation_paraphrase,original,1.0,0.3752236919610539
15,negation_paraphrase,asymmetric_premise,0.0,-0.58264496678892
15,negation_paraphrase,asymmetric_conclusion,0.0,-0.6067980404227322
15,negation_paraphrase_inversion,original,0.0,-0.7432493307011493
15,negation_paraphrase_inversion,asymmetric_premise,1.0,0.7843099050413074
15,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.764548391527628
18,original,original,0.9,0.17796795403858623
18,original,asymmetric_premise,0.0,-0.1736609716555628
18,original,asymmetric_conclusion,0.0,-0.21521423136399412
18,negation,original,0.0,-0.7987820260955554
18,negation,asymmetric_premise,1.0,0.832601279827325
18,negation,asymmetric_conclusion,1.0,0.8421445349566413
18,antonym,original,0.0,-0.8744692240024028
18,antonym,asymmetric_premise,1.0,0.8415926086775303
18,antonym,asymmetric_conclusion,1.0,0.8447349272862791
18,paraphrase,original,1.0,0.9240183527641148
18,paraphrase,asymmetric_premise,0.0,-0.9235347657084156
18,paraphrase,asymmetric_conclusion,0.0,-0.9247286952689187
18,paraphrase_inversion,original,0.0,-0.8991535079048603
18,paraphrase_inversion,asymmetric_premise,1.0,0.8402078711319995
18,paraphrase_inversion,asymmetric_conclusion,1.0,0.8572507714869776
18,negation_antonym,original,1.0,0.7297546382875062
18,negation_antonym,asymmetric_premise,0.0,-0.7571006800042295
18,negation_antonym,asymmetric_conclusion,0.0,-0.766372692830058
18,negation_paraphrase,original,0.0,-0.959232966362386
18,negation_paraphrase,asymmetric_premise,1.0,0.9601240355324789
18,negation_paraphrase,asymmetric_conclusion,1.0,0.9585056935963641
18,negation_paraphrase_inversion,original,1.0,0.582421544466352
18,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.664400988291671
18,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6328117847732784
