truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
11,original,original,0.0,-0.9801035037806833
11,original,asymmetric_premise,1.0,0.971571922914716
11,original,asymmetric_conclusion,1.0,0.9729451909910113
11,negation,original,1.0,0.9478205851808992
11,negation,asymmetric_premise,0.0,-0.9503403524975296
11,negation,asymmetric_conclusion,0.0,-0.9706274121195977
11,antonym,original,1.0,0.9272704524016115
11,antonym,asymmetric_premise,0.0,-0.9258642444982261
11,antonym,asymmetric_conclusion,0.0,-0.9255318430921126
11,paraphrase,original,1.0,0.9998279271990723
11,paraphrase,asymmetric_premise,0.0,-0.9998011144277402
11,paraphrase,asymmetric_conclusion,0.0,-0.9998524156326336
11,paraphrase_inversion,original,1.0,0.9808040844832387
11,paraphrase_inversion,asymmetric_premise,0.0,-0.9784641031211052
11,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9862215332908602
11,negation_antonym,original,0.0,-0.9356206264736148
11,negation_antonym,asymmetric_premise,1.0,0.9320114264743589
11,negation_antonym,asymmetric_conclusion,1.0,0.9351465107594048
11,negation_paraphrase,original,0.0,-0.9998403424815248
11,negation_paraphrase,asymmetric_premise,1.0,0.999808937919013
11,negation_paraphrase,asymmetric_conclusion,1.0,0.9998516962768965
11,negation_paraphrase_inversion,original,0.0,-0.9902927033222678
11,negation_paraphrase_inversion,asymmetric_premise,1.0,0.9891783913368142
11,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9905638096636438
16,original,original,0.0,-0.9659536027395571
16,original,asymmetric_premise,1.0,0.9524330003761552
16,original,asymmetric_conclusion,1.0,0.9457269065883634
16,negation,original,1.0,0.9513680338926361
16,negation,asymmetric_premise,0.0,-0.946485342320659
16,negation,asymmetric_conclusion,0.0,-0.9625439123183348
16,antonym,original,1.0,0.9627070178972416
16,antonym,asymmetric_premise,0.0,-0.9539457563273329
16,antonym,asymmetric_conclusion,0.0,-0.960075364473355
16,paraphrase,original,0.0,-0.8069561100527348
16,paraphrase,asymmetric_premise,1.0,0.8008689012165643
16,paraphrase,asymmetric_conclusion,1.0,0.765396471881626
16,paraphrase_inversion,original,1.0,0.9833008720913752
16,paraphrase_inversion,asymmetric_premise,0.0,-0.9731268562340109
16,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9765451959972349
16,negation_antonym,original,0.0,-0.9816163577473656
16,negation_antonym,asymmetric_premise,1.0,0.9801000369658173
16,negation_antonym,asymmetric_conclusion,1.0,0.9821758466919723
16,negation_paraphrase,original,1.0,0.11282822528690854
16,negation_paraphrase,asymmetric_premise,0.0,-0.16352898120909296
16,negation_paraphrase,asymmetric_conclusion,0.0,-0.09576496304059899
16,negation_paraphrase_inversion,original,0.0,-0.9924112159613385
16,negation_paraphrase_inversion,asymmetric_premise,1.0,0.9907260091288533
16,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.9926777863451852
