truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
15,original,original,0.0,-0.1015993495113211
15,original,asymmetric_premise,0.0,-0.17174614554770673
15,original,asymmetric_conclusion,0.0,-0.15623645970628666
15,negation,original,1.0,0.1460007740448452
15,negation,asymmetric_premise,0.0,-0.2512301814950075
15,negation,asymmetric_conclusion,0.0,-0.17244754306604415
15,antonym,original,1.0,0.23179820232904563
15,antonym,asymmetric_premise,0.9,0.10496512061591123
15,antonym,asymmetric_conclusion,0.9,0.10253312276327468
15,paraphrase,original,1.0,0.824003094437742
15,paraphrase,asymmetric_premise,0.0,-0.7387534056377234
15,paraphrase,asymmetric_conclusion,0.0,-0.7197386913297414
15,paraphrase_inversion,original,0.0,-0.22275595028507622
15,paraphrase_inversion,asymmetric_premise,0.0,-0.5566972496947553
15,paraphrase_inversion,asymmetric_conclusion,0.0,-0.49778721311792407
15,negation_antonym,original,0.4,0.002961696251157215
15,negation_antonym,asymmetric_premise,0.9,0.07734237069085433
15,negation_antonym,asymmetric_conclusion,0.8,0.09510820786668747
15,negation_paraphrase,original,0.0,-0.6407134141413081
15,negation_paraphrase,asymmetric_premise,1.0,0.42397574050118747
15,negation_paraphrase,asymmetric_conclusion,1.0,0.4343868093827842
15,negation_paraphrase_inversion,original,1.0,0.5667742143593848
15,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9108412487164378
15,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.907784151951047
18,original,original,0.3,-0.06221859962279266
18,original,asymmetric_premise,0.0,-0.21246894410352285
18,original,asymmetric_conclusion,0.0,-0.2349090496318221
18,negation,original,1.0,0.3350573626694676
18,negation,asymmetric_premise,0.0,-0.40477698586938365
18,negation,asymmetric_conclusion,0.0,-0.40531023127577204
18,antonym,original,0.8,0.11540936006065768
18,antonym,asymmetric_premise,1.0,0.4096333036593979
18,antonym,asymmetric_conclusion,1.0,0.48888118654016327
18,paraphrase,original,0.4,-0.013032741165058096
18,paraphrase,asymmetric_premise,0.9,0.19591072664602183
18,paraphrase,asymmetric_conclusion,1.0,0.22934973413118062
18,paraphrase_inversion,original,1.0,0.9624234990891576
18,paraphrase_inversion,asymmetric_premise,0.0,-0.9705321963377651
18,paraphrase_inversion,asymmetric_conclusion,0.0,-0.9756374132663599
18,negation_antonym,original,0.6,-0.0017778004305925201
18,negation_antonym,asymmetric_premise,1.0,0.25261825816174516
18,negation_antonym,asymmetric_conclusion,0.8,0.26162090287705453
18,negation_paraphrase,original,1.0,0.4516868806614158
18,negation_paraphrase,asymmetric_premise,0.0,-0.8037835175279587
18,negation_paraphrase,asymmetric_conclusion,0.0,-0.8454331877971333
18,negation_paraphrase_inversion,original,0.0,-0.7620945372701878
18,negation_paraphrase_inversion,asymmetric_premise,1.0,0.7580482780842251
18,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.7475389359518867
