truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.6225233267915569
0,original,asymmetric_premise,0.0,-0.38933382543813166
0,original,asymmetric_conclusion,0.0,-0.45983108212768686
0,negation,original,0.0,-0.2196765574147
0,negation,asymmetric_premise,1.0,0.2370316694259122
0,negation,asymmetric_conclusion,1.0,0.3662412858277971
0,antonym,original,0.0,-0.3363065492124533
0,antonym,asymmetric_premise,1.0,0.605434992625919
0,antonym,asymmetric_conclusion,1.0,0.58113898746922
0,paraphrase,original,1.0,0.7635974425517436
0,paraphrase,asymmetric_premise,0.0,-0.6059615434279901
0,paraphrase,asymmetric_conclusion,0.0,-0.616243282706882
0,paraphrase_inversion,original,0.0,-0.7331343072883566
0,paraphrase_inversion,asymmetric_premise,1.0,0.8094852647168265
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.7761152916909494
0,negation_antonym,original,1.0,0.9427952236471084
0,negation_antonym,asymmetric_premise,0.0,-0.9314275118905864
0,negation_antonym,asymmetric_conclusion,0.0,-0.9377574482010298
0,negation_paraphrase,original,0.0,-0.49121942452927997
0,negation_paraphrase,asymmetric_premise,1.0,0.7379004069678804
0,negation_paraphrase,asymmetric_conclusion,1.0,0.6935614777364505
0,negation_paraphrase_inversion,original,1.0,0.9226687551053896
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6995724756172957
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.868724828651797
1,original,original,1.0,0.8001227096117576
1,original,asymmetric_premise,0.0,-0.33278669941432076
1,original,asymmetric_conclusion,0.0,-0.49236177531142455
1,negation,original,0.0,-0.7437655547289438
1,negation,asymmetric_premise,1.0,0.7754895599113523
1,negation,asymmetric_conclusion,1.0,0.6585132614057814
1,antonym,original,0.0,-0.9365115664879189
1,antonym,asymmetric_premise,1.0,0.9216574139519913
1,antonym,asymmetric_conclusion,1.0,0.8717529066131877
1,paraphrase,original,1.0,0.5246463349265557
1,paraphrase,asymmetric_premise,0.0,-0.513010327153717
1,paraphrase,asymmetric_conclusion,0.0,-0.33233206753727795
1,paraphrase_inversion,original,0.0,-0.7592451973302747
1,paraphrase_inversion,asymmetric_premise,1.0,0.6320803252565622
1,paraphrase_inversion,asymmetric_conclusion,1.0,0.5529731807953872
1,negation_antonym,original,1.0,0.8963533108602176
1,negation_antonym,asymmetric_premise,0.0,-0.8929694264409254
1,negation_antonym,asymmetric_conclusion,0.0,-0.9142618211195008
1,negation_paraphrase,original,0.0,-0.7264537249490652
1,negation_paraphrase,asymmetric_premise,1.0,0.713261232827242
1,negation_paraphrase,asymmetric_conclusion,1.0,0.7066414999164543
1,negation_paraphrase_inversion,original,1.0,0.7692616237390555
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6197727868921649
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8192465779055473
2,original,original,1.0,0.7552208573733005
2,original,asymmetric_premise,0.0,-0.2107197378823648
2,original,asymmetric_conclusion,0.0,-0.29034111501568954
2,negation,original,0.0,-0.21779867761126054
2,negation,asymmetric_premise,1.0,0.4559115876502219
2,negation,asymmetric_conclusion,1.0,0.6652129879835939
2,antonym,original,0.0,-0.3632615445582034
2,antonym,asymmetric_premise,1.0,0.24795347688338848
2,antonym,asymmetric_conclusion,1.0,0.41923068081828896
2,paraphrase,original,1.0,0.8566237814696029
2,paraphrase,asymmetric_premise,0.0,-0.6215340474644433
2,paraphrase,asymmetric_conclusion,0.0,-0.6570698149360278
2,paraphrase_inversion,original,0.0,-0.7113764700047093
2,paraphrase_inversion,asymmetric_premise,1.0,0.844034685603648
2,paraphrase_inversion,asymmetric_conclusion,1.0,0.9030643069895767
2,negation_antonym,original,1.0,0.7440415616783244
2,negation_antonym,asymmetric_premise,0.0,-0.6829598614805036
2,negation_antonym,asymmetric_conclusion,0.0,-0.7007509081462883
2,negation_paraphrase,original,0.0,-0.7235747819918644
2,negation_paraphrase,asymmetric_premise,1.0,0.7591644112235558
2,negation_paraphrase,asymmetric_conclusion,1.0,0.7904321197739391
2,negation_paraphrase_inversion,original,1.0,0.845243793294135
2,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8804178007660257
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8449319367187913
3,original,original,1.0,0.8364616755880461
3,original,asymmetric_premise,0.0,-0.7394914108440185
3,original,asymmetric_conclusion,0.0,-0.6879770909486832
3,negation,original,0.0,-0.4773381627603547
3,negation,asymmetric_premise,1.0,0.8443185927017787
3,negation,asymmetric_conclusion,1.0,0.859862307140353
3,antonym,original,1.0,0.2895934034048984
3,antonym,asymmetric_premise,1.0,0.18107147275892374
3,antonym,asymmetric_conclusion,1.0,0.3274979902968705
3,paraphrase,original,1.0,0.8478037233349343
3,paraphrase,asymmetric_premise,0.0,-0.7898301803896547
3,paraphrase,asymmetric_conclusion,0.0,-0.7699661200388243
3,paraphrase_inversion,original,1.0,0.7461592675357017
3,paraphrase_inversion,asymmetric_premise,0.0,-0.3604402654516016
3,paraphrase_inversion,asymmetric_conclusion,0.0,-0.3945899370196356
3,negation_antonym,original,1.0,0.9502297636646423
3,negation_antonym,asymmetric_premise,0.0,-0.9338478132901817
3,negation_antonym,asymmetric_conclusion,0.0,-0.9249405196325865
3,negation_paraphrase,original,0.0,-0.7255300119696514
3,negation_paraphrase,asymmetric_premise,1.0,0.8650487860888505
3,negation_paraphrase,asymmetric_conclusion,1.0,0.9034814637210438
3,negation_paraphrase_inversion,original,1.0,0.9272487080025995
3,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.8232440842169237
3,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.7563478420924025
4,original,original,1.0,0.4943215686485568
4,original,asymmetric_premise,1.0,0.44276599018820295
4,original,asymmetric_conclusion,1.0,0.49923771583514986
4,negation,original,0.0,-0.8041718078688043
4,negation,asymmetric_premise,1.0,0.6777989961990849
4,negation,asymmetric_conclusion,1.0,0.6708789677275255
4,antonym,original,0.0,-0.19053302542348854
4,antonym,asymmetric_premise,1.0,0.6581133949156169
4,antonym,asymmetric_conclusion,1.0,0.8400075117889745
4,paraphrase,original,1.0,0.6590034272934526
4,paraphrase,asymmetric_premise,0.0,-0.07883085361423
4,paraphrase,asymmetric_conclusion,1.0,0.05587666425854042
4,paraphrase_inversion,original,0.0,-0.05903618617965266
4,paraphrase_inversion,asymmetric_premise,1.0,0.7623732749225594
4,paraphrase_inversion,asymmetric_conclusion,1.0,0.7286513283202164
4,negation_antonym,original,1.0,0.6930225985567829
4,negation_antonym,asymmetric_premise,0.0,-0.5707072032581071
4,negation_antonym,asymmetric_conclusion,0.0,-0.6182951560577887
4,negation_paraphrase,original,0.0,-0.8829018960082724
4,negation_paraphrase,asymmetric_premise,1.0,0.8960454794194368
4,negation_paraphrase,asymmetric_conclusion,1.0,0.8924845712560809
4,negation_paraphrase_inversion,original,1.0,0.8011033315903597
4,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7432725736942672
4,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.6334527166849042
5,original,original,1.0,0.9014200114299797
5,original,asymmetric_premise,0.0,-0.7498742519109157
5,original,asymmetric_conclusion,0.0,-0.6504889917778037
5,negation,original,0.0,-0.7430402850477705
5,negation,asymmetric_premise,1.0,0.8846134250678095
5,negation,asymmetric_conclusion,1.0,0.871604461151801
5,antonym,original,0.0,-0.7916826481159688
5,antonym,asymmetric_premise,1.0,0.6229180210309363
5,antonym,asymmetric_conclusion,1.0,0.5160730926047289
5,paraphrase,original,1.0,0.969120058350331
5,paraphrase,asymmetric_premise,0.0,-0.9228489062777199
5,paraphrase,asymmetric_conclusion,0.0,-0.9182511633216569
5,paraphrase_inversion,original,0.0,-0.9580232673741074
5,paraphrase_inversion,asymmetric_premise,1.0,0.969660908500497
5,paraphrase_inversion,asymmetric_conclusion,1.0,0.9339933264978251
5,negation_antonym,original,1.0,0.8647575790636897
5,negation_antonym,asymmetric_premise,0.0,-0.8913778342628953
5,negation_antonym,asymmetric_conclusion,0.0,-0.8983238056560232
5,negation_paraphrase,original,0.0,-0.9237481709496664
5,negation_paraphrase,asymmetric_premise,1.0,0.9720198343672479
5,negation_paraphrase,asymmetric_conclusion,1.0,0.9805807009251917
5,negation_paraphrase_inversion,original,1.0,0.9378820127780669
5,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.9465048771701563
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.9033387420225983
6,original,original,1.0,0.8348297238435178
6,original,asymmetric_premise,0.0,-0.7492474600833896
6,original,asymmetric_conclusion,0.0,-0.6198573686695742
6,negation,original,0.0,-0.9076537123549502
6,negation,asymmetric_premise,1.0,0.8936091026263242
6,negation,asymmetric_conclusion,1.0,0.912610859753842
6,antonym,original,0.0,-0.6154737328804573
6,antonym,asymmetric_premise,1.0,0.9135663756236176
6,antonym,asymmetric_conclusion,1.0,0.9250924995474141
6,paraphrase,original,1.0,0.869970478934986
6,paraphrase,asymmetric_premise,0.0,-0.5328140328464936
6,paraphrase,asymmetric_conclusion,0.0,-0.571691558972425
6,paraphrase_inversion,original,0.0,-0.7994629271471306
6,paraphrase_inversion,asymmetric_premise,1.0,0.712529606334363
6,paraphrase_inversion,asymmetric_conclusion,1.0,0.874611810920088
6,negation_antonym,original,1.0,0.9635289886540563
6,negation_antonym,asymmetric_premise,0.0,-0.9278207062429906
6,negation_antonym,asymmetric_conclusion,0.0,-0.9542099085014477
6,negation_paraphrase,original,0.0,-0.5843233980100796
6,negation_paraphrase,asymmetric_premise,1.0,0.48999420087725365
6,negation_paraphrase,asymmetric_conclusion,1.0,0.49232712172891346
6,negation_paraphrase_inversion,original,1.0,0.7158153346427361
6,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.6947710909624394
6,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.8429108200450954
7,original,original,1.0,0.7659356177195394
7,original,asymmetric_premise,0.0,-0.3604136912942043
7,original,asymmetric_conclusion,0.0,-0.584525493299342
7,negation,original,0.0,-0.2162483108450735
7,negation,asymmetric_premise,1.0,0.4402829847807749
7,negation,asymmetric_conclusion,1.0,0.42569891467884524
7,antonym,original,0.0,-0.9058519876740914
7,antonym,asymmetric_premise,1.0,0.8942619748552374
7,antonym,asymmetric_conclusion,1.0,0.9260755923525024
7,paraphrase,original,0.0,-0.1346355194252024
7,paraphrase,asymmetric_premise,1.0,0.42984874999026024
7,paraphrase,asymmetric_conclusion,1.0,0.33396324507358693
7,paraphrase_inversion,original,0.0,-0.8202488340569445
7,paraphrase_inversion,asymmetric_premise,1.0,0.6860757651316235
7,paraphrase_inversion,asymmetric_conclusion,1.0,0.8010828220438431
7,negation_antonym,original,0.0,1.0
7,negation_antonym,asymmetric_premise,1.0,-1.0
7,negation_antonym,asymmetric_conclusion,1.0,-1.0
7,negation_paraphrase,original,0.0,-0.11255437751852979
7,negation_paraphrase,asymmetric_premise,0.0,-0.02646013045695967
7,negation_paraphrase,asymmetric_conclusion,1.0,0.21717174653074894
7,negation_paraphrase_inversion,original,0.0,1.0
7,negation_paraphrase_inversion,asymmetric_premise,1.0,-1.0
7,negation_paraphrase_inversion,asymmetric_conclusion,1.0,-1.0
8,original,original,1.0,0.7569463333479751
8,original,asymmetric_premise,0.0,-0.821768242911024
8,original,asymmetric_conclusion,0.0,-0.7658118244535616
8,negation,original,0.0,-0.5803451237622212
8,negation,asymmetric_premise,1.0,0.8371865685989184
8,negation,asymmetric_conclusion,1.0,0.8418795959008458
8,antonym,original,0.0,-0.01056249585780082
8,antonym,asymmetric_premise,1.0,0.44253290457427086
8,antonym,asymmetric_conclusion,1.0,0.3247434904726739
8,paraphrase,original,1.0,0.8291402133116998
8,paraphrase,asymmetric_premise,0.0,-0.5867299311599935
8,paraphrase,asymmetric_conclusion,0.0,-0.7781338448493197
8,paraphrase_inversion,original,1.0,0.6396852764341234
8,paraphrase_inversion,asymmetric_premise,0.0,-0.16473716666164953
8,paraphrase_inversion,asymmetric_conclusion,0.0,-0.26789025911253056
8,negation_antonym,original,1.0,0.8921534381440088
8,negation_antonym,asymmetric_premise,0.0,-0.9120634583030723
8,negation_antonym,asymmetric_conclusion,0.0,-0.9284810197694091
8,negation_paraphrase,original,0.0,-0.07790577545714718
8,negation_paraphrase,asymmetric_premise,1.0,0.38305332163698524
8,negation_paraphrase,asymmetric_conclusion,1.0,0.04996144299260419
8,negation_paraphrase_inversion,original,1.0,0.5584311276068954
8,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.7409004505755339
8,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.4765453972273791
9,original,original,1.0,0.7231701591094567
9,original,asymmetric_premise,0.0,-0.5066087120056421
9,original,asymmetric_conclusion,0.0,-0.7771696233332576
9,negation,original,1.0,-1.0
9,negation,asymmetric_premise,1.0,0.7053231405013509
9,negation,asymmetric_conclusion,0.0,1.0
9,antonym,original,0.0,-0.42787814337560837
9,antonym,asymmetric_premise,1.0,0.6220523022063366
9,antonym,asymmetric_conclusion,1.0,0.48323692772716365
9,paraphrase,original,0.0,0.0
9,paraphrase,asymmetric_premise,0.0,0.0
9,paraphrase,asymmetric_conclusion,0.0,0.0
9,paraphrase_inversion,original,0.0,-0.7041653261291342
9,paraphrase_inversion,asymmetric_premise,1.0,0.7100379495361437
9,paraphrase_inversion,asymmetric_conclusion,1.0,0.7273235685583462
9,negation_antonym,original,0.0,1.0
9,negation_antonym,asymmetric_premise,1.0,-1.0
9,negation_antonym,asymmetric_conclusion,1.0,-1.0
9,negation_paraphrase,original,0.0,0.0
